y,x,val
0.0000,0.0000,1505.0934
0.0000,222.2222,1502.8490
0.0000,444.4444,1500.5632
0.0000,666.6667,1498.6597
0.0000,888.8889,1497.2392
0.0000,1111.1111,1496.4510
0.0000,1333.3333,1496.4350
0.0000,1555.5556,1497.2084
0.0000,1777.7778,1498.8178
0.0000,2000.0000,1498.8178
51.7241,0.0000,1508.7803
51.7241,222.2222,1506.6613
51.7241,444.4444,1504.7778
51.7241,666.6667,1503.2621
51.7241,888.8889,1501.9261
51.7241,1111.1111,1500.9690
51.7241,1333.3333,1500.6738
51.7241,1555.5556,1501.0607
51.7241,1777.7778,1502.3296
51.7241,2000.0000,1502.3296
103.4483,0.0000,1517.0727
103.4483,222.2222,1515.7047
103.4483,444.4444,1514.7248
103.4483,666.6667,1513.8142
103.4483,888.8889,1512.6813
103.4483,1111.1111,1511.5111
103.4483,1333.3333,1510.6880
103.4483,1555.5556,1510.3675
103.4483,1777.7778,1510.7316
103.4483,2000.0000,1510.7316
155.1724,0.0000,1528.1223
155.1724,222.2222,1527.7903
155.1724,444.4444,1527.8374
155.1724,666.6667,1527.6481
155.1724,888.8889,1526.7767
155.1724,1111.1111,1525.3820
155.1724,1333.3333,1523.9347
155.1724,1555.5556,1522.7141
155.1724,1777.7778,1521.9830
155.1724,2000.0000,1521.9830
206.8966,0.0000,1539.4845
206.8966,222.2222,1540.2356
206.8966,444.4444,1541.2915
206.8966,666.6667,1541.8233
206.8966,888.8889,1541.2195
206.8966,1111.1111,1539.6194
206.8966,1333.3333,1537.5727
206.8966,1555.5556,1535.4400
206.8966,1777.7778,1533.5734
206.8966,2000.0000,1533.5734
258.6207,0.0000,1548.4067
258.6207,222.2222,1549.9406
258.6207,444.4444,1551.7270
258.6207,666.6667,1552.7833
258.6207,888.8889,1552.3746
258.6207,1111.1111,1550.6664
258.6207,1333.3333,1548.2822
258.6207,1555.5556,1545.5553
258.6207,1777.7778,1542.7898
258.6207,2000.0000,1542.7898
310.3448,0.0000,1552.3336
310.3448,222.2222,1553.5424
310.3448,444.4444,1555.1127
310.3448,666.6667,1556.0351
310.3448,888.8889,1555.6124
310.3448,1111.1111,1554.0862
310.3448,1333.3333,1552.0978
310.3448,1555.5556,1549.8141
310.3448,1777.7778,1547.2471
310.3448,2000.0000,1547.2471
362.0690,0.0000,1551.5777
362.0690,222.2222,1552.1415
362.0690,444.4444,1553.1302
362.0690,666.6667,1553.6748
362.0690,888.8889,1553.1807
362.0690,1111.1111,1551.9554
362.0690,1333.3333,1550.6009
362.0690,1555.5556,1549.0769
362.0690,1777.7778,1547.1170
362.0690,2000.0000,1547.1170
413.7931,0.0000,1547.3295
413.7931,222.2222,1547.1591
413.7931,444.4444,1547.5108
413.7931,666.6667,1547.6599
413.7931,888.8889,1547.0979
413.7931,1111.1111,1546.1852
413.7931,1333.3333,1545.4799
413.7931,1555.5556,1544.7505
413.7931,1777.7778,1543.5047
413.7931,2000.0000,1543.5047
465.5172,0.0000,1541.0994
465.5172,222.2222,1540.2536
465.5172,444.4444,1540.1344
465.5172,666.6667,1540.0328
465.5172,888.8889,1539.4489
465.5172,1111.1111,1538.7929
465.5172,1333.3333,1538.6214
465.5172,1555.5556,1538.5515
465.5172,1777.7778,1537.9132
465.5172,2000.0000,1537.9132
517.2414,0.0000,1534.3008
517.2414,222.2222,1533.2329
517.2414,444.4444,1533.1257
517.2414,666.6667,1533.1014
517.2414,888.8889,1532.6140
517.2414,1111.1111,1532.1018
517.2414,1333.3333,1532.1519
517.2414,1555.5556,1532.3297
517.2414,1777.7778,1531.8596
517.2414,2000.0000,1531.8596
568.9655,0.0000,1527.4710
568.9655,222.2222,1526.3714
568.9655,444.4444,1526.3840
568.9655,666.6667,1526.5230
568.9655,888.8889,1526.1769
568.9655,1111.1111,1525.7758
568.9655,1333.3333,1525.9225
568.9655,1555.5556,1526.1798
568.9655,1777.7778,1525.7637
568.9655,2000.0000,1525.7637
620.6897,0.0000,1520.8372
620.6897,222.2222,1519.7653
620.6897,444.4444,1519.9032
620.6897,666.6667,1520.2018
620.6897,888.8889,1519.9950
620.6897,1111.1111,1519.6901
620.6897,1333.3333,1519.8922
620.6897,1555.5556,1520.1783
620.6897,1777.7778,1519.7856
620.6897,2000.0000,1519.7856
672.4138,0.0000,1514.4930
672.4138,222.2222,1513.4591
672.4138,444.4444,1513.6997
672.4138,666.6667,1514.1284
672.4138,888.8889,1514.0408
672.4138,1111.1111,1513.8200
672.4138,1333.3333,1514.0666
672.4138,1555.5556,1514.3720
672.4138,1777.7778,1513.9965
672.4138,2000.0000,1513.9965
724.1379,0.0000,1508.4787
724.1379,222.2222,1507.4780
724.1379,444.4444,1507.7950
724.1379,666.6667,1508.3221
724.1379,888.8889,1508.3300
724.1379,1111.1111,1508.1811
724.1379,1333.3333,1508.4688
724.1379,1555.5556,1508.7949
724.1379,1777.7778,1508.4368
724.1379,2000.0000,1508.4368
775.8621,0.0000,1502.8149
775.8621,222.2222,1501.8395
775.8621,444.4444,1502.2105
775.8621,666.6667,1502.8090
775.8621,888.8889,1502.8908
775.8621,1111.1111,1502.8021
775.8621,1333.3333,1503.1278
775.8621,1555.5556,1503.4762
775.8621,1777.7778,1503.1366
775.8621,2000.0000,1503.1366
827.5862,0.0000,1497.5154
827.5862,222.2222,1496.5580
827.5862,444.4444,1496.9658
827.5862,666.6667,1497.6150
827.5862,888.8889,1497.7529
827.5862,1111.1111,1497.7132
827.5862,1333.3333,1498.0728
827.5862,1555.5556,1498.4434
827.5862,1777.7778,1498.1225
827.5862,2000.0000,1498.1225
879.3103,0.0000,1492.5917
879.3103,222.2222,1491.6468
879.3103,444.4444,1492.0788
879.3103,666.6667,1492.7633
879.3103,888.8889,1492.9431
879.3103,1111.1111,1492.9426
879.3103,1333.3333,1493.3311
879.3103,1555.5556,1493.7222
879.3103,1777.7778,1493.4192
879.3103,2000.0000,1493.4192
931.0345,0.0000,1488.0546
931.0345,222.2222,1487.1181
931.0345,444.4444,1487.5656
931.0345,666.6667,1488.2741
931.0345,888.8889,1488.4848
931.0345,1111.1111,1488.5149
931.0345,1333.3333,1488.9272
931.0345,1555.5556,1489.3363
931.0345,1777.7778,1489.0496
931.0345,2000.0000,1489.0496
982.7586,0.0000,1483.9147
982.7586,222.2222,1482.9836
982.7586,444.4444,1483.4405
982.7586,666.6667,1484.1648
982.7586,888.8889,1484.3979
982.7586,1111.1111,1484.4514
982.7586,1333.3333,1484.8826
982.7586,1555.5556,1485.3068
982.7586,1777.7778,1485.0347
982.7586,2000.0000,1485.0347
1034.4828,0.0000,1480.1820
1034.4828,222.2222,1479.2544
1034.4828,444.4444,1479.7162
1034.4828,666.6667,1480.4504
1034.4828,888.8889,1480.6993
1034.4828,1111.1111,1480.7703
1034.4828,1333.3333,1481.2160
1034.4828,1555.5556,1481.6523
1034.4828,1777.7778,1481.3927
1034.4828,2000.0000,1481.3927
1086.2069,0.0000,1476.8661
1086.2069,222.2222,1475.9405
1086.2069,444.4444,1476.4043
1086.2069,666.6667,1477.1439
1086.2069,888.8889,1477.4033
1086.2069,1111.1111,1477.4868
1086.2069,1333.3333,1477.9430
1086.2069,1555.5556,1478.3888
1086.2069,1777.7778,1478.1397
1086.2069,2000.0000,1478.1397
1137.9310,0.0000,1473.9760
1137.9310,222.2222,1473.0514
1137.9310,444.4444,1473.5151
1137.9310,666.6667,1474.2565
1137.9310,888.8889,1474.5218
1137.9310,1111.1111,1474.6135
1137.9310,1333.3333,1475.0769
1137.9310,1555.5556,1475.5296
1137.9310,1777.7778,1475.2892
1137.9310,2000.0000,1475.2892
1189.6552,0.0000,1471.5195
1189.6552,222.2222,1470.5961
1189.6552,444.4444,1471.0580
1189.6552,666.6667,1471.7977
1189.6552,888.8889,1472.0648
1189.6552,1111.1111,1472.1607
1189.6552,1333.3333,1472.6280
1189.6552,1555.5556,1473.0854
1189.6552,1777.7778,1472.8523
1189.6552,2000.0000,1472.8523
1241.3793,0.0000,1469.5035
1241.3793,222.2222,1468.5831
1241.3793,444.4444,1469.0418
1241.3793,666.6667,1469.7752
1241.3793,888.8889,1470.0400
1241.3793,1111.1111,1470.1367
1241.3793,1333.3333,1470.6045
1241.3793,1555.5556,1471.0643
1241.3793,1777.7778,1470.8378
1241.3793,2000.0000,1470.8378
1293.1034,0.0000,1467.9321
1293.1034,222.2222,1467.0227
1293.1034,444.4444,1467.4754
1293.1034,666.6667,1468.1946
1293.1034,888.8889,1468.4527
1293.1034,1111.1111,1468.5481
1293.1034,1333.3333,1469.0120
1293.1034,1555.5556,1469.4710
1293.1034,1777.7778,1469.2530
1293.1034,2000.0000,1469.2530
1344.8276,0.0000,1466.8029
1344.8276,222.2222,1465.9303
1344.8276,444.4444,1466.3691
1344.8276,666.6667,1467.0565
1344.8276,888.8889,1467.3052
1344.8276,1111.1111,1467.4021
1344.8276,1333.3333,1467.8539
1344.8276,1555.5556,1468.3047
1344.8276,1777.7778,1468.1052
1344.8276,2000.0000,1468.1052
1396.5517,0.0000,1466.0962
1396.5517,222.2222,1465.3379
1396.5517,444.4444,1465.7336
1396.5517,666.6667,1466.3507
1396.5517,888.8889,1466.5956
1396.5517,1111.1111,1466.7114
1396.5517,1333.3333,1467.1336
1396.5517,1555.5556,1467.5540
1396.5517,1777.7778,1467.4060
1396.5517,2000.0000,1467.4060
1448.2759,0.0000,1465.7494
1448.2759,222.2222,1465.3096
1448.2759,444.4444,1465.5724
1448.2759,666.6667,1466.0478
1448.2759,888.8889,1466.3174
1448.2759,1111.1111,1466.5026
1448.2759,1333.3333,1466.8595
1448.2759,1555.5556,1467.1894
1448.2759,1777.7778,1467.1813
1448.2759,2000.0000,1467.1813
1500.0000,0.0000,1465.7494
1500.0000,222.2222,1465.3096
1500.0000,444.4444,1465.5724
1500.0000,666.6667,1466.0478
1500.0000,888.8889,1466.3174
1500.0000,1111.1111,1466.5026
1500.0000,1333.3333,1466.8595
1500.0000,1555.5556,1467.1894
1500.0000,1777.7778,1467.1813
1500.0000,2000.0000,1467.1813
