y,x,val
0.0000,0.0000,1082.3270
0.0000,222.2222,1090.7689
0.0000,444.4444,1166.9331
0.0000,666.6667,1298.8869
0.0000,888.8889,1490.8168
0.0000,1111.1111,1730.9921
0.0000,1333.3333,1940.3181
0.0000,1555.5556,2047.9331
0.0000,1777.7778,2049.8734
0.0000,2000.0000,2049.8734
51.7241,0.0000,1132.4879
51.7241,222.2222,1147.7108
51.7241,444.4444,1220.9424
51.7241,666.6667,1332.7000
51.7241,888.8889,1480.8240
51.7241,1111.1111,1673.1171
51.7241,1333.3333,1855.1786
51.7241,1555.5556,1970.5288
51.7241,1777.7778,1989.8936
51.7241,2000.0000,1989.8936
103.4483,0.0000,1278.8468
103.4483,222.2222,1310.2859
103.4483,444.4444,1353.6730
103.4483,666.6667,1432.7517
103.4483,888.8889,1534.5078
103.4483,1111.1111,1667.3531
103.4483,1333.3333,1778.0084
103.4483,1555.5556,1827.6760
103.4483,1777.7778,1828.4231
103.4483,2000.0000,1828.4231
155.1724,0.0000,1424.6207
155.1724,222.2222,1464.7998
155.1724,444.4444,1455.6510
155.1724,666.6667,1476.6797
155.1724,888.8889,1512.8116
155.1724,1111.1111,1572.7484
155.1724,1333.3333,1612.2150
155.1724,1555.5556,1612.7007
155.1724,1777.7778,1600.6436
155.1724,2000.0000,1600.6436
206.8966,0.0000,1453.4917
206.8966,222.2222,1470.6047
206.8966,444.4444,1408.0368
206.8966,666.6667,1377.8158
206.8966,888.8889,1361.6639
206.8966,1111.1111,1370.9917
206.8966,1333.3333,1374.9361
206.8966,1555.5556,1363.5264
206.8966,1777.7778,1356.7647
206.8966,2000.0000,1356.7647
258.6207,0.0000,1344.4069
258.6207,222.2222,1322.5702
258.6207,444.4444,1231.6601
258.6207,666.6667,1175.8736
258.6207,888.8889,1144.2488
258.6207,1111.1111,1137.8048
258.6207,1333.3333,1138.1390
258.6207,1555.5556,1137.0391
258.6207,1777.7778,1144.2198
258.6207,2000.0000,1144.2198
310.3448,0.0000,1189.2356
310.3448,222.2222,1143.3132
310.3448,444.4444,1049.3085
310.3448,666.6667,983.4002
310.3448,888.8889,952.8729
310.3448,1111.1111,947.0124
310.3448,1333.3333,954.0856
310.3448,1555.5556,967.4211
310.3448,1777.7778,988.0892
310.3448,2000.0000,988.0892
362.0690,0.0000,1068.8686
362.0690,222.2222,1020.2986
362.0690,444.4444,939.7088
362.0690,666.6667,870.9306
362.0690,888.8889,839.7810
362.0690,1111.1111,832.9872
362.0690,1333.3333,841.9541
362.0690,1555.5556,865.0420
362.0690,1777.7778,894.9584
362.0690,2000.0000,894.9584
413.7931,0.0000,1010.5601
413.7931,222.2222,975.8427
413.7931,444.4444,920.2877
413.7931,666.6667,861.8279
413.7931,888.8889,825.1562
413.7931,1111.1111,811.2966
413.7931,1333.3333,813.4546
413.7931,1555.5556,833.7559
413.7931,1777.7778,864.7069
413.7931,2000.0000,864.7069
465.5172,0.0000,1011.9328
465.5172,222.2222,998.4023
465.5172,444.4444,969.6594
465.5172,666.6667,934.8216
465.5172,888.8889,903.3874
465.5172,1111.1111,885.3921
465.5172,1333.3333,879.2294
465.5172,1555.5556,882.8089
465.5172,1777.7778,892.8848
465.5172,2000.0000,892.8848
517.2414,0.0000,1041.2561
517.2414,222.2222,1038.5730
517.2414,444.4444,1026.7613
517.2414,666.6667,1009.5532
517.2414,888.8889,991.6522
517.2414,1111.1111,975.3375
517.2414,1333.3333,961.1196
517.2414,1555.5556,949.1202
517.2414,1777.7778,943.3727
517.2414,2000.0000,943.3727
568.9655,0.0000,1088.7169
568.9655,222.2222,1093.1977
568.9655,444.4444,1093.2427
568.9655,666.6667,1089.3455
568.9655,888.8889,1081.5015
568.9655,1111.1111,1063.9835
568.9655,1333.3333,1043.9866
568.9655,1555.5556,1024.8304
568.9655,1777.7778,1009.3573
568.9655,2000.0000,1009.3573
620.6897,0.0000,1150.2030
620.6897,222.2222,1160.2576
620.6897,444.4444,1169.3621
620.6897,666.6667,1175.6700
620.6897,888.8889,1175.1755
620.6897,1111.1111,1156.8159
620.6897,1333.3333,1132.5447
620.6897,1555.5556,1108.2503
620.6897,1777.7778,1086.5141
620.6897,2000.0000,1086.5141
672.4138,0.0000,1223.8032
672.4138,222.2222,1238.7244
672.4138,444.4444,1255.4018
672.4138,666.6667,1270.1267
672.4138,888.8889,1275.6516
672.4138,1111.1111,1256.7420
672.4138,1333.3333,1228.8035
672.4138,1555.5556,1199.8940
672.4138,1777.7778,1173.1311
672.4138,2000.0000,1173.1311
724.1379,0.0000,1308.6271
724.1379,222.2222,1328.2103
724.1379,444.4444,1351.8411
724.1379,666.6667,1374.2178
724.1379,888.8889,1385.2650
724.1379,1111.1111,1365.7336
724.1379,1333.3333,1334.0975
724.1379,1555.5556,1300.4615
724.1379,1777.7778,1268.7757
724.1379,2000.0000,1268.7757
775.8621,0.0000,1404.2746
775.8621,222.2222,1428.6619
775.8621,444.4444,1459.2334
775.8621,666.6667,1489.2123
775.8621,888.8889,1505.7715
775.8621,1111.1111,1485.2971
775.8621,1333.3333,1449.4948
775.8621,1555.5556,1410.6049
775.8621,1777.7778,1373.5290
775.8621,2000.0000,1373.5290
827.5862,0.0000,1510.5209
827.5862,222.2222,1540.1155
827.5862,444.4444,1578.0563
827.5862,666.6667,1616.0942
827.5862,888.8889,1638.4809
827.5862,1111.1111,1616.5884
827.5862,1333.3333,1575.8353
827.5862,1555.5556,1530.8490
827.5862,1777.7778,1487.5817
827.5862,2000.0000,1487.5817
879.3103,0.0000,1627.0760
879.3103,222.2222,1662.4831
879.3103,444.4444,1708.5516
879.3103,666.6667,1755.4819
879.3103,888.8889,1784.2607
879.3103,1111.1111,1760.3727
879.3103,1333.3333,1713.6430
879.3103,1555.5556,1661.4678
879.3103,1777.7778,1610.9771
879.3103,2000.0000,1610.9771
931.0345,0.0000,1753.3663
931.0345,222.2222,1795.3400
931.0345,444.4444,1850.5364
931.0345,666.6667,1907.4747
931.0345,888.8889,1943.4095
931.0345,1111.1111,1916.8764
931.0345,1333.3333,1862.9595
931.0345,1555.5556,1802.3113
931.0345,1777.7778,1743.3977
931.0345,2000.0000,1743.3977
982.7586,0.0000,1888.3147
982.7586,222.2222,1937.6968
982.7586,444.4444,2003.1677
982.7586,666.6667,2071.4140
982.7586,888.8889,2115.4130
982.7586,1111.1111,2085.5402
982.7586,1333.3333,2023.1082
982.7586,1555.5556,1952.5858
982.7586,1777.7778,1883.9522
982.7586,2000.0000,1883.9522
1034.4828,0.0000,2030.1206
1034.4828,222.2222,2087.7541
1034.4828,444.4444,2164.6620
1034.4828,666.6667,2245.5614
1034.4828,888.8889,2298.5907
1034.4828,1111.1111,2264.6811
1034.4828,1333.3333,2192.3961
1034.4828,1555.5556,2110.6022
1034.4828,1777.7778,2030.9571
1034.4828,2000.0000,2030.9571
1086.2069,0.0000,2176.0640
1086.2069,222.2222,2242.6662
1086.2069,444.4444,2331.9921
1086.2069,666.6667,2426.7162
1086.2069,888.8889,2489.6577
1086.2069,1111.1111,2451.0840
1086.2069,1333.3333,2367.7805
1086.2069,1555.5556,2273.5194
1086.2069,1777.7778,2181.7382
1086.2069,2000.0000,2181.7382
1137.9310,0.0000,2322.3853
1137.9310,222.2222,2398.3665
1137.9310,444.4444,2500.6167
1137.9310,666.6667,2609.8289
1137.9310,888.8889,2683.2539
1137.9310,1111.1111,2639.5783
1137.9310,1333.3333,2544.5548
1137.9310,1555.5556,2437.1438
1137.9310,1777.7778,2332.5082
1137.9310,2000.0000,2332.5082
1189.6552,0.0000,2464.3231
1189.6552,222.2222,2549.5405
1189.6552,444.4444,2664.3406
1189.6552,666.6667,2787.7183
1189.6552,888.8889,2871.5577
1189.6552,1111.1111,2822.7080
1189.6552,1333.3333,2716.1550
1189.6552,1555.5556,2595.8764
1189.6552,1777.7778,2478.4122
1189.6552,2000.0000,2478.4122
1241.3793,0.0000,2596.4006
1241.3793,222.2222,2689.8455
1241.3793,444.4444,2815.4338
1241.3793,666.6667,2951.0663
1241.3793,888.8889,3044.1726
1241.3793,1111.1111,2990.6763
1241.3793,1333.3333,2874.2239
1241.3793,1555.5556,2742.9183
1241.3793,1777.7778,2613.8553
1241.3793,2000.0000,2613.8553
1293.1034,0.0000,2713.0360
1293.1034,222.2222,2812.4350
1293.1034,444.4444,2945.1502
1293.1034,666.6667,3088.9205
1293.1034,888.8889,3188.5475
1293.1034,1111.1111,3131.8185
1293.1034,1333.3333,3009.0845
1293.1034,1555.5556,2870.7902
1293.1034,1777.7778,2733.2261
1293.1034,2000.0000,2733.2261
1344.8276,0.0000,2809.4796
1344.8276,222.2222,2910.6996
1344.8276,444.4444,3044.7362
1344.8276,666.6667,3189.9675
1344.8276,888.8889,3291.1727
1344.8276,1111.1111,3233.9293
1344.8276,1333.3333,3110.7555
1344.8276,1555.5556,2972.0325
1344.8276,1777.7778,2832.0958
1344.8276,2000.0000,2832.0958
1396.5517,0.0000,2882.9786
1396.5517,222.2222,2978.8727
1396.5517,444.4444,3106.9477
1396.5517,666.6667,3244.8155
1396.5517,888.8889,3339.5758
1396.5517,1111.1111,3286.8153
1396.5517,1333.3333,3170.6819
1396.5517,1555.5556,3039.6055
1396.5517,1777.7778,2908.9272
1396.5517,2000.0000,2908.9272
1448.2759,0.0000,2933.8733
1448.2759,222.2222,3012.1939
1448.2759,444.4444,3128.0003
1448.2759,666.6667,3249.2344
1448.2759,888.8889,3324.8745
1448.2759,1111.1111,3286.1400
1448.2759,1333.3333,3184.5634
1448.2759,1555.5556,3066.7788
1448.2759,1777.7778,2967.0986
1448.2759,2000.0000,2967.0986
1500.0000,0.0000,2933.8733
1500.0000,222.2222,3012.1939
1500.0000,444.4444,3128.0003
1500.0000,666.6667,3249.2344
1500.0000,888.8889,3324.8745
1500.0000,1111.1111,3286.1400
1500.0000,1333.3333,3184.5634
1500.0000,1555.5556,3066.7788
1500.0000,1777.7778,2967.0986
1500.0000,2000.0000,2967.0986
