y,x,val
0.0000,0.0000,-157.6901
0.0000,222.2222,-187.4524
0.0000,444.4444,-203.1306
0.0000,666.6667,-209.2682
0.0000,888.8889,-209.2955
0.0000,1111.1111,-209.5648
0.0000,1333.3333,-207.8657
0.0000,1555.5556,-192.6442
0.0000,1777.7778,-162.6571
0.0000,2000.0000,-162.6571
51.7241,0.0000,-86.2555
51.7241,222.2222,-104.8271
51.7241,444.4444,-128.2267
51.7241,666.6667,-145.3104
51.7241,888.8889,-149.4037
51.7241,1111.1111,-144.9681
51.7241,1333.3333,-131.9282
51.7241,1555.5556,-109.5077
51.7241,1777.7778,-91.1238
51.7241,2000.0000,-91.1238
103.4483,0.0000,35.1392
103.4483,222.2222,23.9213
103.4483,444.4444,-16.0022
103.4483,666.6667,-51.7712
103.4483,888.8889,-62.1475
103.4483,1111.1111,-50.2668
103.4483,1333.3333,-17.8074
103.4483,1555.5556,21.2672
103.4483,1777.7778,31.6465
103.4483,2000.0000,31.6465
155.1724,0.0000,132.6045
155.1724,222.2222,118.2627
155.1724,444.4444,64.9634
155.1724,666.6667,17.4043
155.1724,888.8889,3.3631
155.1724,1111.1111,19.9949
155.1724,1333.3333,65.1383
155.1724,1555.5556,118.4123
155.1724,1777.7778,131.6220
155.1724,2000.0000,131.6220
206.8966,0.0000,166.5356
206.8966,222.2222,150.4604
206.8966,444.4444,94.0210
206.8966,666.6667,43.5044
206.8966,888.8889,28.3991
206.8966,1111.1111,47.2631
206.8966,1333.3333,95.9997
206.8966,1555.5556,153.3558
206.8966,1777.7778,168.4943
206.8966,2000.0000,168.4943
258.6207,0.0000,130.4958
258.6207,222.2222,116.2517
258.6207,444.4444,67.5762
258.6207,666.6667,23.1070
258.6207,888.8889,10.5051
258.6207,1111.1111,27.6761
258.6207,1333.3333,70.4100
258.6207,1555.5556,120.9485
258.6207,1777.7778,134.8999
258.6207,2000.0000,134.8999
310.3448,0.0000,42.7709
310.3448,222.2222,30.9962
310.3448,444.4444,-6.0363
310.3448,666.6667,-40.4616
310.3448,888.8889,-49.5964
310.3448,1111.1111,-36.3021
310.3448,1333.3333,-3.4676
310.3448,1555.5556,36.0807
310.3448,1777.7778,48.0654
310.3448,2000.0000,48.0654
362.0690,0.0000,-69.4660
362.0690,222.2222,-80.3602
362.0690,444.4444,-107.8662
362.0690,666.6667,-134.1173
362.0690,888.8889,-140.8605
362.0690,1111.1111,-130.9513
362.0690,1333.3333,-106.5995
362.0690,1555.5556,-75.8299
362.0690,1777.7778,-64.0681
362.0690,2000.0000,-64.0681
413.7931,0.0000,-180.4188
413.7931,222.2222,-191.7571
413.7931,444.4444,-213.9532
413.7931,666.6667,-236.3143
413.7931,888.8889,-242.3312
413.7931,1111.1111,-233.1255
413.7931,1333.3333,-213.4810
413.7931,1555.5556,-187.9433
413.7931,1777.7778,-175.3168
413.7931,2000.0000,-175.3168
465.5172,0.0000,-273.3788
465.5172,222.2222,-285.0085
465.5172,444.4444,-303.9293
465.5172,666.6667,-324.3018
465.5172,888.8889,-330.7742
465.5172,1111.1111,-321.1344
465.5172,1333.3333,-304.0772
465.5172,1555.5556,-281.8821
465.5172,1777.7778,-268.7436
465.5172,2000.0000,-268.7436
517.2414,0.0000,-342.2586
517.2414,222.2222,-351.9110
517.2414,444.4444,-365.2444
517.2414,666.6667,-381.0344
517.2414,888.8889,-386.4507
517.2414,1111.1111,-378.1084
517.2414,1333.3333,-366.0079
517.2414,1555.5556,-349.4833
517.2414,1777.7778,-338.1917
517.2414,2000.0000,-338.1917
568.9655,0.0000,-385.3350
568.9655,222.2222,-392.4377
568.9655,444.4444,-401.0805
568.9655,666.6667,-412.7812
568.9655,888.8889,-416.5621
568.9655,1111.1111,-410.1766
568.9655,1333.3333,-402.5876
568.9655,1555.5556,-390.8726
568.9655,1777.7778,-382.1078
568.9655,2000.0000,-382.1078
620.6897,0.0000,-406.0490
620.6897,222.2222,-410.9251
620.6897,444.4444,-416.0485
620.6897,666.6667,-424.0509
620.6897,888.8889,-425.8042
620.6897,1111.1111,-421.9617
620.6897,1333.3333,-417.9876
620.6897,1555.5556,-410.0607
620.6897,1777.7778,-403.6866
620.6897,2000.0000,-403.6866
672.4138,0.0000,-406.9817
672.4138,222.2222,-410.0121
672.4138,444.4444,-410.7897
672.4138,666.6667,-414.3080
672.4138,888.8889,-413.2366
672.4138,1111.1111,-412.3560
672.4138,1333.3333,-413.7168
672.4138,1555.5556,-409.9089
672.4138,1777.7778,-405.1862
672.4138,2000.0000,-405.1862
724.1379,0.0000,-388.3382
724.1379,222.2222,-388.7465
724.1379,444.4444,-384.5266
724.1379,666.6667,-384.0238
724.1379,888.8889,-381.1842
724.1379,1111.1111,-382.0649
724.1379,1333.3333,-388.4214
724.1379,1555.5556,-389.4448
724.1379,1777.7778,-387.1568
724.1379,2000.0000,-387.1568
775.8621,0.0000,-350.9835
775.8621,222.2222,-348.5446
775.8621,444.4444,-339.7634
775.8621,666.6667,-335.7549
775.8621,888.8889,-331.3359
775.8621,1111.1111,-333.7517
775.8621,1333.3333,-344.5514
775.8621,1555.5556,-349.9137
775.8621,1777.7778,-350.2537
775.8621,2000.0000,-350.2537
827.5862,0.0000,-295.7610
827.5862,222.2222,-290.4170
827.5862,444.4444,-277.3430
827.5862,666.6667,-270.0835
827.5862,888.8889,-264.1465
827.5862,1111.1111,-268.0473
827.5862,1333.3333,-282.9816
827.5862,1555.5556,-292.3702
827.5862,1777.7778,-295.4005
827.5862,2000.0000,-295.4005
879.3103,0.0000,-222.8954
879.3103,222.2222,-214.5890
879.3103,444.4444,-197.2123
879.3103,666.6667,-186.4278
879.3103,888.8889,-179.0223
879.3103,1111.1111,-184.5562
879.3103,1333.3333,-203.4600
879.3103,1555.5556,-216.9964
879.3103,1777.7778,-222.9503
879.3103,2000.0000,-222.9503
931.0345,0.0000,-132.4860
931.0345,222.2222,-120.9520
931.0345,444.4444,-98.9134
931.0345,666.6667,-83.9070
931.0345,888.8889,-74.9457
931.0345,1111.1111,-82.3996
931.0345,1333.3333,-105.3868
931.0345,1555.5556,-123.5376
931.0345,1777.7778,-132.8502
931.0345,2000.0000,-132.8502
982.7586,0.0000,-21.0155
982.7586,222.2222,-5.9269
982.7586,444.4444,21.3641
982.7586,666.6667,42.0352
982.7586,888.8889,52.5958
982.7586,1111.1111,42.6565
982.7586,1333.3333,15.6235
982.7586,1555.5556,-8.1113
982.7586,1777.7778,-21.5926
982.7586,2000.0000,-21.5926
1034.4828,0.0000,106.5041
1034.4828,222.2222,125.8643
1034.4828,444.4444,159.4765
1034.4828,666.6667,187.0467
1034.4828,888.8889,199.5535
1034.4828,1111.1111,186.6171
1034.4828,1333.3333,154.8462
1034.4828,1555.5556,124.4352
1034.4828,1777.7778,105.9485
1034.4828,2000.0000,105.9485
1086.2069,0.0000,249.2207
1086.2069,222.2222,273.8881
1086.2069,444.4444,315.2785
1086.2069,666.6667,350.5752
1086.2069,888.8889,365.5955
1086.2069,1111.1111,349.1694
1086.2069,1333.3333,311.0993
1086.2069,1555.5556,272.7755
1086.2069,1777.7778,248.3957
1086.2069,2000.0000,248.3957
1137.9310,0.0000,405.9266
1137.9310,222.2222,437.0547
1137.9310,444.4444,487.8295
1137.9310,666.6667,531.7938
1137.9310,888.8889,549.9772
1137.9310,1111.1111,529.5610
1137.9310,1333.3333,483.5090
1137.9310,1555.5556,435.9738
1137.9310,1777.7778,404.7735
1137.9310,2000.0000,404.7735
1189.6552,0.0000,572.6945
1189.6552,222.2222,611.2479
1189.6552,444.4444,672.7298
1189.6552,666.6667,726.3049
1189.6552,888.8889,748.1840
1189.6552,1111.1111,723.3116
1189.6552,1333.3333,667.9427
1189.6552,1555.5556,610.0906
1189.6552,1777.7778,571.2339
1189.6552,2000.0000,571.2339
1241.3793,0.0000,741.6270
1241.3793,222.2222,788.0121
1241.3793,444.4444,860.6502
1241.3793,666.6667,924.1692
1241.3793,888.8889,949.9155
1241.3793,1111.1111,920.3869
1241.3793,1333.3333,855.2626
1241.3793,1555.5556,786.6955
1241.3793,1777.7778,739.7669
1241.3793,2000.0000,739.7669
1293.1034,0.0000,901.1038
1293.1034,222.2222,954.6698
1293.1034,444.4444,1037.2323
1293.1034,666.6667,1109.4946
1293.1034,888.8889,1138.6477
1293.1034,1111.1111,1104.9838
1293.1034,1333.3333,1031.2326
1293.1034,1555.5556,953.1413
1293.1034,1777.7778,898.7811
1293.1034,2000.0000,898.7811
1344.8276,0.0000,1036.8164
1344.8276,222.2222,1095.2435
1344.8276,444.4444,1183.8842
1344.8276,666.6667,1261.3063
1344.8276,888.8889,1292.4446
1344.8276,1111.1111,1256.3454
1344.8276,1333.3333,1177.4846
1344.8276,1555.5556,1093.5252
1344.8276,1777.7778,1034.1140
1344.8276,2000.0000,1034.1140
1396.5517,0.0000,1134.5017
1396.5517,222.2222,1193.2087
1396.5517,444.4444,1280.9023
1396.5517,666.6667,1357.2241
1396.5517,888.8889,1387.7536
1396.5517,1111.1111,1352.3381
1396.5517,1333.3333,1274.5740
1396.5517,1555.5556,1191.1777
1396.5517,1777.7778,1131.4981
1396.5517,2000.0000,1131.4981
1448.2759,0.0000,1183.6683
1448.2759,222.2222,1235.5709
1448.2759,444.4444,1312.9085
1448.2759,666.6667,1380.3169
1448.2759,888.8889,1406.7097
1448.2759,1111.1111,1376.2953
1448.2759,1333.3333,1307.5144
1448.2759,1555.5556,1232.7666
1448.2759,1777.7778,1180.6034
1448.2759,2000.0000,1180.6034
1500.0000,0.0000,1183.6683
1500.0000,222.2222,1235.5709
1500.0000,444.4444,1312.9085
1500.0000,666.6667,1380.3169
1500.0000,888.8889,1406.7097
1500.0000,1111.1111,1376.2953
1500.0000,1333.3333,1307.5144
1500.0000,1555.5556,1232.7666
1500.0000,1777.7778,1180.6034
1500.0000,2000.0000,1180.6034
