y,x,val
0.0000,0.0000,124.7986
0.0000,222.2222,208.3294
0.0000,444.4444,386.0983
0.0000,666.6667,522.9664
0.0000,888.8889,561.1833
0.0000,1111.1111,528.9386
0.0000,1333.3333,386.0295
0.0000,1555.5556,211.4295
0.0000,1777.7778,131.6357
0.0000,2000.0000,131.6357
51.7241,0.0000,82.0984
51.7241,222.2222,175.9272
51.7241,444.4444,401.8485
51.7241,666.6667,575.8701
51.7241,888.8889,611.8433
51.7241,1111.1111,581.7861
51.7241,1333.3333,394.7732
51.7241,1555.5556,172.1802
51.7241,1777.7778,86.2539
51.7241,2000.0000,86.2539
103.4483,0.0000,36.8611
103.4483,222.2222,118.7285
103.4483,444.4444,338.9141
103.4483,666.6667,545.1144
103.4483,888.8889,593.7622
103.4483,1111.1111,547.9325
103.4483,1333.3333,324.9711
103.4483,1555.5556,108.1807
103.4483,1777.7778,36.5204
103.4483,2000.0000,36.5204
155.1724,0.0000,11.0332
155.1724,222.2222,77.4005
155.1724,444.4444,261.5369
155.1724,666.6667,471.9724
155.1724,888.8889,529.0370
155.1724,1111.1111,472.7704
155.1724,1333.3333,244.8084
155.1724,1555.5556,63.2944
155.1724,1777.7778,7.8531
155.1724,2000.0000,7.8531
206.8966,0.0000,24.1397
206.8966,222.2222,74.4990
206.8966,444.4444,221.4871
206.8966,666.6667,425.0850
206.8966,888.8889,484.6671
206.8966,1111.1111,425.9367
206.8966,1333.3333,204.8686
206.8966,1555.5556,59.5061
206.8966,1777.7778,20.2604
206.8966,2000.0000,20.2604
258.6207,0.0000,97.8040
258.6207,222.2222,140.3591
258.6207,444.4444,260.5656
258.6207,666.6667,454.2042
258.6207,888.8889,511.7714
258.6207,1111.1111,456.5761
258.6207,1333.3333,245.2483
258.6207,1555.5556,126.4266
258.6207,1777.7778,94.7837
258.6207,2000.0000,94.7837
310.3448,0.0000,233.9410
310.3448,222.2222,265.2735
310.3448,444.4444,376.7746
310.3448,666.6667,574.2160
310.3448,888.8889,631.0725
310.3448,1111.1111,578.2031
310.3448,1333.3333,362.1892
310.3448,1555.5556,251.5624
310.3448,1777.7778,229.5138
310.3448,2000.0000,229.5138
362.0690,0.0000,458.9414
362.0690,222.2222,480.6561
362.0690,444.4444,585.7303
362.0690,666.6667,798.2698
362.0690,888.8889,855.5211
362.0690,1111.1111,803.4829
362.0690,1333.3333,568.7598
362.0690,1555.5556,462.5056
362.0690,1777.7778,448.9006
362.0690,2000.0000,448.9006
413.7931,0.0000,778.8659
413.7931,222.2222,793.0250
413.7931,444.4444,889.7954
413.7931,666.6667,1126.9062
413.7931,888.8889,1183.7753
413.7931,1111.1111,1132.5887
413.7931,1333.3333,866.7710
413.7931,1555.5556,765.8734
413.7931,1777.7778,760.1349
413.7931,2000.0000,760.1349
465.5172,0.0000,1169.6137
465.5172,222.2222,1172.8535
465.5172,444.4444,1250.1468
465.5172,666.6667,1511.5250
465.5172,888.8889,1563.1607
465.5172,1111.1111,1516.3007
465.5172,1333.3333,1217.0253
465.5172,1555.5556,1131.4714
465.5172,1777.7778,1137.7457
465.5172,2000.0000,1137.7457
517.2414,0.0000,1507.0940
517.2414,222.2222,1495.6292
517.2414,444.4444,1536.7033
517.2414,666.6667,1798.9397
517.2414,888.8889,1836.0706
517.2414,1111.1111,1800.3606
517.2414,1333.3333,1490.9275
517.2414,1555.5556,1436.2006
517.2414,1777.7778,1457.6924
517.2414,2000.0000,1457.6924
568.9655,0.0000,1581.3478
568.9655,222.2222,1556.5530
568.9655,444.4444,1554.8485
568.9655,666.6667,1771.7818
568.9655,888.8889,1787.5354
568.9655,1111.1111,1767.8190
568.9655,1333.3333,1500.0232
568.9655,1555.5556,1483.6892
568.9655,1777.7778,1516.9890
568.9655,2000.0000,1516.9890
620.6897,0.0000,1301.6747
620.6897,222.2222,1266.8990
620.6897,444.4444,1234.6979
620.6897,666.6667,1374.5985
620.6897,888.8889,1372.5113
620.6897,1111.1111,1366.3633
620.6897,1333.3333,1181.3279
620.6897,1555.5556,1195.0054
620.6897,1777.7778,1234.9962
620.6897,2000.0000,1234.9962
672.4138,0.0000,820.9116
672.4138,222.2222,781.4926
672.4138,444.4444,737.9677
672.4138,666.6667,808.7865
672.4138,888.8889,798.4758
672.4138,1111.1111,799.9659
672.4138,1333.3333,693.3438
672.4138,1555.5556,721.7770
672.4138,1777.7778,763.8256
672.4138,2000.0000,763.8256
724.1379,0.0000,343.5393
724.1379,222.2222,303.8301
724.1379,444.4444,260.1858
724.1379,666.6667,287.6172
724.1379,888.8889,275.4825
724.1379,1111.1111,280.3615
724.1379,1333.3333,225.4741
724.1379,1555.5556,258.2025
724.1379,1777.7778,299.1923
724.1379,2000.0000,299.1923
775.8621,0.0000,-34.9999
775.8621,222.2222,-72.8876
775.8621,444.4444,-113.4047
775.8621,666.6667,-109.4379
775.8621,888.8889,-121.0222
775.8621,1111.1111,-114.4780
775.8621,1333.3333,-140.1982
775.8621,1555.5556,-107.1809
775.8621,1777.7778,-68.3976
775.8621,2000.0000,-68.3976
827.5862,0.0000,-305.7318
827.5862,222.2222,-341.3662
827.5862,444.4444,-379.1694
827.5862,666.6667,-387.8622
827.5862,888.8889,-398.4773
827.5862,1111.1111,-390.7394
827.5862,1333.3333,-400.1582
827.5862,1555.5556,-367.5099
827.5862,1777.7778,-330.9674
827.5862,2000.0000,-330.9674
879.3103,0.0000,-488.2040
879.3103,222.2222,-521.7927
879.3103,444.4444,-558.4549
879.3103,666.6667,-574.6247
879.3103,888.8889,-584.4302
879.3103,1111.1111,-575.6303
879.3103,1333.3333,-574.5627
879.3103,1555.5556,-541.8493
879.3103,1777.7778,-507.5095
879.3103,2000.0000,-507.5095
931.0345,0.0000,-603.2407
931.0345,222.2222,-634.7613
931.0345,444.4444,-671.7458
931.0345,666.6667,-692.9617
931.0345,888.8889,-701.7068
931.0345,1111.1111,-692.1565
931.0345,1333.3333,-682.3089
931.0345,1555.5556,-649.2780
931.0345,1777.7778,-617.7938
931.0345,2000.0000,-617.7938
982.7586,0.0000,-661.1947
982.7586,222.2222,-692.0959
982.7586,444.4444,-727.8427
982.7586,666.6667,-751.6258
982.7586,888.8889,-757.8442
982.7586,1111.1111,-748.6819
982.7586,1333.3333,-729.3156
982.7586,1555.5556,-699.2226
982.7586,1777.7778,-671.5404
982.7586,2000.0000,-671.5404
1034.4828,0.0000,-667.6736
1034.4828,222.2222,-698.6470
1034.4828,444.4444,-729.1422
1034.4828,666.6667,-748.4563
1034.4828,888.8889,-750.9697
1034.4828,1111.1111,-738.0779
1034.4828,1333.3333,-716.0031
1034.4828,1555.5556,-696.4263
1034.4828,1777.7778,-674.8948
1034.4828,2000.0000,-674.8948
1086.2069,0.0000,-616.8076
1086.2069,222.2222,-641.2032
1086.2069,444.4444,-657.2959
1086.2069,666.6667,-663.3088
1086.2069,888.8889,-663.2422
1086.2069,1111.1111,-652.3518
1086.2069,1333.3333,-638.2004
1086.2069,1555.5556,-628.8665
1086.2069,1777.7778,-617.7719
1086.2069,2000.0000,-617.7719
1137.9310,0.0000,-499.0610
1137.9310,222.2222,-513.0879
1137.9310,444.4444,-509.9517
1137.9310,666.6667,-497.0471
1137.9310,888.8889,-491.1755
1137.9310,1111.1111,-484.2225
1137.9310,1333.3333,-482.5981
1137.9310,1555.5556,-489.6238
1137.9310,1777.7778,-492.1935
1137.9310,2000.0000,-492.1935
1189.6552,0.0000,-290.6720
1189.6552,222.2222,-288.0043
1189.6552,444.4444,-252.5625
1189.6552,666.6667,-204.5046
1189.6552,888.8889,-186.5486
1189.6552,1111.1111,-186.2281
1189.6552,1333.3333,-207.5443
1189.6552,1555.5556,-245.6722
1189.6552,1777.7778,-272.6225
1189.6552,2000.0000,-272.6225
1241.3793,0.0000,56.1307
1241.3793,222.2222,92.1378
1241.3793,444.4444,194.2987
1241.3793,666.6667,321.6357
1241.3793,888.8889,369.7456
1241.3793,1111.1111,354.9543
1241.3793,1333.3333,280.3488
1241.3793,1555.5556,172.8392
1241.3793,1777.7778,94.3420
1241.3793,2000.0000,94.3420
1293.1034,0.0000,626.3922
1293.1034,222.2222,739.0845
1293.1034,444.4444,1002.8058
1293.1034,666.6667,1345.8780
1293.1034,888.8889,1484.8327
1293.1034,1111.1111,1424.2932
1293.1034,1333.3333,1196.5930
1293.1034,1555.5556,908.8393
1293.1034,1777.7778,707.2769
1293.1034,2000.0000,707.2769
1344.8276,0.0000,1535.7957
1344.8276,222.2222,1832.2167
1344.8276,444.4444,2521.5061
1344.8276,666.6667,3555.9201
1344.8276,888.8889,4040.0219
1344.8276,1111.1111,3799.6387
1344.8276,1333.3333,3035.8937
1344.8276,1555.5556,2223.5288
1344.8276,1777.7778,1713.9348
1344.8276,2000.0000,1713.9348
1396.5517,0.0000,2772.5399
1396.5517,222.2222,3438.9573
1396.5517,444.4444,5102.3224
1396.5517,666.6667,8283.1877
1396.5517,888.8889,10261.2985
1396.5517,1111.1111,9220.7693
1396.5517,1333.3333,6507.5068
1396.5517,1555.5556,4306.9759
1396.5517,1777.7778,3153.2121
1396.5517,2000.0000,3153.2121
1448.2759,0.0000,3696.5207
1448.2759,222.2222,4678.3049
1448.2759,444.4444,7095.4264
1448.2759,666.6667,12042.0493
1448.2759,888.8889,16101.1715
1448.2759,1111.1111,14084.4318
1448.2759,1333.3333,9246.0129
1448.2759,1555.5556,5917.8604
1448.2759,1777.7778,4337.3940
1448.2759,2000.0000,4337.3940
1500.0000,0.0000,3696.5207
1500.0000,222.2222,4678.3049
1500.0000,444.4444,7095.4264
1500.0000,666.6667,12042.0493
1500.0000,888.8889,16101.1715
1500.0000,1111.1111,14084.4318
1500.0000,1333.3333,9246.0129
1500.0000,1555.5556,5917.8604
1500.0000,1777.7778,4337.3940
1500.0000,2000.0000,4337.3940
