y,x,val
0.0000,0.0000,1457.0354
0.0000,222.2222,1453.8781
0.0000,444.4444,1447.0681
0.0000,666.6667,1438.8743
0.0000,888.8889,1431.6524
0.0000,1111.1111,1426.9473
0.0000,1333.3333,1424.9986
0.0000,1555.5556,1424.4661
0.0000,1777.7778,1425.0089
0.0000,2000.0000,1425.0089
51.7241,0.0000,1459.2461
51.7241,222.2222,1456.6938
51.7241,444.4444,1449.9219
51.7241,666.6667,1441.5467
51.7241,888.8889,1434.1404
51.7241,1111.1111,1429.2976
51.7241,1333.3333,1427.3466
51.7241,1555.5556,1426.3067
51.7241,1777.7778,1426.3572
51.7241,2000.0000,1426.3572
103.4483,0.0000,1460.5983
103.4483,222.2222,1458.8523
103.4483,444.4444,1452.6048
103.4483,666.6667,1444.5976
103.4483,888.8889,1437.4244
103.4483,1111.1111,1432.6397
103.4483,1333.3333,1430.5802
103.4483,1555.5556,1428.9554
103.4483,1777.7778,1428.2495
103.4483,2000.0000,1428.2495
155.1724,0.0000,1459.1199
155.1724,222.2222,1457.3826
155.1724,444.4444,1451.4534
155.1724,666.6667,1443.9522
155.1724,888.8889,1437.2797
155.1724,1111.1111,1432.8433
155.1724,1333.3333,1430.9448
155.1724,1555.5556,1429.3191
155.1724,1777.7778,1428.6345
155.1724,2000.0000,1428.6345
206.8966,0.0000,1455.3136
206.8966,222.2222,1451.8262
206.8966,444.4444,1446.0110
206.8966,666.6667,1439.1676
206.8966,888.8889,1433.2419
206.8966,1111.1111,1429.3676
206.8966,1333.3333,1427.6638
206.8966,1555.5556,1426.7083
206.8966,1777.7778,1427.7220
206.8966,2000.0000,1427.7220
258.6207,0.0000,1457.6892
258.6207,222.2222,1458.3454
258.6207,444.4444,1455.2263
258.6207,666.6667,1449.8462
258.6207,888.8889,1444.9390
258.6207,1111.1111,1441.3303
258.6207,1333.3333,1438.3457
258.6207,1555.5556,1436.0108
258.6207,1777.7778,1433.3828
258.6207,2000.0000,1433.3828
310.3448,0.0000,1455.0524
310.3448,222.2222,1460.7170
310.3448,444.4444,1460.9341
310.3448,666.6667,1457.4526
310.3448,888.8889,1453.9066
310.3448,1111.1111,1450.5996
310.3448,1333.3333,1446.1011
310.3448,1555.5556,1442.0019
310.3448,1777.7778,1434.8446
310.3448,2000.0000,1434.8446
362.0690,0.0000,1433.3508
362.0690,222.2222,1436.2536
362.0690,444.4444,1436.7648
362.0690,666.6667,1434.3123
362.0690,888.8889,1432.0153
362.0690,1111.1111,1429.6124
362.0690,1333.3333,1425.4647
362.0690,1555.5556,1422.5335
362.0690,1777.7778,1418.1168
362.0690,2000.0000,1418.1168
413.7931,0.0000,1405.9196
413.7931,222.2222,1409.4975
413.7931,444.4444,1410.3237
413.7931,666.6667,1408.5132
413.7931,888.8889,1407.2290
413.7931,1111.1111,1405.8455
413.7931,1333.3333,1402.5170
413.7931,1555.5556,1400.4404
413.7931,1777.7778,1395.5327
413.7931,2000.0000,1395.5327
465.5172,0.0000,1368.9562
465.5172,222.2222,1366.3987
465.5172,444.4444,1364.8094
465.5172,666.6667,1362.4977
465.5172,888.8889,1361.7739
465.5172,1111.1111,1361.5953
465.5172,1333.3333,1360.1591
465.5172,1555.5556,1361.4241
465.5172,1777.7778,1362.8664
465.5172,2000.0000,1362.8664
517.2414,0.0000,1343.4939
