y,x,val
0.0000,0.0000,9.0752
0.0000,222.2222,9.5184
0.0000,444.4444,10.1569
0.0000,666.6667,8.4191
0.0000,888.8889,8.4768
0.0000,1111.1111,8.4767
0.0000,1333.3333,6.4592
0.0000,1555.5556,6.6189
0.0000,1777.7778,6.9247
0.0000,2000.0000,6.9247
51.7241,0.0000,8.4216
51.7241,222.2222,8.7711
51.7241,444.4444,9.6151
51.7241,666.6667,7.9351
51.7241,888.8889,7.9527
51.7241,1111.1111,7.9046
51.7241,1333.3333,5.9445
51.7241,1555.5556,6.1246
51.7241,1777.7778,6.4846
51.7241,2000.0000,6.4846
103.4483,0.0000,7.3291
103.4483,222.2222,7.7080
103.4483,444.4444,8.7614
103.4483,666.6667,7.0391
103.4483,888.8889,7.1582
103.4483,1111.1111,7.1743
103.4483,1333.3333,5.1724
103.4483,1555.5556,5.4659
103.4483,1777.7778,5.9024
103.4483,2000.0000,5.9024
155.1724,0.0000,6.0099
155.1724,222.2222,6.4103
155.1724,444.4444,7.5519
155.1724,666.6667,5.8374
155.1724,888.8889,6.0415
155.1724,1111.1111,6.1282
155.1724,1333.3333,4.0826
155.1724,1555.5556,4.4656
155.1724,1777.7778,4.9482
155.1724,2000.0000,4.9482
206.8966,0.0000,4.6540
206.8966,222.2222,5.0753
206.8966,444.4444,6.2969
206.8966,666.6667,4.5021
206.8966,888.8889,4.8095
206.8966,1111.1111,4.9958
206.8966,1333.3333,2.8336
206.8966,1555.5556,3.3123
206.8966,1777.7778,3.8655
206.8966,2000.0000,3.8655
258.6207,0.0000,2.9695
258.6207,222.2222,3.4754
258.6207,444.4444,4.8085
258.6207,666.6667,2.8873
258.6207,888.8889,3.3563
258.6207,1111.1111,3.6918
258.6207,1333.3333,1.4000
258.6207,1555.5556,2.0266
258.6207,1777.7778,2.6974
258.6207,2000.0000,2.6974
310.3448,0.0000,1.3957
310.3448,222.2222,1.8326
310.3448,444.4444,3.1477
310.3448,666.6667,1.3030
310.3448,888.8889,1.7797
310.3448,1111.1111,2.1434
310.3448,1333.3333,-0.0804
310.3448,1555.5556,0.5582
310.3448,1777.7778,1.2423
310.3448,2000.0000,1.2423
362.0690,0.0000,-0.5613
362.0690,222.2222,-0.1071
362.0690,444.4444,1.2611
362.0690,666.6667,-0.6471
362.0690,888.8889,-0.0976
362.0690,1111.1111,0.3583
362.0690,1333.3333,-1.9022
362.0690,1555.5556,-1.2075
362.0690,1777.7778,-0.4627
362.0690,2000.0000,-0.4627
413.7931,0.0000,-2.5891
413.7931,222.2222,-2.0649
413.7931,444.4444,-0.6364
413.7931,666.6667,-2.6674
413.7931,888.8889,-2.0240
413.7931,1111.1111,-1.4671
413.7931,1333.3333,-3.8219
413.7931,1555.5556,-3.0477
413.7931,1777.7778,-2.2343
413.7931,2000.0000,-2.2343
465.5172,0.0000,-4.7004
465.5172,222.2222,-4.1304
465.5172,444.4444,-2.6394
465.5172,666.6667,-4.7759
465.5172,888.8889,-4.0355
465.5172,1111.1111,-3.3977
465.5172,1333.3333,-5.8358
465.5172,1555.5556,-4.9768
465.5172,1777.7778,-4.1022
465.5172,2000.0000,-4.1022
517.2414,0.0000,-6.8655
517.2414,222.2222,-6.2793
517.2414,444.4444,-4.7537
517.2414,666.6667,-6.9384
517.2414,888.8889,-6.1428
517.2414,1111.1111,-5.4466
517.2414,1333.3333,-7.9072
517.2414,1555.5556,-7.0091
517.2414,1777.7778,-6.0844
517.2414,2000.0000,-6.0844
568.9655,0.0000,-6.5984
568.9655,222.2222,-6.0524
568.9655,444.4444,-4.5665
568.9655,666.6667,-6.7802
568.9655,888.8889,-5.9707
568.9655,1111.1111,-5.2636
568.9655,1333.3333,-7.8145
568.9655,1555.5556,-6.8679
568.9655,1777.7778,-5.9259
568.9655,2000.0000,-5.9259
620.6897,0.0000,-6.3452
620.6897,222.2222,-5.9314
620.6897,444.4444,-4.4903
620.6897,666.6667,-6.5362
620.6897,888.8889,-5.8569
620.6897,1111.1111,-5.1912
620.6897,1333.3333,-7.5017
620.6897,1555.5556,-6.7070
620.6897,1777.7778,-5.8349
620.6897,2000.0000,-5.8349
672.4138,0.0000,-6.4732
672.4138,222.2222,-5.9611
672.4138,444.4444,-4.3967
672.4138,666.6667,-6.7232
672.4138,888.8889,-5.9625
672.4138,1111.1111,-5.1781
672.4138,1333.3333,-7.6780
672.4138,1555.5556,-6.8400
672.4138,1777.7778,-5.8866
672.4138,2000.0000,-5.8866
724.1379,0.0000,-6.4937
724.1379,222.2222,-5.8930
