y,0,1,2,3,4,5,6,7,8
25.862068965517242,-0.8283,-0.7029,-0.4186,-1.6721,-0.3385,1.175,0.2562,1.1701,1.5396
77.58620689655173,-1.0939,-1.2121,-0.8082,-1.8894,-0.6289,0.7252,-0.1767,0.8202,1.0909
129.31034482758622,-1.1414,-1.2181,-0.5039,-1.7062,-0.5505,0.6191,-0.3932,0.7093,0.8796
181.0344827586207,-0.8797,-0.8797,-0.0336,-1.3349,-0.3144,0.6833,-0.5153,0.5823,0.6798
232.75862068965517,-0.2981,-0.2288,0.6946,-0.796,0.1319,1.0118,-0.4736,0.5918,0.6655
284.48275862068965,0.1387,0.3278,1.3395,-0.3799,0.542,1.3818,-0.4006,0.6806,0.7871
336.2068965517241,0.7176,0.8646,1.8306,0.0977,0.8861,1.5924,-0.2725,0.6975,0.7384
387.9310344827586,0.8104,0.998,1.9941,0.1239,0.8684,1.5323,-0.4966,0.4203,0.4492
439.65517241379314,0.609,0.8862,1.9295,-0.1178,0.6273,1.2857,-0.9354,-0.0295,0.0009
491.3793103448276,-0.0086,0.3222,1.4259,-0.7583,0.0158,0.6801,-1.6811,-0.754,-0.7231
543.1034482758621,-1.1045,-0.7824,0.3449,-1.8919,-1.0857,-0.3963,-2.7918,-1.8391,-1.7957
594.8275862068965,-0.191,0.0712,1.1491,-1.1158,-0.297,0.4008,-2.0782,-1.0735,-1.0236
646.551724137931,0.3128,0.4278,1.455,-0.6379,0.0602,0.7297,-1.4921,-0.6262,-0.6401
698.2758620689656,0.0767,0.276,1.4231,-0.9437,-0.1493,0.6592,-1.7296,-0.8004,-0.7168
750.0,-0.3648,-0.0924,1.1344,-1.5334,-0.624,0.3139,-2.3263,-1.2868,-1.0799
801.7241379310345,-0.6359,-0.2634,1.0733,-1.94,-0.8784,0.2201,-2.7291,-1.532,-1.1648
853.448275862069,-0.6955,-0.2128,1.2392,-2.1318,-0.9067,0.3571,-2.9069,-1.5444,-1.0135
905.1724137931035,-0.4648,0.0307,1.5165,-2.0068,-0.7099,0.6368,-2.7413,-1.293,-0.6712
956.8965517241379,-0.1848,0.2403,1.6641,-1.7027,-0.4116,0.9208,-2.3151,-0.8515,-0.2274
1008.6206896551724,3.364,3.4848,4.6381,2.1722,3.2076,4.2765,1.9035,3.1424,3.5147
1060.344827586207,5.1222,4.9173,5.7416,4.4134,5.1231,5.847,4.6037,5.5639,5.6112
1112.0689655172414,4.8531,4.4163,4.9925,4.4046,4.8549,5.3053,4.8403,5.5709,5.3635
1163.7931034482758,3.5589,3.0153,3.4699,3.2452,3.5481,3.8472,3.7973,4.3916,4.0447
1215.5172413793105,2.0298,1.4436,1.8421,1.8058,2.0352,2.2577,2.4124,2.9451,2.5396
1267.2413793103449,0.4208,-0.2008,0.1445,0.2522,0.4174,0.5675,0.8688,1.3465,0.8861
1318.9655172413793,-1.2367,-1.8905,-1.6005,-1.3872,-1.2841,-1.204,-0.796,-0.3703,-0.8748
1370.6896551724137,-2.966,-3.6108,-3.3577,-3.0812,-3.0159,-2.9805,-2.5145,-2.1291,-2.6397
1422.4137931034484,-4.746,-5.3162,-5.1089,-4.8327,-4.7758,-4.7493,-4.3075,-3.9629,-4.4013
1474.1379310344828,-6.6002,-6.923,-6.7938,-6.6411,-6.5221,-6.412,-6.14,-5.8653,-6.0597
