y,x,val
0.0000,0.0000,-37.6829
0.0000,222.2222,-37.4573
0.0000,444.4444,-37.2578
0.0000,666.6667,-39.4633
0.0000,888.8889,-39.6444
0.0000,1111.1111,-39.8042
0.0000,1333.3333,-42.0878
0.0000,1555.5556,-41.8345
0.0000,1777.7778,-41.4887
0.0000,2000.0000,-41.4887
48.3871,0.0000,-36.9733
48.3871,222.2222,-36.5966
48.3871,444.4444,-36.0910
48.3871,666.6667,-38.8958
48.3871,888.8889,-38.8083
48.3871,1111.1111,-38.7404
48.3871,1333.3333,-41.6970
48.3871,1555.5556,-41.0190
48.3871,1777.7778,-40.4747
48.3871,2000.0000,-40.4747
96.7742,0.0000,-34.0297
96.7742,222.2222,-33.5785
96.7742,444.4444,-32.8704
96.7742,666.6667,-36.0091
96.7742,888.8889,-35.7593
96.7742,1111.1111,-35.5153
96.7742,1333.3333,-38.7760
96.7742,1555.5556,-37.9401
96.7742,1777.7778,-37.3143
96.7742,2000.0000,-37.3143
145.1613,0.0000,-30.9599
145.1613,222.2222,-30.5326
145.1613,444.4444,-29.7874
145.1613,666.6667,-32.8654
145.1613,888.8889,-32.5267
145.1613,1111.1111,-32.2037
145.1613,1333.3333,-35.4851
145.1613,1555.5556,-34.5562
145.1613,1777.7778,-33.9350
145.1613,2000.0000,-33.9350
193.5484,0.0000,-27.8184
193.5484,222.2222,-27.4958
193.5484,444.4444,-26.7243
193.5484,666.6667,-29.5450
193.5484,888.8889,-29.2493
193.5484,1111.1111,-28.8867
193.5484,1333.3333,-31.8563
193.5484,1555.5556,-31.0381
193.5484,1777.7778,-30.4945
193.5484,2000.0000,-30.4945
241.9355,0.0000,-24.9866
241.9355,222.2222,-24.5357
241.9355,444.4444,-23.5764
241.9355,666.6667,-26.5952
241.9355,888.8889,-26.1338
241.9355,1111.1111,-25.5738
241.9355,1333.3333,-28.6665
241.9355,1555.5556,-27.7677
241.9355,1777.7778,-27.1450
241.9355,2000.0000,-27.1450
290.3226,0.0000,-22.0024
290.3226,222.2222,-21.4341
290.3226,444.4444,-20.3352
290.3226,666.6667,-23.5906
290.3226,888.8889,-22.9572
290.3226,1111.1111,-22.2222
290.3226,1333.3333,-25.5344
290.3226,1555.5556,-24.5175
290.3226,1777.7778,-23.7954
290.3226,2000.0000,-23.7954
338.7097,0.0000,-18.5785
338.7097,222.2222,-17.8652
338.7097,444.4444,-16.6035
338.7097,666.6667,-20.1512
338.7097,888.8889,-19.3218
338.7097,1111.1111,-18.3938
338.7097,1333.3333,-21.9947
338.7097,1555.5556,-20.8215
338.7097,1777.7778,-19.9679
338.7097,2000.0000,-19.9679
387.0968,0.0000,-14.7753
387.0968,222.2222,-13.9056
387.0968,444.4444,-12.4814
387.0968,666.6667,-16.3437
387.0968,888.8889,-15.3188
387.0968,1111.1111,-14.2051
387.0968,1333.3333,-18.1111
387.0968,1555.5556,-16.7811
387.0968,1777.7778,-15.7967
387.0968,2000.0000,-15.7967
435.4839,0.0000,-10.6273
435.4839,222.2222,-9.6964
435.4839,444.4444,-8.1957
435.4839,666.6667,-12.1758
435.4839,888.8889,-11.0559
435.4839,1111.1111,-9.8483
435.4839,1333.3333,-13.8670
435.4839,1555.5556,-12.4644
435.4839,1777.7778,-11.4235
435.4839,2000.0000,-11.4235
483.8710,0.0000,-6.5011
483.8710,222.2222,-5.5885
483.8710,444.4444,-4.1120
483.8710,666.6667,-7.9069
483.8710,888.8889,-6.7737
483.8710,1111.1111,-5.5730
483.8710,1333.3333,-9.4527
483.8710,1555.5556,-8.0484
483.8710,1777.7778,-7.0366
483.8710,2000.0000,-7.0366
532.2581,0.0000,-2.3821
532.2581,222.2222,-1.5558
532.2581,444.4444,-0.1388
532.2581,666.6667,-3.6040
532.2581,888.8889,-2.5302
532.2581,1111.1111,-1.3853
532.2581,1333.3333,-4.9670
532.2581,1555.5556,-3.6262
532.2581,1777.7778,-2.6918
532.2581,2000.0000,-2.6918
580.6452,0.0000,1.6498
580.6452,222.2222,2.3209
580.6452,444.4444,3.5766
580.6452,666.6667,0.7317
580.6452,888.8889,1.6573
580.6452,1111.1111,2.6303
580.6452,1333.3333,-0.3695
580.6452,1555.5556,0.8141
580.6452,1777.7778,1.5551
580.6452,2000.0000,1.5551
629.0323,0.0000,5.0131
629.0323,222.2222,5.5134
629.0323,444.4444,6.6116
629.0323,666.6667,4.3699
629.0323,888.8889,5.1406
629.0323,1111.1111,5.9522
629.0323,1333.3333,3.5418
629.0323,1555.5556,4.5754
629.0323,1777.7778,5.1430
629.0323,2000.0000,5.1430
677.4194,0.0000,7.7198
677.4194,222.2222,8.0886
677.4194,444.4444,9.0591
677.4194,666.6667,7.3979
677.4194,888.8889,8.0461
677.4194,1111.1111,8.7196
677.4194,1333.3333,6.8748
677.4194,1555.5556,7.7845
677.4194,1777.7778,8.1962
677.4194,2000.0000,8.1962
725.8065,0.0000,9.8655
725.8065,222.2222,10.1109
725.8065,444.4444,10.9556
725.8065,666.6667,9.7447
725.8065,888.8889,10.2755
725.8065,1111.1111,10.8154
725.8065,1333.3333,9.4306
725.8065,1555.5556,10.2242
725.8065,1777.7778,10.4923
725.8065,2000.0000,10.4923
774.1935,0.0000,11.4056
774.1935,222.2222,11.5536
774.1935,444.4444,12.3097
774.1935,666.6667,11.4307
774.1935,888.8889,11.8633
774.1935,1111.1111,12.3041
774.1935,1333.3333,11.2660
774.1935,1555.5556,11.9580
774.1935,1777.7778,12.1134
774.1935,2000.0000,12.1134
822.5806,0.0000,12.6129
822.5806,222.2222,12.6901
822.5806,444.4444,13.3813
822.5806,666.6667,12.7544
822.5806,888.8889,13.1077
822.5806,1111.1111,13.4695
822.5806,1333.3333,12.7092
822.5806,1555.5556,13.3140
822.5806,1777.7778,13.3758
822.5806,2000.0000,13.3758
870.9677,0.0000,13.6547
870.9677,222.2222,13.7026
870.9677,444.4444,14.3627
870.9677,666.6667,13.8824
870.9677,888.8889,14.2050
870.9677,1111.1111,14.5294
870.9677,1333.3333,13.9341
870.9677,1555.5556,14.5042
870.9677,1777.7778,14.5200
870.9677,2000.0000,14.5200
919.3548,0.0000,14.4581
919.3548,222.2222,14.4725
919.3548,444.4444,15.1116
919.3548,666.6667,14.7719
