y,x,val
0.0000,0.0000,1.1990
0.0000,222.2222,1.0088
0.0000,444.4444,0.6362
0.0000,666.6667,-2.3829
0.0000,888.8889,-3.3261
0.0000,1111.1111,-4.0262
0.0000,1333.3333,-6.6432
0.0000,1555.5556,-6.4059
0.0000,1777.7778,-6.0277
0.0000,2000.0000,-6.0277
48.3871,0.0000,2.0384
48.3871,222.2222,1.8970
48.3871,444.4444,1.9269
48.3871,666.6667,-1.7380
48.3871,888.8889,-2.4587
48.3871,1111.1111,-2.9471
48.3871,1333.3333,-6.2971
48.3871,1555.5556,-5.5886
48.3871,1777.7778,-5.0091
48.3871,2000.0000,-5.0091
96.7742,0.0000,4.9176
96.7742,222.2222,4.8127
96.7742,444.4444,5.1446
96.7742,666.6667,1.1663
96.7742,888.8889,0.5901
96.7742,1111.1111,0.2574
96.7742,1333.3333,-3.4311
96.7742,1555.5556,-2.5441
96.7742,1777.7778,-1.9167
96.7742,2000.0000,-1.9167
145.1613,0.0000,7.6790
145.1613,222.2222,7.5319
145.1613,444.4444,7.9946
145.1613,666.6667,4.1162
145.1613,888.8889,3.6292
145.1613,1111.1111,3.3688
145.1613,1333.3333,-0.3491
145.1613,1555.5556,0.6571
145.1613,1777.7778,1.2409
145.1613,2000.0000,1.2409
193.5484,0.0000,10.2039
193.5484,222.2222,9.9395
193.5484,444.4444,10.5099
193.5484,666.6667,6.9311
193.5484,888.8889,6.4126
193.5484,1111.1111,6.2010
193.5484,1333.3333,2.8068
193.5484,1555.5556,3.7391
193.5484,1777.7778,4.2140
193.5484,2000.0000,4.2140
241.9355,0.0000,12.0529
241.9355,222.2222,11.9101
241.9355,444.4444,12.7339
241.9355,666.6667,8.9948
241.9355,888.8889,8.6619
241.9355,1111.1111,8.6697
241.9355,1333.3333,5.1789
241.9355,1555.5556,6.2335
241.9355,1777.7778,6.7701
241.9355,2000.0000,6.7701
290.3226,0.0000,13.6514
290.3226,222.2222,13.6185
290.3226,444.4444,14.6337
290.3226,666.6667,10.6976
290.3226,888.8889,10.5589
290.3226,1111.1111,10.7683
290.3226,1333.3333,7.0933
290.3226,1555.5556,8.3104
290.3226,1777.7778,8.9328
290.3226,2000.0000,8.9328
338.7097,0.0000,15.2204
