y,x,val
0.0000,0.0000,1508.6402
0.0000,222.2222,1508.6870
0.0000,444.4444,1508.8037
0.0000,666.6667,1509.0142
0.0000,888.8889,1509.2644
0.0000,1111.1111,1509.6801
0.0000,1333.3333,1510.3251
0.0000,1555.5556,1510.9489
0.0000,1777.7778,1511.3023
0.0000,2000.0000,1511.3023
48.3871,0.0000,1508.5460
48.3871,222.2222,1508.6154
48.3871,444.4444,1508.7937
48.3871,666.6667,1509.0838
48.3871,888.8889,1509.4550
48.3871,1111.1111,1509.9839
48.3871,1333.3333,1510.6803
48.3871,1555.5556,1511.3205
48.3871,1777.7778,1511.6387
48.3871,2000.0000,1511.6387
96.7742,0.0000,1508.3329
96.7742,222.2222,1508.4581
96.7742,444.4444,1508.7461
96.7742,666.6667,1509.1814
96.7742,888.8889,1509.7313
96.7742,1111.1111,1510.4084
96.7742,1333.3333,1511.1638
96.7742,1555.5556,1511.7947
96.7742,1777.7778,1512.0471
96.7742,2000.0000,1512.0471
145.1613,0.0000,1507.9596
145.1613,222.2222,1508.1474
145.1613,444.4444,1508.5483
145.1613,666.6667,1509.1304
145.1613,888.8889,1509.8415
145.1613,1111.1111,1510.6477
145.1613,1333.3333,1511.4620
145.1613,1555.5556,1512.0870
145.1613,1777.7778,1512.2810
145.1613,2000.0000,1512.2810
193.5484,0.0000,1507.3590
193.5484,222.2222,1507.5995
193.5484,444.4444,1508.0913
193.5484,666.6667,1508.7880
193.5484,888.8889,1509.6165
193.5484,1111.1111,1510.5134
193.5484,1333.3333,1511.3700
193.5484,1555.5556,1511.9894
193.5484,1777.7778,1512.1399
193.5484,2000.0000,1512.1399
241.9355,0.0000,1506.4675
241.9355,222.2222,1506.7421
241.9355,444.4444,1507.2906
241.9355,666.6667,1508.0554
241.9355,888.8889,1508.9482
241.9355,1111.1111,1509.8884
241.9355,1333.3333,1510.7578
241.9355,1555.5556,1511.3630
241.9355,1777.7778,1511.4821
241.9355,2000.0000,1511.4821
290.3226,0.0000,1505.2429
290.3226,222.2222,1505.5293
290.3226,444.4444,1506.0963
290.3226,666.6667,1506.8788
290.3226,888.8889,1507.7797
290.3226,1111.1111,1508.7114
290.3226,1333.3333,1509.5557
290.3226,1555.5556,1510.1291
290.3226,1777.7778,1510.2247
290.3226,2000.0000,1510.2247
338.7097,0.0000,1503.6730
338.7097,222.2222,1503.9483
338.7097,444.4444,1504.4965
338.7097,666.6667,1505.2481
338.7097,888.8889,1506.1025
338.7097,1111.1111,1506.9724
338.7097,1333.3333,1507.7483
338.7097,1555.5556,1508.2650
338.7097,1777.7778,1508.3401
338.7097,2000.0000,1508.3401
387.0968,0.0000,1501.7777
387.0968,222.2222,1502.0215
387.0968,444.4444,1502.5178
387.0968,666.6667,1503.1954
387.0968,888.8889,1503.9537
387.0968,1111.1111,1504.7112
387.0968,1333.3333,1505.3732
387.0968,1555.5556,1505.8022
387.0968,1777.7778,1505.8548
387.0968,2000.0000,1505.8548
435.4839,0.0000,1499.6074
435.4839,222.2222,1499.8032
435.4839,444.4444,1500.2217
435.4839,666.6667,1500.7913
435.4839,888.8889,1501.4137
435.4839,1111.1111,1502.0158
435.4839,1333.3333,1502.5216
435.4839,1555.5556,1502.8285
435.4839,1777.7778,1502.8503
435.4839,2000.0000,1502.8503
483.8710,0.0000,1497.2370
483.8710,222.2222,1497.3739
483.8710,444.4444,1497.6979
483.8710,666.6667,1498.1377
483.8710,888.8889,1498.5991
483.8710,1111.1111,1499.0183
483.8710,1333.3333,1499.3386
