y,0,1,2,3,4,5,6,7,8
24.193548387096776,-0.2238,0.3322,0.7522,-1.4182,-1.4409,-1.5341,-4.0539,-4.0294,-3.9402
72.58064516129033,-0.1235,0.5642,1.2304,-1.677,-1.3842,-1.1809,-4.4475,-3.9792,-3.5974
120.96774193548387,1.3883,2.0435,2.8102,-0.5394,-0.0953,0.305,-3.2805,-2.6079,-2.0282
169.35483870967744,2.473,2.9887,3.7209,0.3501,0.8554,1.33,-2.2915,-1.4839,-0.8241
217.74193548387098,3.3586,3.7775,4.5323,1.3735,1.8081,2.2983,-1.053,-0.3739,0.1651
266.1290322580645,3.5462,4.1346,5.0955,1.7184,2.2957,2.9542,-0.5656,0.1505,0.6979
314.5161290322581,3.3355,4.0639,5.18,1.5417,2.2718,3.0844,-0.6918,0.1199,0.7062
362.90322580645164,2.8699,3.67,4.9142,0.9365,1.8377,2.8308,-1.2439,-0.2452,0.5154
411.2903225806452,2.2463,3.1061,4.449,0.1026,1.1736,2.3503,-2.0133,-0.803,0.1631
459.6774193548387,1.6518,2.4596,3.8105,-0.7141,0.43,1.7085,-2.7406,-1.383,-0.2763
508.0645161290323,0.9713,1.6369,2.8875,-1.5164,-0.382,0.8988,-3.3797,-1.9368,-0.7556
556.4516129032259,0.4978,0.9591,2.0766,-2.0487,-0.9901,0.2466,-3.6985,-2.2426,-1.0352
604.8387096774194,0.4404,0.6487,1.5639,-1.9737,-1.068,0.0095,-3.333,-1.9765,-0.8867
653.2258064516129,0.4763,0.5223,1.2951,-1.6445,-0.8909,0.0271,-2.736,-1.5275,-0.6323
701.6129032258065,0.5416,0.4958,1.1795,-1.1607,-0.5166,0.2644,-1.9512,-0.8915,-0.2012
750.0,0.6142,0.487,1.0967,-0.7673,-0.2196,0.4335,-1.3428,-0.4249,0.0621
798.3870967741937,0.522,0.3317,0.8974,-0.6141,-0.1477,0.4091,-1.0416,-0.2457,0.0882
846.7741935483872,0.4289,0.2009,0.7414,-0.4923,-0.0842,0.4021,-0.7817,-0.0909,0.1109
895.1612903225807,0.4093,0.1778,0.7281,-0.3338,0.0693,0.5339,-0.4899,0.1573,0.273
943.5483870967743,0.3123,0.0646,0.6226,-0.2847,0.0985,0.5454,-0.3273,0.2785,0.3402
991.9354838709678,0.2608,0.0185,0.5808,-0.2345,0.163,0.6095,-0.1811,0.4219,0.4479
1040.3225806451615,0.0636,-0.1899,0.3764,-0.3619,0.0496,0.5088,-0.196,0.4163,0.4166
1088.7096774193549,-0.1812,-0.5109,0.0019,-0.6511,-0.2664,0.1751,-0.4043,0.2183,0.229
1137.0967741935485,-0.3857,-0.7988,-0.3432,-0.9287,-0.567,-0.1392,-0.6106,0.0274,0.0533
1185.483870967742,-0.5007,-0.967,-0.534,-1.0702,-0.7095,-0.2817,-0.6852,-0.0361,-0.0048
1233.8709677419356,-0.298,-0.7223,-0.2664,-0.741,-0.3931,0.0053,-0.3787,0.2216,0.1832
1282.258064516129,0.0075,-0.3565,0.1363,-0.2684,0.0683,0.4288,0.0502,0.577,0.4401
1330.6451612903227,0.2376,-0.0745,0.4498,0.1065,0.4278,0.751,0.3655,0.8243,0.5964
1379.0322580645163,0.2461,-0.0342,0.4703,0.1352,0.4083,0.67,0.27,0.6808,0.4396
1427.4193548387098,-0.0573,-0.2805,0.1612,-0.1505,0.0692,0.2701,-0.1129,0.2362,0.0198
1475.8064516129034,-0.8041,-0.8663,-0.5955,-0.8109,-0.6487,-0.5111,-0.7945,-0.5874,-0.6911
