y,val
0.0000,1501.0316
100.0000,1500.7626
200.0000,1500.0527
300.0000,1498.9880
400.0000,1497.6304
500.0000,1496.0445
600.0000,1494.2987
700.0000,1492.4831
800.0000,1490.7098
900.0000,1489.0585
1000.0000,1487.6117
1100.0000,1486.4536
1200.0000,1485.6613
1300.0000,1485.2857
1400.0000,1485.3584
1500.0000,1485.8939
1600.0000,1486.8869
1700.0000,1488.2805
1800.0000,1490.0259
1900.0000,1492.0497
2000.0000,1494.2578
2100.0000,1496.5365
2200.0000,1498.7953
2300.0000,1500.9461
2400.0000,1502.9213
2500.0000,1504.6718
2600.0000,1506.1921
2700.0000,1507.4947
2800.0000,1508.6048
2900.0000,1509.5661
3000.0000,1510.4403
3100.0000,1511.2937
3200.0000,1512.1706
3300.0000,1513.1133
3400.0000,1514.1534
3500.0000,1515.3112
3600.0000,1516.5829
3700.0000,1517.9531
3800.0000,1519.4026
3900.0000,1520.9000
4000.0000,1522.4034
4100.0000,1523.8665
4200.0000,1525.2510
4300.0000,1526.5220
4400.0000,1527.6482
4500.0000,1528.6049
4600.0000,1529.3728
4700.0000,1529.9359
4800.0000,1530.2829
4900.0000,1530.4064
5000.0000,1530.4064
