y,val
50.0000,1510.0023
150.0000,1509.9775
250.0000,1509.9081
350.0000,1509.8045
450.0000,1509.6812
550.0000,1509.5538
650.0000,1509.4357
750.0000,1509.3343
850.0000,1509.2472
950.0000,1509.1629
1050.0000,1509.0591
1150.0000,1508.9025
1250.0000,1508.6445
1350.0000,1508.3109
1450.0000,1507.9271
1550.0000,1507.5119
1650.0000,1507.0748
1750.0000,1506.6158
1850.0000,1506.1699
1950.0000,1505.7568
2050.0000,1505.3846
2150.0000,1505.0519
2250.0000,1504.7468
2350.0000,1504.4929
2450.0000,1504.3040
2550.0000,1504.1834
2650.0000,1504.1243
2750.0000,1504.1106
2850.0000,1504.1489
2950.0000,1504.2347
3050.0000,1504.3530
3150.0000,1504.4777
3250.0000,1504.5710
3350.0000,1504.6358
3450.0000,1504.6671
3550.0000,1504.6510
3650.0000,1504.5631
3750.0000,1504.3671
3850.0000,1504.0816
3950.0000,1503.7172
4050.0000,1503.2774
4150.0000,1502.7575
4250.0000,1502.1966
4350.0000,1501.6257
4450.0000,1501.0732
4550.0000,1500.5765
4650.0000,1500.1664
4750.0000,1499.8613
4850.0000,1499.6730
4950.0000,1499.6062
