y,val
50.0000,1518.2347
150.0000,1516.3849
250.0000,1512.0979
350.0000,1506.2935
450.0000,1499.7923
550.0000,1493.4143
650.0000,1487.9681
750.0000,1483.9460
850.0000,1481.5185
950.0000,1480.5416
1050.0000,1480.6494
1150.0000,1481.2428
1250.0000,1482.2257
1350.0000,1483.5596
1450.0000,1485.0888
1550.0000,1486.6625
1650.0000,1488.2037
1750.0000,1489.9079
1850.0000,1491.7748
1950.0000,1493.7278
2050.0000,1495.7149
2150.0000,1497.6428
2250.0000,1499.3844
2350.0000,1501.0071
2450.0000,1502.6667
2550.0000,1504.6299
2650.0000,1506.4694
2750.0000,1507.9477
2850.0000,1509.1182
2950.0000,1510.0876
3050.0000,1511.0415
3150.0000,1511.8819
3250.0000,1512.6808
3350.0000,1513.4413
3450.0000,1514.1335
3550.0000,1514.6320
3650.0000,1515.2664
3750.0000,1516.2585
3850.0000,1517.6497
3950.0000,1519.2639
4050.0000,1520.5159
4150.0000,1521.7507
4250.0000,1523.2370
4350.0000,1525.1109
4450.0000,1527.2344
4550.0000,1529.2459
4650.0000,1530.9847
4750.0000,1532.3258
4850.0000,1533.1771
4950.0000,1533.4816
