y,val
50.0000,1575.1032
150.0000,1555.6166
250.0000,1523.4562
350.0000,1497.8825
450.0000,1485.2390
550.0000,1481.1602
650.0000,1470.7032
750.0000,1463.7978
850.0000,1468.7852
950.0000,1482.8385
1050.0000,1494.5515
1150.0000,1488.6265
1250.0000,1478.3228
1350.0000,1471.9132
1450.0000,1473.6616
1550.0000,1480.0901
1650.0000,1486.4737
1750.0000,1491.6361
1850.0000,1494.9370
1950.0000,1495.4086
2050.0000,1500.3443
2150.0000,1498.8712
2250.0000,1495.9769
2350.0000,1496.5804
2450.0000,1496.9754
2550.0000,1494.9683
2650.0000,1496.4096
2750.0000,1501.8214
2850.0000,1508.1853
2950.0000,1514.7194
3050.0000,1512.1654
3150.0000,1510.6379
3250.0000,1511.3581
3350.0000,1513.6064
3450.0000,1519.3730
3550.0000,1518.6532
3650.0000,1517.4362
3750.0000,1516.2440
3850.0000,1515.3579
3950.0000,1518.5868
4050.0000,1521.8214
4150.0000,1525.9386
4250.0000,1528.8941
4350.0000,1529.1893
4450.0000,1526.4816
4550.0000,1528.9340
4650.0000,1534.2572
4750.0000,1540.1221
4850.0000,1544.5989
4950.0000,1546.2985
