y,val
50.0000,1498.9201
150.0000,1498.7734
250.0000,1498.3627
350.0000,1497.7023
450.0000,1496.8162
550.0000,1495.7373
650.0000,1494.5076
750.0000,1493.1780
850.0000,1491.8081
950.0000,1490.4657
1050.0000,1489.2272
1150.0000,1488.1778
1250.0000,1487.3961
1350.0000,1486.9391
1450.0000,1486.8493
1550.0000,1487.1492
1650.0000,1487.8415
1750.0000,1488.9083
1850.0000,1490.3101
1950.0000,1492.0038
2050.0000,1493.9257
2150.0000,1495.9897
2250.0000,1498.1045
2350.0000,1500.1906
2450.0000,1502.1920
2550.0000,1504.0662
2650.0000,1505.7833
2750.0000,1507.3259
2850.0000,1508.7094
2950.0000,1509.9652
3050.0000,1511.1419
3150.0000,1512.1840
3250.0000,1513.0681
3350.0000,1513.7801
3450.0000,1514.3369
3550.0000,1514.7869
3650.0000,1515.2104
3750.0000,1515.7206
3850.0000,1516.4376
3950.0000,1517.5164
4050.0000,1519.1507
4150.0000,1521.1879
4250.0000,1523.4362
4350.0000,1525.7280
4450.0000,1527.9194
4550.0000,1529.8897
4650.0000,1531.5360
4750.0000,1532.7772
4850.0000,1533.5550
4950.0000,1533.8343
