y,val
50.0000,1498.8953
150.0000,1498.7467
250.0000,1498.3295
350.0000,1497.6575
450.0000,1496.7547
550.0000,1495.6549
650.0000,1494.4011
750.0000,1493.0456
850.0000,1491.6498
950.0000,1490.2844
1050.0000,1489.0289
1150.0000,1487.9727
1250.0000,1487.1989
1350.0000,1486.7693
1450.0000,1486.7202
1550.0000,1487.0672
1650.0000,1487.8053
1750.0000,1488.9092
1850.0000,1490.3322
1950.0000,1492.0247
2050.0000,1493.9178
2150.0000,1495.9220
2250.0000,1497.9487
2350.0000,1499.9330
2450.0000,1501.8107
2550.0000,1503.5390
2650.0000,1505.0984
2750.0000,1506.4933
2850.0000,1507.7275
2950.0000,1508.8285
3050.0000,1509.8481
3150.0000,1510.8469
3250.0000,1511.8876
3350.0000,1512.9787
3450.0000,1514.1287
3550.0000,1515.3471
3650.0000,1516.6438
3750.0000,1518.0301
3850.0000,1519.4824
3950.0000,1520.9766
4050.0000,1522.4883
4150.0000,1524.0039
4250.0000,1525.4695
4350.0000,1526.8381
4450.0000,1528.0700
4550.0000,1529.1308
4650.0000,1529.9909
4750.0000,1530.6259
4850.0000,1531.0181
4950.0000,1531.1574
