y,val
0.0000,1520.2686
48.3871,1519.5278
96.7742,1517.8156
145.1613,1515.4825
193.5484,1512.8513
241.9355,1509.9995
290.3226,1506.9764
338.7097,1503.8036
387.0968,1500.5442
435.4839,1497.2608
483.8710,1494.0159
532.2581,1490.9470
580.6452,1488.1970
629.0323,1485.9140
677.4194,1484.1033
725.8065,1482.7665
774.1935,1481.9014
822.5806,1481.4102
870.9677,1481.1967
919.3548,1481.1655
967.7419,1481.2830
1016.1290,1481.5203
1064.5161,1481.8532
1112.9032,1482.2801
1161.2903,1482.8015
1209.6774,1483.4196
1258.0645,1484.0644
1306.4516,1484.6700
1354.8387,1485.1742
1403.2258,1485.5085
1451.6129,1485.6315
1500.0000,1485.6315
