y,val
0.0000,1519.1463
48.3871,1518.6689
96.7742,1517.5167
145.1613,1515.8192
193.5484,1513.6403
241.9355,1511.0786
290.3226,1508.1501
338.7097,1504.7883
387.0968,1501.2221
435.4839,1497.6089
483.8710,1494.0370
532.2581,1490.7314
580.6452,1487.8569
629.0323,1485.5214
677.4194,1483.7430
725.8065,1482.4807
774.1935,1481.6348
822.5806,1481.1606
870.9677,1480.9597
919.3548,1480.8790
967.7419,1480.9484
1016.1290,1481.1553
1064.5161,1481.4451
1112.9032,1481.8875
1161.2903,1482.5173
1209.6774,1483.3366
1258.0645,1484.2260
1306.4516,1485.0277
1354.8387,1485.5432
1403.2258,1485.8323
1451.6129,1485.9302
1500.0000,1485.9302
