y,val
0.0000,1516.5985
48.3871,1516.3195
96.7742,1515.4369
145.1613,1513.9531
193.5484,1511.9608
241.9355,1509.4954
290.3226,1506.6473
338.7097,1503.5605
387.0968,1500.3336
435.4839,1497.0951
483.8710,1494.0019
532.2581,1491.1337
580.6452,1488.5759
629.0323,1486.4199
677.4194,1484.6644
725.8065,1483.2934
774.1935,1482.2759
822.5806,1481.5830
870.9677,1481.1687
919.3548,1480.9698
967.7419,1480.9818
1016.1290,1481.1902
1064.5161,1481.5708
1112.9032,1482.1073
1161.2903,1482.7733
1209.6774,1483.5331
1258.0645,1484.3033
1306.4516,1484.9843
1354.8387,1485.4584
1403.2258,1485.7407
1451.6129,1485.8395
1500.0000,1485.8395
