y,val
24.1935,1511.0840
72.5806,1510.7958
120.9677,1510.0680
169.3548,1508.9785
217.7419,1507.6004
266.1290,1506.0020
314.5161,1504.2464
362.9032,1502.3914
411.2903,1500.4896
459.6774,1498.5874
508.0645,1496.7256
556.4516,1494.9387
604.8387,1493.2557
653.2258,1491.6991
701.6129,1490.2860
750.0000,1489.0281
798.3871,1487.9314
846.7742,1486.9973
895.1613,1486.2228
943.5484,1485.6004
991.9355,1485.1193
1040.3226,1484.7657
1088.7097,1484.5233
1137.0968,1484.3737
1185.4839,1484.2982
1233.8710,1484.2771
1282.2581,1484.2913
1330.6452,1484.3235
1379.0323,1484.3580
1427.4194,1484.3827
1475.8065,1484.3907
