y,val
24.1935,1514.9439
72.5806,1514.6505
120.9677,1513.8117
169.3548,1512.4423
217.7419,1510.5796
266.1290,1508.2821
314.5161,1505.6294
362.9032,1502.7213
411.2903,1499.6773
459.6774,1496.6359
508.0645,1493.7549
556.4516,1491.2119
604.8387,1489.0341
653.2258,1487.2357
701.6129,1485.8169
750.0000,1484.7636
798.3871,1484.0474
846.7742,1483.6251
895.1613,1483.4388
943.5484,1483.4152
991.9355,1483.4653
1040.3226,1483.4834
1088.7097,1483.4796
1137.0968,1483.4616
1185.4839,1483.4352
1233.8710,1483.4051
1282.2581,1483.3753
1330.6452,1483.3488
1379.0323,1483.3281
1427.4194,1483.3148
1475.8065,1483.3101
