y,val
24.1935,1515.9377
72.5806,1515.5984
120.9677,1514.6965
169.3548,1513.2953
217.7419,1511.4618
266.1290,1509.2669
314.5161,1506.7843
362.9032,1504.0910
411.2903,1501.2660
459.6774,1498.3906
508.0645,1495.5476
556.4516,1492.8206
604.8387,1490.2857
653.2258,1488.0045
701.6129,1486.0229
750.0000,1484.3718
798.3871,1483.0672
846.7742,1482.1101
895.1613,1481.4871
943.5484,1481.1704
991.9355,1481.1181
1040.3226,1481.2748
1088.7097,1481.5812
1137.0968,1481.9829
1185.4839,1482.4313
1233.8710,1482.8840
1282.2581,1483.3048
1330.6452,1483.6642
1379.0323,1483.9390
1427.4194,1484.1127
1475.8065,1484.1752
