y,0,1,2,3,4,5,6,7,8
24.193548387096776,1.7763,2.3913,2.9173,0.9258,0.8689,0.6558,-1.8571,-1.9472,-2.0011
72.58064516129033,1.761,2.542,3.3795,0.7854,1.0378,1.0781,-2.0977,-1.7572,-1.6496
120.96774193548387,2.894,3.7173,4.744,1.8208,2.2733,2.5356,-0.9003,-0.362,-0.1455
169.35483870967744,3.1968,3.9486,4.9912,2.1356,2.7133,3.1078,-0.2898,0.4001,0.6672
217.74193548387098,2.7724,3.3653,4.4089,1.8164,2.3863,2.8756,-0.1453,0.502,0.7605
266.1290322580645,1.4132,2.0752,3.278,0.4912,1.2601,2.0017,-1.0753,-0.2749,0.1393
314.5161290322581,-0.2327,0.4825,1.7925,-1.2297,-0.2579,0.7123,-2.5174,-1.5246,-0.93
362.90322580645164,-1.68,-0.8898,0.5462,-2.7705,-1.5747,-0.361,-3.8145,-2.5918,-1.7835
411.2903225806452,-2.7787,-1.9089,-0.351,-3.9889,-2.5754,-1.1315,-4.8307,-3.382,-2.3631
459.6774193548387,-3.3397,-2.4916,-0.8999,-4.6682,-3.1485,-1.5795,-5.3443,-3.7647,-2.6196
508.0645161290323,-3.4947,-2.7447,-1.2146,-4.8212,-3.2992,-1.7342,-5.3393,-3.7225,-2.5603
556.4516129032259,-3.0017,-2.3484,-0.911,-4.2356,-2.8274,-1.3705,-4.7139,-3.171,-2.0828
604.8387096774194,-1.997,-1.4947,-0.2486,-3.0074,-1.8163,-0.6026,-3.4242,-2.0768,-1.1963
653.2258064516129,-1.1275,-0.789,0.2725,-1.9363,-0.9697,0.008,-2.2914,-1.1431,-0.4603
701.6129032258065,-0.4439,-0.2285,0.6822,-0.9939,-0.214,0.5553,-1.2447,-0.2723,0.2249
750.0,0.0895,0.192,0.959,-0.3075,0.2987,0.8709,-0.5308,0.2746,0.5957
798.3870967741937,0.3681,0.3868,1.0534,0.0861,0.5462,0.9636,-0.1472,0.5081,0.6825
846.7741935483872,0.6024,0.5675,1.1643,0.4245,0.7659,1.0563,0.1733,0.6962,0.7426
895.1612903225807,0.8927,0.8497,1.4176,0.808,1.0879,1.301,0.5399,0.9869,0.9532
943.5483870967743,1.0937,1.0415,1.5975,1.1201,1.341,1.4949,0.8557,1.2282,1.1259
991.9354838709678,1.3163,1.28,1.8339,1.4326,1.6377,1.7574,1.1743,1.5179,1.3662
1040.3225806451615,1.3332,1.2868,1.8398,1.5168,1.7242,1.8383,1.3288,1.667,1.487
1088.7096774193549,1.2511,1.1677,1.6921,1.4817,1.6741,1.7705,1.3803,1.6998,1.483
1137.0967741935485,1.0731,0.9575,1.4565,1.3384,1.5193,1.6024,1.3112,1.617,1.3702
1185.483870967742,0.7231,0.5942,1.0828,1.0256,1.2107,1.2964,1.0761,1.3823,1.1229
1233.8709677419356,0.307,0.1664,0.6465,0.6487,0.8344,0.9202,0.7647,1.069,0.7971
1282.258064516129,-0.209,-0.3605,0.107,0.1604,0.3428,0.4232,0.327,0.6265,0.3415
1330.6451612903227,-0.8077,-0.9691,-0.5158,-0.4205,-0.2439,-0.1675,-0.222,0.074,-0.2144
1379.0322580645163,-1.4674,-1.6268,-1.1965,-1.0854,-0.9128,-0.8405,-0.8698,-0.5789,-0.8601
1427.4193548387098,-2.1869,-2.3143,-1.9261,-1.8157,-1.643,-1.5654,-1.5869,-1.3189,-1.5592
1475.8064516129034,-3.0499,-3.0667,-2.7753,-2.7004,-2.5134,-2.4007,-2.4463,-2.2507,-2.3543
