y,x,val
0.0000,0.0000,1504.8456
0.0000,222.2222,1504.7539
0.0000,444.4444,1505.2169
0.0000,666.6667,1506.0840
0.0000,888.8889,1507.1331
0.0000,1111.1111,1508.3675
0.0000,1333.3333,1509.7710
0.0000,1555.5556,1511.0219
0.0000,1777.7778,1511.7859
0.0000,2000.0000,1511.7859
48.3871,0.0000,1505.4804
48.3871,222.2222,1505.5881
48.3871,444.4444,1506.1924
48.3871,666.6667,1507.1319
48.3871,888.8889,1508.2476
48.3871,1111.1111,1509.5099
48.3871,1333.3333,1510.8538
48.3871,1555.5556,1512.0048
48.3871,1777.7778,1512.6417
48.3871,2000.0000,1512.6417
96.7742,0.0000,1506.7157
96.7742,222.2222,1507.1039
96.7742,444.4444,1507.9045
96.7742,666.6667,1508.9588
96.7742,888.8889,1510.1453
96.7742,1111.1111,1511.3988
96.7742,1333.3333,1512.6140
96.7742,1555.5556,1513.5656
96.7742,1777.7778,1513.9746
96.7742,2000.0000,1513.9746
145.1613,0.0000,1507.8010
145.1613,222.2222,1508.4300
145.1613,444.4444,1509.4197
145.1613,666.6667,1510.6029
145.1613,888.8889,1511.8616
145.1613,1111.1111,1513.1068
145.1613,1333.3333,1514.2158
145.1613,1555.5556,1514.9928
145.1613,1777.7778,1515.1939
145.1613,2000.0000,1515.1939
193.5484,0.0000,1508.1351
193.5484,222.2222,1508.9332
193.5484,444.4444,1510.0771
193.5484,666.6667,1511.3856
193.5484,888.8889,1512.7281
193.5484,1111.1111,1513.9962
193.5484,1333.3333,1515.0565
193.5484,1555.5556,1515.7271
193.5484,1777.7778,1515.7862
193.5484,2000.0000,1515.7862
241.9355,0.0000,1507.3253
241.9355,222.2222,1508.2108
241.9355,444.4444,1509.4638
241.9355,666.6667,1510.8882
241.9355,888.8889,1512.3332
241.9355,1111.1111,1513.6693
241.9355,1333.3333,1514.7495
241.9355,1555.5556,1515.3939
241.9355,1777.7778,1515.3911
241.9355,2000.0000,1515.3911
290.3226,0.0000,1505.2126
290.3226,222.2222,1506.0986
290.3226,444.4444,1507.4114
290.3226,666.6667,1508.9392
290.3226,888.8889,1510.5064
290.3226,1111.1111,1511.9565
290.3226,1333.3333,1513.1226
290.3226,1555.5556,1513.8171
290.3226,1777.7778,1513.8317
290.3226,2000.0000,1513.8317
338.7097,0.0000,1501.8838
338.7097,222.2222,1502.6789
338.7097,444.4444,1503.9977
338.7097,666.6667,1505.6112
338.7097,888.8889,1507.3129
338.7097,1111.1111,1508.9119
338.7097,1333.3333,1510.2142
338.7097,1555.5556,1511.0190
338.7097,1777.7778,1511.1190
338.7097,2000.0000,1511.1190
387.0968,0.0000,1497.6781
387.0968,222.2222,1498.2864
387.0968,444.4444,1499.5514
387.0968,666.6667,1501.2217
387.0968,888.8889,1503.0501
387.0968,1111.1111,1504.8048
387.0968,1333.3333,1506.2617
387.0968,1555.5556,1507.2060
387.0968,1777.7778,1507.4359
387.0968,2000.0000,1507.4359
435.4839,0.0000,1493.1875
435.4839,222.2222,1493.5167
435.4839,444.4444,1494.6661
435.4839,666.6667,1496.3412
435.4839,888.8889,1498.2455
435.4839,1111.1111,1500.1070
435.4839,1333.3333,1501.6778
435.4839,1555.5556,1502.7382
435.4839,1777.7778,1503.1031
435.4839,2000.0000,1503.1031
483.8710,0.0000,1489.2389
483.8710,222.2222,1489.2590
483.8710,444.4444,1490.2436
483.8710,666.6667,1491.8207
483.8710,888.8889,1493.6585
483.8710,1111.1111,1495.4696
483.8710,1333.3333,1497.0098
483.8710,1555.5556,1498.0781
483.8710,1777.7778,1498.5244
483.8710,2000.0000,1498.5244
532.2581,0.0000,1486.7893
532.2581,222.2222,1486.8451
532.2581,444.4444,1487.6209
532.2581,666.6667,1488.8532
532.2581,888.8889,1490.2869
532.2581,1111.1111,1491.6887
532.2581,1333.3333,1492.8693
532.2581,1555.5556,1493.6981
532.2581,1777.7778,1494.1187
532.2581,2000.0000,1494.1187
580.6452,0.0000,1485.3532
580.6452,222.2222,1485.4532
580.6452,444.4444,1486.0196
580.6452,666.6667,1486.8572
580.6452,888.8889,1487.7954
580.6452,1111.1111,1488.6812
580.6452,1333.3333,1489.4045
580.6452,1555.5556,1489.9177
580.6452,1777.7778,1490.2458
580.6452,2000.0000,1490.2458
629.0323,0.0000,1484.5085
629.0323,222.2222,1484.6227
629.0323,444.4444,1484.9930
629.0323,666.6667,1485.4662
629.0323,888.8889,1485.9395
629.0323,1111.1111,1486.3360
629.0323,1333.3333,1486.6234
629.0323,1555.5556,1486.8294
629.0323,1777.7778,1487.0416
629.0323,2000.0000,1487.0416
677.4194,0.0000,1483.9544
677.4194,222.2222,1484.0629
677.4194,444.4444,1484.2681
677.4194,666.6667,1484.4453
677.4194,888.8889,1484.5410
677.4194,1111.1111,1484.5385
677.4194,1333.3333,1484.4687
677.4194,1555.5556,1484.4180
677.4194,1777.7778,1484.5197
677.4194,2000.0000,1484.5197
725.8065,0.0000,1483.4951
725.8065,222.2222,1483.5900
725.8065,444.4444,1483.6743
725.8065,666.6667,1483.6418
725.8065,888.8889,1483.4711
725.8065,1111.1111,1483.1862
725.8065,1333.3333,1482.8614
725.8065,1555.5556,1482.6234
725.8065,1777.7778,1482.6356
725.8065,2000.0000,1482.6356
774.1935,0.0000,1483.0175
774.1935,222.2222,1483.0976
774.1935,444.4444,1483.1109
774.1935,666.6667,1482.9608
774.1935,888.8889,1482.6412
774.1935,1111.1111,1482.1966
774.1935,1333.3333,1481.7245
774.1935,1555.5556,1481.3736
774.1935,1777.7778,1481.3238
774.1935,2000.0000,1481.3238
822.5806,0.0000,1482.4786
822.5806,222.2222,1482.5430
822.5806,444.4444,1482.5341
822.5806,666.6667,1482.3547
822.5806,888.8889,1481.9982
822.5806,1111.1111,1481.5105
822.5806,1333.3333,1480.9932
822.5806,1555.5556,1480.6004
822.5806,1777.7778,1480.5158
822.5806,2000.0000,1480.5158
870.9677,0.0000,1481.9026
870.9677,222.2222,1481.9450
870.9677,444.4444,1481.9540
870.9677,666.6667,1481.8212
870.9677,888.8889,1481.5234
870.9677,1111.1111,1481.0917
870.9677,1333.3333,1480.6161
870.9677,1555.5556,1480.2413
870.9677,1777.7778,1480.1438
870.9677,2000.0000,1480.1438
919.3548,0.0000,1481.3872
919.3548,222.2222,1481.3924
919.3548,444.4444,1481.4436
919.3548,666.6667,1481.4071
919.3548,888.8889,1481.2311
919.3548,1111.1111,1480.9210
919.3548,1333.3333,1480.5462
919.3548,1555.5556,1480.2316
919.3548,1777.7778,1480.1332
919.3548,2000.0000,1480.1332
967.7419,0.0000,1481.1167
967.7419,222.2222,1481.0712
967.7419,444.4444,1481.1638
967.7419,666.6667,1481.2213
967.7419,888.8889,1481.1663
967.7419,1111.1111,1480.9830
967.7419,1333.3333,1480.7210
967.7419,1555.5556,1480.4813
967.7419,1777.7778,1480.3864
967.7419,2000.0000,1480.3864
1016.1290,0.0000,1481.3573
1016.1290,222.2222,1481.3466
1016.1290,444.4444,1481.4205
1016.1290,666.6667,1481.4532
1016.1290,888.8889,1481.3957
1016.1290,1111.1111,1481.2381
1016.1290,1333.3333,1481.0216
1016.1290,1555.5556,1480.8304
1016.1290,1777.7778,1480.7613
1016.1290,2000.0000,1480.7613
1064.5161,0.0000,1481.9340
1064.5161,222.2222,1481.9534
1064.5161,444.4444,1481.9972
1064.5161,666.6667,1481.9738
1064.5161,888.8889,1481.8670
1064.5161,1111.1111,1481.6846
1064.5161,1333.3333,1481.4690
1064.5161,1555.5556,1481.2935
1064.5161,1777.7778,1481.2335
1064.5161,2000.0000,1481.2335
1112.9032,0.0000,1482.6993
1112.9032,222.2222,1482.7381
1112.9032,444.4444,1482.7513
1112.9032,666.6667,1482.6690
1112.9032,888.8889,1482.5011
1112.9032,1111.1111,1482.2732
1112.9032,1333.3333,1482.0333
1112.9032,1555.5556,1481.8489
1112.9032,1777.7778,1481.7823
1112.9032,2000.0000,1481.7823
1161.2903,0.0000,1483.5404
1161.2903,222.2222,1483.5921
1161.2903,444.4444,1483.5784
1161.2903,666.6667,1483.4443
1161.2903,888.8889,1483.2183
1161.2903,1111.1111,1482.9406
1161.2903,1333.3333,1482.6656
1161.2903,1555.5556,1482.4595
1161.2903,1777.7778,1482.3769
1161.2903,2000.0000,1482.3769
1209.6774,0.0000,1484.3718
1209.6774,222.2222,1484.4327
1209.6774,444.4444,1484.3974
1209.6774,666.6667,1484.2216
1209.6774,888.8889,1483.9467
1209.6774,1111.1111,1483.6237
1209.6774,1333.3333,1483.3131
1209.6774,1555.5556,1483.0812
1209.6774,1777.7778,1482.9795
1209.6774,2000.0000,1482.9795
1258.0645,0.0000,1485.1280
1258.0645,222.2222,1485.1954
1258.0645,444.4444,1485.1440
1258.0645,666.6667,1484.9370
1258.0645,888.8889,1484.6249
1258.0645,1111.1111,1484.2663
1258.0645,1333.3333,1483.9256
1258.0645,1555.5556,1483.6703
1258.0645,1777.7778,1483.5505
1258.0645,2000.0000,1483.5505
1306.4516,0.0000,1485.7591
1306.4516,222.2222,1485.8306
1306.4516,444.4444,1485.7674
1306.4516,666.6667,1485.5395
1306.4516,888.8889,1485.2029
1306.4516,1111.1111,1484.8206
1306.4516,1333.3333,1484.4594
1306.4516,1555.5556,1484.1870
1306.4516,1777.7778,1484.0527
1306.4516,2000.0000,1484.0527
1354.8387,0.0000,1486.2293
1354.8387,222.2222,1486.3004
1354.8387,444.4444,1486.2284
1354.8387,666.6667,1485.9894
1354.8387,888.8889,1485.6417
1354.8387,1111.1111,1485.2493
1354.8387,1333.3333,1484.8794
1354.8387,1555.5556,1484.5986
1354.8387,1777.7778,1484.4551
1354.8387,2000.0000,1484.4551
1403.2258,0.0000,1486.5164
1403.2258,222.2222,1486.5785
1403.2258,444.4444,1486.4983
1403.2258,666.6667,1486.2582
1403.2258,888.8889,1485.9134
1403.2258,1111.1111,1485.5255
1403.2258,1333.3333,1485.1600
1403.2258,1555.5556,1484.8810
1403.2258,1777.7778,1484.7345
1403.2258,2000.0000,1484.7345
1451.6129,0.0000,1486.6138
1451.6129,222.2222,1486.6477
1451.6129,444.4444,1486.5584
1451.6129,666.6667,1486.3289
1451.6129,888.8889,1486.0014
1451.6129,1111.1111,1485.6329
1451.6129,1333.3333,1485.2858
1451.6129,1555.5556,1485.0194
1451.6129,1777.7778,1484.8768
1451.6129,2000.0000,1484.8768
1500.0000,0.0000,1486.6138
1500.0000,222.2222,1486.6477
1500.0000,444.4444,1486.5584
1500.0000,666.6667,1486.3289
1500.0000,888.8889,1486.0014
1500.0000,1111.1111,1485.6329
1500.0000,1333.3333,1485.2858
1500.0000,1555.5556,1485.0194
1500.0000,1777.7778,1484.8768
1500.0000,2000.0000,1484.8768
