y,x,val
0.0000,0.0000,-3.5560
0.0000,222.2222,-2.2353
0.0000,444.4444,-0.3315
0.0000,666.6667,-0.5076
0.0000,888.8889,1.2520
0.0000,1111.1111,2.6669
0.0000,1333.3333,1.4611
0.0000,1555.5556,2.2287
0.0000,1777.7778,2.6535
0.0000,2000.0000,2.6535
48.3871,0.0000,-3.7917
48.3871,222.2222,-2.2693
48.3871,444.4444,-0.1898
48.3871,666.6667,-1.0125
48.3871,888.8889,1.1451
48.3871,1111.1111,2.9567
48.3871,1333.3333,1.1422
48.3871,1555.5556,2.3384
48.3871,1777.7778,3.1181
48.3871,2000.0000,3.1181
96.7742,0.0000,-2.4890
96.7742,222.2222,-0.9822
96.7742,444.4444,1.1337
96.7742,666.6667,-0.1107
96.7742,888.8889,2.2888
96.7742,1111.1111,4.4288
96.7742,1333.3333,2.4091
96.7742,1555.5556,3.8161
96.7742,1777.7778,4.7657
96.7742,2000.0000,4.7657
145.1613,0.0000,-1.5524
145.1613,222.2222,-0.1840
145.1613,444.4444,1.8229
145.1613,666.6667,0.5446
145.1613,888.8889,3.0517
145.1613,1111.1111,5.3534
145.1613,1333.3333,3.3786
145.1613,1555.5556,4.9083
145.1613,1777.7778,5.8523
145.1613,2000.0000,5.8523
193.5484,0.0000,-0.8349
193.5484,222.2222,0.3403
193.5484,444.4444,2.1547
193.5484,666.6667,0.8998
193.5484,888.8889,3.2022
193.5484,1111.1111,5.4572
193.5484,1333.3333,3.7543
193.5484,1555.5556,5.1876
193.5484,1777.7778,6.1557
193.5484,2000.0000,6.1557
241.9355,0.0000,-0.7623
241.9355,222.2222,0.4685
241.9355,444.4444,2.2948
241.9355,666.6667,0.6406
241.9355,888.8889,2.9489
241.9355,1111.1111,5.2994
241.9355,1333.3333,3.4149
241.9355,1555.5556,4.8990
241.9355,1777.7778,5.9289
241.9355,2000.0000,5.9289
290.3226,0.0000,-0.8946
290.3226,222.2222,0.3798
290.3226,444.4444,2.1921
290.3226,666.6667,0.1212
290.3226,888.8889,2.4490
290.3226,1111.1111,4.8678
290.3226,1333.3333,2.6927
290.3226,1555.5556,4.2346
290.3226,1777.7778,5.2494
290.3226,2000.0000,5.2494
338.7097,0.0000,-0.9430
338.7097,222.2222,0.3524
338.7097,444.4444,2.0586
338.7097,666.6667,-0.6307
338.7097,888.8889,1.5845
338.7097,1111.1111,3.9420
338.7097,1333.3333,1.3003
338.7097,1555.5556,2.9373
338.7097,1777.7778,4.2062
338.7097,2000.0000,4.2062
387.0968,0.0000,-0.9454
387.0968,222.2222,0.3635
387.0968,444.4444,1.9895
387.0968,666.6667,-1.2984
387.0968,888.8889,0.8451
387.0968,1111.1111,3.1736
387.0968,1333.3333,0.0848
387.0968,1555.5556,1.8245
387.0968,1777.7778,3.2615
387.0968,2000.0000,3.2615
435.4839,0.0000,-0.7880
435.4839,222.2222,0.4334
435.4839,444.4444,1.9310
435.4839,666.6667,-1.7044
435.4839,888.8889,0.3223
435.4839,1111.1111,2.5798
435.4839,1333.3333,-0.7268
435.4839,1555.5556,1.0344
435.4839,1777.7778,2.4724
435.4839,2000.0000,2.4724
483.8710,0.0000,-0.6082
483.8710,222.2222,0.4610
483.8710,444.4444,1.6703
483.8710,666.6667,-2.0995
483.8710,888.8889,-0.3751
483.8710,1111.1111,1.5991
483.8710,1333.3333,-1.7731
483.8710,1555.5556,-0.0889
483.8710,1777.7778,1.4472
483.8710,2000.0000,1.4472
532.2581,0.0000,-0.3180
532.2581,222.2222,0.5273
532.2581,444.4444,1.4637
532.2581,666.6667,-2.2257
532.2581,888.8889,-0.8051
532.2581,1111.1111,0.9035
532.2581,1333.3333,-2.3194
532.2581,1555.5556,-0.7582
532.2581,1777.7778,0.7479
532.2581,2000.0000,0.7479
580.6452,0.0000,0.1867
580.6452,222.2222,0.7524
580.6452,444.4444,1.3817
580.6452,666.6667,-1.8505
580.6452,888.8889,-0.7360
580.6452,1111.1111,0.6680
580.6452,1333.3333,-2.0660
580.6452,1555.5556,-0.7119
580.6452,1777.7778,0.5551
580.6452,2000.0000,0.5551
629.0323,0.0000,0.5760
629.0323,222.2222,0.9393
629.0323,444.4444,1.2722
629.0323,666.6667,-1.5485
629.0323,888.8889,-0.7964
629.0323,1111.1111,0.2425
629.0323,1333.3333,-2.0791
629.0323,1555.5556,-0.9798
629.0323,1777.7778,0.1492
629.0323,2000.0000,0.1492
677.4194,0.0000,0.7494
677.4194,222.2222,0.9634
677.4194,444.4444,1.0909
677.4194,666.6667,-1.2635
677.4194,888.8889,-0.7631
677.4194,1111.1111,0.0073
677.4194,1333.3333,-1.8663
677.4194,1555.5556,-0.9761
