y,x,val
0.0000,0.0000,1515.5333
0.0000,222.2222,1515.3957
0.0000,444.4444,1515.0071
0.0000,666.6667,1514.4257
0.0000,888.8889,1513.7472
0.0000,1111.1111,1513.1025
0.0000,1333.3333,1512.5875
0.0000,1555.5556,1512.2199
0.0000,1777.7778,1511.9356
0.0000,2000.0000,1511.9356
48.3871,0.0000,1515.2563
48.3871,222.2222,1514.9826
48.3871,444.4444,1514.5539
48.3871,666.6667,1513.9312
48.3871,888.8889,1513.2206
48.3871,1111.1111,1512.5778
48.3871,1333.3333,1512.1109
48.3871,1555.5556,1511.8297
48.3871,1777.7778,1511.5752
48.3871,2000.0000,1511.5752
96.7742,0.0000,1514.4748
96.7742,222.2222,1514.0546
96.7742,444.4444,1513.5403
96.7742,666.6667,1512.8684
96.7742,888.8889,1512.1489
96.7742,1111.1111,1511.5497
96.7742,1333.3333,1511.1784
96.7742,1555.5556,1511.0223
96.7742,1777.7778,1510.8703
96.7742,2000.0000,1510.8703
145.1613,0.0000,1513.5201
145.1613,222.2222,1512.9512
145.1613,444.4444,1512.3298
145.1613,666.6667,1511.6011
145.1613,888.8889,1510.8804
145.1613,1111.1111,1510.3413
145.1613,1333.3333,1510.0850
145.1613,1555.5556,1510.0709
145.1613,1777.7778,1510.0485
145.1613,2000.0000,1510.0485
193.5484,0.0000,1512.7140
193.5484,222.2222,1511.9935
193.5484,444.4444,1511.2695
193.5484,666.6667,1510.4916
193.5484,888.8889,1509.7745
193.5484,1111.1111,1509.2979
193.5484,1333.3333,1509.1582
193.5484,1555.5556,1509.2874
193.5484,1777.7778,1509.3914
193.5484,2000.0000,1509.3914
241.9355,0.0000,1512.3364
241.9355,222.2222,1511.4797
241.9355,444.4444,1510.7153
241.9355,666.6667,1509.9351
241.9355,888.8889,1509.2380
241.9355,1111.1111,1508.8146
241.9355,1333.3333,1508.7668
241.9355,1555.5556,1509.0097
241.9355,1777.7778,1509.1889
241.9355,2000.0000,1509.1889
290.3226,0.0000,1512.5416
290.3226,222.2222,1511.7026
290.3226,444.4444,1511.0741
290.3226,666.6667,1510.4107
290.3226,888.8889,1509.7849
290.3226,1111.1111,1509.3920
290.3226,1333.3333,1509.3467
290.3226,1555.5556,1509.5758
290.3226,1777.7778,1509.6747
290.3226,2000.0000,1509.6747
338.7097,0.0000,1513.2234
338.7097,222.2222,1512.4977
338.7097,444.4444,1512.0383
338.7097,666.6667,1511.5255
338.7097,888.8889,1510.9914
338.7097,1111.1111,1510.6230
338.7097,1333.3333,1510.5443
338.7097,1555.5556,1510.6945
338.7097,1777.7778,1510.6653
338.7097,2000.0000,1510.6653
387.0968,0.0000,1514.1188
387.0968,222.2222,1513.5452
387.0968,444.4444,1513.2592
387.0968,666.6667,1512.8995
387.0968,888.8889,1512.4590
387.0968,1111.1111,1512.1118
387.0968,1333.3333,1511.9871
387.0968,1555.5556,1512.0343
387.0968,1777.7778,1511.8548
387.0968,2000.0000,1511.8548
435.4839,0.0000,1514.8652
435.4839,222.2222,1514.4409
435.4839,444.4444,1514.3195
435.4839,666.6667,1514.1039
435.4839,888.8889,1513.7514
435.4839,1111.1111,1513.4263
435.4839,1333.3333,1513.2619
435.4839,1555.5556,1513.2112
435.4839,1777.7778,1512.8743
435.4839,2000.0000,1512.8743
483.8710,0.0000,1515.0472
483.8710,222.2222,1514.7122
483.8710,444.4444,1514.7255
483.8710,666.6667,1514.6292
483.8710,888.8889,1514.3518
483.8710,1111.1111,1514.0604
483.8710,1333.3333,1513.8944
483.8710,1555.5556,1513.7988
483.8710,1777.7778,1513.3310
483.8710,2000.0000,1513.3310
532.2581,0.0000,1514.2477
532.2581,222.2222,1513.8538
532.2581,444.4444,1513.9002
532.2581,666.6667,1513.8436
532.2581,888.8889,1513.6159
532.2581,1111.1111,1513.3957
532.2581,1333.3333,1513.3226
532.2581,1555.5556,1513.3262
532.2581,1777.7778,1512.8805
532.2581,2000.0000,1512.8805
580.6452,0.0000,1512.5242
580.6452,222.2222,1512.0618
580.6452,444.4444,1512.0877
580.6452,666.6667,1512.0412
580.6452,888.8889,1511.8576
580.6452,1111.1111,1511.7209
580.6452,1333.3333,1511.7638
580.6452,1555.5556,1511.8891
580.6452,1777.7778,1511.5162
580.6452,2000.0000,1511.5162
629.0323,0.0000,1510.0151
629.0323,222.2222,1509.4919
629.0323,444.4444,1509.4852
629.0323,666.6667,1509.4402
629.0323,888.8889,1509.2971
629.0323,1111.1111,1509.2400
629.0323,1333.3333,1509.3910
629.0323,1555.5556,1509.6279
629.0323,1777.7778,1509.3371
629.0323,2000.0000,1509.3371
677.4194,0.0000,1506.8727
677.4194,222.2222,1506.2971
677.4194,444.4444,1506.2599
677.4194,666.6667,1506.2156
677.4194,888.8889,1506.1083
677.4194,1111.1111,1506.1200
677.4194,1333.3333,1506.3618
677.4194,1555.5556,1506.6929
677.4194,1777.7778,1506.4797
677.4194,2000.0000,1506.4797
725.8065,0.0000,1503.2448
725.8065,222.2222,1502.6240
725.8065,444.4444,1502.5609
725.8065,666.6667,1502.5177
725.8065,888.8889,1502.4408
725.8065,1111.1111,1502.5090
725.8065,1333.3333,1502.8242
725.8065,1555.5556,1503.2325
725.8065,1777.7778,1503.0887
725.8065,2000.0000,1503.0887
774.1935,0.0000,1499.2691
774.1935,222.2222,1498.6088
774.1935,444.4444,1498.5236
774.1935,666.6667,1498.4813
774.1935,888.8889,1498.4294
774.1935,1111.1111,1498.5427
774.1935,1333.3333,1498.9163
774.1935,1555.5556,1499.3872
774.1935,1777.7778,1499.3046
774.1935,2000.0000,1499.3046
822.5806,0.0000,1495.0716
822.5806,222.2222,1494.3763
822.5806,444.4444,1494.2716
822.5806,666.6667,1494.2294
822.5806,888.8889,1494.1971
822.5806,1111.1111,1494.3461
822.5806,1333.3333,1494.7658
822.5806,1555.5556,1495.2879
822.5806,1777.7778,1495.2589
822.5806,2000.0000,1495.2589
870.9677,0.0000,1490.7665
870.9677,222.2222,1490.0401
870.9677,444.4444,1489.9177
870.9677,666.6667,1489.8742
870.9677,888.8889,1489.8568
870.9677,1111.1111,1490.0337
870.9677,1333.3333,1490.4900
870.9677,1555.5556,1491.0541
870.9677,1777.7778,1491.0721
870.9677,2000.0000,1491.0721
919.3548,0.0000,1486.4569
919.3548,222.2222,1485.7026
919.3548,444.4444,1485.5637
919.3548,666.6667,1485.5178
919.3548,888.8889,1485.5114
919.3548,1111.1111,1485.7099
919.3548,1333.3333,1486.1953
919.3548,1555.5556,1486.7939
919.3548,1777.7778,1486.8532
919.3548,2000.0000,1486.8532
967.7419,0.0000,1482.2351
967.7419,222.2222,1481.4559
967.7419,444.4444,1481.3015
967.7419,666.6667,1481.2523
967.7419,888.8889,1481.2537
967.7419,1111.1111,1481.4688
967.7419,1333.3333,1481.9772
967.7419,1555.5556,1482.6044
967.7419,1777.7778,1482.6998
967.7419,2000.0000,1482.6998
1016.1290,0.0000,1478.1831
1016.1290,222.2222,1477.3818
1016.1290,444.4444,1477.2133
1016.1290,666.6667,1477.1599
1016.1290,888.8889,1477.1667
1016.1290,1111.1111,1477.3944
