y,x,val
0.0000,0.0000,-1.1184
0.0000,222.2222,-0.1824
0.0000,444.4444,0.7250
0.0000,666.6667,-0.6893
0.0000,888.8889,-0.0128
0.0000,1111.1111,0.5256
0.0000,1333.3333,-1.4156
0.0000,1555.5556,-1.1483
0.0000,1777.7778,-0.9436
0.0000,2000.0000,-0.9436
48.3871,0.0000,-1.2327
48.3871,222.2222,-0.0733
48.3871,444.4444,1.0175
48.3871,666.6667,-1.0538
48.3871,888.8889,-0.0554
48.3871,1111.1111,0.7769
48.3871,1333.3333,-1.8509
48.3871,1555.5556,-1.2177
48.3871,1777.7778,-0.6857
48.3871,2000.0000,-0.6857
96.7742,0.0000,-0.0247
96.7742,222.2222,1.1408
96.7742,444.4444,2.2952
96.7742,666.6667,-0.2102
96.7742,888.8889,0.9273
96.7742,1111.1111,1.9431
96.7742,1333.3333,-0.9980
96.7742,1555.5556,-0.2024
96.7742,1777.7778,0.5364
96.7742,2000.0000,0.5364
145.1613,0.0000,0.5941
145.1613,222.2222,1.6382
145.1613,444.4444,2.7054
145.1613,666.6667,0.1569
145.1613,888.8889,1.3267
145.1613,1111.1111,2.3972
145.1613,1333.3333,-0.5744
145.1613,1555.5556,0.3364
145.1613,1777.7778,1.1722
145.1613,2000.0000,1.1722
193.5484,0.0000,0.7861
193.5484,222.2222,1.6630
193.5484,444.4444,2.6710
193.5484,666.6667,0.3003
193.5484,888.8889,1.3753
193.5484,1111.1111,2.4605
193.5484,1333.3333,-0.2047
193.5484,1555.5556,0.6113
193.5484,1777.7778,1.4134
193.5484,2000.0000,1.4134
241.9355,0.0000,0.2783
241.9355,222.2222,1.2397
241.9355,444.4444,2.3736
241.9355,666.6667,-0.2556
241.9355,888.8889,0.9429
241.9355,1111.1111,2.2060
241.9355,1333.3333,-0.5804
241.9355,1555.5556,0.3374
241.9355,1777.7778,1.2542
241.9355,2000.0000,1.2542
290.3226,0.0000,-0.3947
290.3226,222.2222,0.6504
290.3226,444.4444,1.8757
290.3226,666.6667,-1.0356
290.3226,888.8889,0.3055
290.3226,1111.1111,1.7364
290.3226,1333.3333,-1.2546
290.3226,1555.5556,-0.1848
290.3226,1777.7778,0.8717
290.3226,2000.0000,0.8717
