y,x,val
0.0000,0.0000,-4.2170
0.0000,222.2222,-2.9825
0.0000,444.4444,-1.2191
0.0000,666.6667,-1.3228
0.0000,888.8889,0.9388
0.0000,1111.1111,3.0729
0.0000,1333.3333,2.4656
0.0000,1555.5556,3.6013
0.0000,1777.7778,4.0385
0.0000,2000.0000,4.0385
48.3871,0.0000,-4.4168
48.3871,222.2222,-2.9897
48.3871,444.4444,-1.0818
48.3871,666.6667,-1.8890
48.3871,888.8889,0.6461
48.3871,1111.1111,3.0454
48.3871,1333.3333,1.7618
48.3871,1555.5556,3.3051
48.3871,1777.7778,4.1174
48.3871,2000.0000,4.1174
96.7742,0.0000,-3.1469
96.7742,222.2222,-1.7840
96.7742,444.4444,0.0735
96.7742,666.6667,-1.3191
96.7742,888.8889,1.1856
96.7742,1111.1111,3.6200
96.7742,1333.3333,1.9329
96.7742,1555.5556,3.6193
96.7742,1777.7778,4.6957
96.7742,2000.0000,4.6957
145.1613,0.0000,-2.2376
145.1613,222.2222,-1.0825
145.1613,444.4444,0.5503
145.1613,666.6667,-1.0804
145.1613,888.8889,1.2257
145.1613,1111.1111,3.4906
145.1613,1333.3333,1.5980
145.1613,1555.5556,3.3035
145.1613,1777.7778,4.4865
145.1613,2000.0000,4.4865
193.5484,0.0000,-1.3770
193.5484,222.2222,-0.3605
193.5484,444.4444,1.0964
193.5484,666.6667,-0.5810
193.5484,888.8889,1.3386
193.5484,1111.1111,3.3075
193.5484,1333.3333,1.4403
193.5484,1555.5556,2.8434
193.5484,1777.7778,3.9000
193.5484,2000.0000,3.9000
241.9355,0.0000,-1.1134
241.9355,222.2222,0.0193
241.9355,444.4444,1.4954
241.9355,666.6667,-0.6610
241.9355,888.8889,1.0861
241.9355,1111.1111,2.9075
241.9355,1333.3333,0.6122
241.9355,1555.5556,1.8770
241.9355,1777.7778,2.9245
241.9355,2000.0000,2.9245
290.3226,0.0000,-1.1571
290.3226,222.2222,0.0642
290.3226,444.4444,1.5199
290.3226,666.6667,-1.1259
290.3226,888.8889,0.4913
290.3226,1111.1111,2.1814
290.3226,1333.3333,-0.6014
290.3226,1555.5556,0.5930
290.3226,1777.7778,1.6642
290.3226,2000.0000,1.6642
338.7097,0.0000,-1.3393
338.7097,222.2222,-0.0962
338.7097,444.4444,1.3466
338.7097,666.6667,-1.8131
338.7097,888.8889,-0.2444
338.7097,1111.1111,1.4029
338.7097,1333.3333,-1.8594
338.7097,1555.5556,-0.6190
338.7097,1777.7778,0.5862
338.7097,2000.0000,0.5862
387.0968,0.0000,-1.4977
387.0968,222.2222,-0.2350
387.0968,444.4444,1.2010
387.0968,666.6667,-2.4667
387.0968,888.8889,-0.9031
387.0968,1111.1111,0.7457
387.0968,1333.3333,-2.9623
387.0968,1555.5556,-1.6339
387.0968,1777.7778,-0.2708
387.0968,2000.0000,-0.2708
435.4839,0.0000,-1.4063
435.4839,222.2222,-0.2054
435.4839,444.4444,1.1609
435.4839,666.6667,-2.7880
435.4839,888.8889,-1.2967
435.4839,1111.1111,0.2942
435.4839,1333.3333,-3.6412
435.4839,1555.5556,-2.2956
435.4839,1777.7778,-0.8492
435.4839,2000.0000,-0.8492
483.8710,0.0000,-1.1820
483.8710,222.2222,-0.0647
483.8710,444.4444,1.1684
483.8710,666.6667,-2.7312
483.8710,888.8889,-1.3722
483.8710,1111.1111,0.0740
483.8710,1333.3333,-3.8342
483.8710,1555.5556,-2.5546
483.8710,1777.7778,-1.1439
483.8710,2000.0000,-1.1439
532.2581,0.0000,-0.7312
532.2581,222.2222,0.2529
532.2581,444.4444,1.3421
532.2581,666.6667,-2.3383
532.2581,888.8889,-1.1608
532.2581,1111.1111,0.1105
532.2581,1333.3333,-3.5998
532.2581,1555.5556,-2.4484
532.2581,1777.7778,-1.1278
532.2581,2000.0000,-1.1278
580.6452,0.0000,-0.0783
580.6452,222.2222,0.7126
580.6452,444.4444,1.5732
580.6452,666.6667,-1.5760
580.6452,888.8889,-0.6467
580.6452,1111.1111,0.3539
580.6452,1333.3333,-2.8587
580.6452,1555.5556,-1.9203
580.6452,1777.7778,-0.8057
580.6452,2000.0000,-0.8057
629.0323,0.0000,0.2412
629.0323,222.2222,0.8288
629.0323,444.4444,1.4776
629.0323,666.6667,-1.1391
629.0323,888.8889,-0.4443
629.0323,1111.1111,0.3161
629.0323,1333.3333,-2.3749
629.0323,1555.5556,-1.6311
629.0323,1777.7778,-0.7001
629.0323,2000.0000,-0.7001
677.4194,0.0000,0.2837
677.4194,222.2222,0.7135
677.4194,444.4444,1.1921
677.4194,666.6667,-0.8992
677.4194,888.8889,-0.3890
677.4194,1111.1111,0.1714
677.4194,1333.3333,-2.0074
677.4194,1555.5556,-1.4231
677.4194,1777.7778,-0.6562
677.4194,2000.0000,-0.6562
725.8065,0.0000,0.1812
725.8065,222.2222,0.4699
725.8065,444.4444,0.7918
725.8065,666.6667,-0.8905
725.8065,888.8889,-0.5453
725.8065,1111.1111,-0.1667
725.8065,1333.3333,-1.9283
725.8065,1555.5556,-1.4902
725.8065,1777.7778,-0.8765
725.8065,2000.0000,-0.8765
774.1935,0.0000,-0.0860
774.1935,222.2222,0.1044
774.1935,444.4444,0.3207
774.1935,666.6667,-1.0585
774.1935,888.8889,-0.8476
774.1935,1111.1111,-0.6073
774.1935,1333.3333,-2.0594
774.1935,1555.5556,-1.7530
774.1935,1777.7778,-1.2703
774.1935,2000.0000,-1.2703
822.5806,0.0000,-0.2652
822.5806,222.2222,-0.1388
822.5806,444.4444,0.0056
822.5806,666.6667,-1.1397
822.5806,888.8889,-1.0338
822.5806,1111.1111,-0.9024
822.5806,1333.3333,-2.1072
822.5806,1555.5556,-1.9154
822.5806,1777.7778,-1.5468
822.5806,2000.0000,-1.5468
870.9677,0.0000,-0.2216
870.9677,222.2222,-0.1123
870.9677,444.4444,0.0016
870.9677,666.6667,-1.0060
870.9677,888.8889,-0.9472
870.9677,1111.1111,-0.8747
870.9677,1333.3333,-1.9385
870.9677,1555.5556,-1.8051
870.9677,1777.7778,-1.5042
870.9677,2000.0000,-1.5042
919.3548,0.0000,-0.0698
919.3548,222.2222,0.0232
919.3548,444.4444,0.1239
919.3548,666.6667,-0.7441
919.3548,888.8889,-0.7308
919.3548,1111.1111,-0.7016
919.3548,1333.3333,-1.6287
919.3548,1555.5556,-1.5566
919.3548,1777.7778,-1.3152
919.3548,2000.0000,-1.3152
967.7419,0.0000,0.3271
967.7419,222.2222,0.4372
967.7419,444.4444,0.5365
967.7419,666.6667,-0.2488
967.7419,888.8889,-0.2432
967.7419,1111.1111,-0.2419
967.7419,1333.3333,-1.1104
967.7419,1555.5556,-1.0665
967.7419,1777.7778,-0.8726
967.7419,2000.0000,-0.8726
1016.1290,0.0000,0.7527
1016.1290,222.2222,0.8887
1016.1290,444.4444,1.0035
1016.1290,666.6667,0.2983
1016.1290,888.8889,0.2983
1016.1290,1111.1111,0.2795
1016.1290,1333.3333,-0.5376
1016.1290,1555.5556,-0.5276
1016.1290,1777.7778,-0.3821
1016.1290,2000.0000,-0.3821
1064.5161,0.0000,1.2292
1064.5161,222.2222,1.3850
1064.5161,444.4444,1.5000
1064.5161,666.6667,0.9117
1064.5161,888.8889,0.8833
1064.5161,1111.1111,0.8202
1064.5161,1333.3333,0.0854
1064.5161,1555.5556,0.0331
1064.5161,1777.7778,0.0991
1064.5161,2000.0000,0.0991
1112.9032,0.0000,1.6050
1112.9032,222.2222,1.7866
1112.9032,444.4444,1.9076
1112.9032,666.6667,1.4196
1112.9032,888.8889,1.3694
1112.9032,1111.1111,1.2691
1112.9032,1333.3333,0.5988
1112.9032,1555.5556,0.4906
1112.9032,1777.7778,0.4805
1112.9032,2000.0000,0.4805
1161.2903,0.0000,1.6447
1161.2903,222.2222,1.8574
1161.2903,444.4444,1.9914
1161.2903,666.6667,1.5741
1161.2903,888.8889,1.5284
1161.2903,1111.1111,1.4234
1161.2903,1333.3333,0.8093
1161.2903,1555.5556,0.6792
1161.2903,1777.7778,0.6251
