y,x,val
0.0000,0.0000,1519.4142
0.0000,222.2222,1519.5473
0.0000,444.4444,1519.6415
0.0000,666.6667,1519.4806
0.0000,888.8889,1519.2853
0.0000,1111.1111,1519.0005
0.0000,1333.3333,1518.5745
0.0000,1555.5556,1518.2529
0.0000,1777.7778,1517.8750
0.0000,2000.0000,1517.8750
48.3871,0.0000,1518.8285
48.3871,222.2222,1518.8408
48.3871,444.4444,1518.9773
48.3871,666.6667,1518.7573
48.3871,888.8889,1518.6084
48.3871,1111.1111,1518.3908
48.3871,1333.3333,1517.9601
48.3871,1555.5556,1517.7521
48.3871,1777.7778,1517.3661
48.3871,2000.0000,1517.3661
96.7742,0.0000,1517.4053
96.7742,222.2222,1517.2903
96.7742,444.4444,1517.4163
96.7742,666.6667,1517.1943
96.7742,888.8889,1517.1129
96.7742,1111.1111,1516.9923
96.7742,1333.3333,1516.6447
96.7742,1555.5556,1516.5644
96.7742,1777.7778,1516.2637
96.7742,2000.0000,1516.2637
145.1613,0.0000,1515.5073
145.1613,222.2222,1515.2903
145.1613,444.4444,1515.4265
145.1613,666.6667,1515.2355
145.1613,888.8889,1515.2390
145.1613,1111.1111,1515.2236
145.1613,1333.3333,1514.9659
145.1613,1555.5556,1514.9989
145.1613,1777.7778,1514.7837
145.1613,2000.0000,1514.7837
193.5484,0.0000,1513.4580
193.5484,222.2222,1513.2734
193.5484,444.4444,1513.4809
193.5484,666.6667,1513.3533
193.5484,888.8889,1513.4488
193.5484,1111.1111,1513.5267
193.5484,1333.3333,1513.3295
193.5484,1555.5556,1513.4096
193.5484,1777.7778,1513.1630
193.5484,2000.0000,1513.1630
241.9355,0.0000,1511.1525
241.9355,222.2222,1511.0359
241.9355,444.4444,1511.3299
241.9355,666.6667,1511.2812
241.9355,888.8889,1511.4662
241.9355,1111.1111,1511.6256
241.9355,1333.3333,1511.4759
241.9355,1555.5556,1511.5714
241.9355,1777.7778,1511.2689
241.9355,2000.0000,1511.2689
290.3226,0.0000,1508.4265
290.3226,222.2222,1508.3588
290.3226,444.4444,1508.7277
290.3226,666.6667,1508.7413
290.3226,888.8889,1509.0071
290.3226,1111.1111,1509.2436
290.3226,1333.3333,1509.1387
290.3226,1555.5556,1509.2624
290.3226,1777.7778,1508.9142
290.3226,2000.0000,1508.9142
338.7097,0.0000,1505.1269
338.7097,222.2222,1505.0101
338.7097,444.4444,1505.3944
