y,x,val
0.0000,0.0000,-1.1014
0.0000,222.2222,-0.4693
0.0000,444.4444,0.1232
0.0000,666.6667,-1.7671
0.0000,888.8889,-1.4459
0.0000,1111.1111,-1.1956
0.0000,1333.3333,-3.4358
0.0000,1555.5556,-3.2395
0.0000,1777.7778,-3.0742
0.0000,2000.0000,-3.0742
48.3871,0.0000,-1.0371
48.3871,222.2222,-0.2702
48.3871,444.4444,0.5642
48.3871,666.6667,-2.0483
48.3871,888.8889,-1.3890
48.3871,1111.1111,-0.8198
48.3871,1333.3333,-3.7918
48.3871,1555.5556,-3.1563
48.3871,1777.7778,-2.6951
48.3871,2000.0000,-2.6951
96.7742,0.0000,0.4462
96.7742,222.2222,1.1829
96.7742,444.4444,2.1179
96.7742,666.6667,-0.9265
96.7742,888.8889,-0.0998
96.7742,1111.1111,0.6829
96.7742,1333.3333,-2.5978
96.7742,1555.5556,-1.7577
96.7742,1777.7778,-1.0962
96.7742,2000.0000,-1.0962
145.1613,0.0000,1.5053
145.1613,222.2222,2.1049
145.1613,444.4444,3.0067
145.1613,666.6667,-0.0500
145.1613,888.8889,0.8516
145.1613,1111.1111,1.7220
145.1613,1333.3333,-1.5854
145.1613,1555.5556,-0.6089
145.1613,1777.7778,0.1350
145.1613,2000.0000,0.1350
193.5484,0.0000,2.3660
193.5484,222.2222,2.8708
193.5484,444.4444,3.7972
193.5484,666.6667,0.9613
193.5484,888.8889,1.8051
193.5484,1111.1111,2.7042
193.5484,1333.3333,-0.3241
193.5484,1555.5556,0.5260
193.5484,1777.7778,1.1512
193.5484,2000.0000,1.1512
241.9355,0.0000,2.5287
241.9355,222.2222,3.2046
241.9355,444.4444,4.3405
241.9355,666.6667,1.2948
241.9355,888.8889,2.2937
241.9355,1111.1111,3.3735
241.9355,1333.3333,0.1854
241.9355,1555.5556,1.0759
241.9355,1777.7778,1.7112
241.9355,2000.0000,1.7112
290.3226,0.0000,2.2937
290.3226,222.2222,3.1115
290.3226,444.4444,4.4054
290.3226,666.6667,1.1071
290.3226,888.8889,2.2707
290.3226,1111.1111,3.5167
290.3226,1333.3333,0.0811
290.3226,1555.5556,1.0701
290.3226,1777.7778,1.7461
290.3226,2000.0000,1.7461
338.7097,0.0000,1.8062
338.7097,222.2222,2.6975
338.7097,444.4444,4.1216
338.7097,666.6667,0.4917
338.7097,888.8889,1.8375
338.7097,1111.1111,3.2752
338.7097,1333.3333,-0.4511
338.7097,1555.5556,0.7272
338.7097,1777.7778,1.5794
338.7097,2000.0000,1.5794
387.0968,0.0000,1.1634
387.0968,222.2222,2.1153
387.0968,444.4444,3.6405
387.0968,666.6667,-0.3512
387.0968,888.8889,1.1742
387.0968,1111.1111,2.8052
387.0968,1333.3333,-1.2029
387.0968,1555.5556,0.1896
387.0968,1777.7778,1.2482
387.0968,2000.0000,1.2482
435.4839,0.0000,0.5542
435.4839,222.2222,1.4545
435.4839,444.4444,2.9889
435.4839,666.6667,-1.1755
435.4839,888.8889,0.4311
435.4839,1111.1111,2.1722
435.4839,1333.3333,-1.9158
435.4839,1555.5556,-0.3748
435.4839,1777.7778,0.8249
435.4839,2000.0000,0.8249
483.8710,0.0000,-0.1328
483.8710,222.2222,0.6258
483.8710,444.4444,2.0589
483.8710,666.6667,-1.9822
483.8710,888.8889,-0.3805
483.8710,1111.1111,1.3675
