y,x,val
0.0000,0.0000,1515.1900
0.0000,222.2222,1515.4311
0.0000,444.4444,1515.7763
0.0000,666.6667,1516.2254
0.0000,888.8889,1516.6900
0.0000,1111.1111,1517.1464
0.0000,1333.3333,1517.5422
0.0000,1555.5556,1517.7272
0.0000,1777.7778,1517.6583
0.0000,2000.0000,1517.6583
48.3871,0.0000,1514.7998
48.3871,222.2222,1515.0631
48.3871,444.4444,1515.4426
48.3871,666.6667,1515.9297
48.3871,888.8889,1516.4448
48.3871,1111.1111,1516.9404
48.3871,1333.3333,1517.3430
48.3871,1555.5556,1517.5154
48.3871,1777.7778,1517.3972
48.3871,2000.0000,1517.3972
96.7742,0.0000,1513.8430
96.7742,222.2222,1514.1165
96.7742,444.4444,1514.5257
96.7742,666.6667,1515.0429
96.7742,888.8889,1515.5879
96.7742,1111.1111,1516.1015
96.7742,1333.3333,1516.5033
96.7742,1555.5556,1516.6700
96.7742,1777.7778,1516.5416
96.7742,2000.0000,1516.5416
145.1613,0.0000,1512.3461
145.1613,222.2222,1512.6145
145.1613,444.4444,1513.0377
145.1613,666.6667,1513.5654
145.1613,888.8889,1514.1078
145.1613,1111.1111,1514.6146
145.1613,1333.3333,1515.0170
145.1613,1555.5556,1515.1932
145.1613,1777.7778,1515.0814
145.1613,2000.0000,1515.0814
193.5484,0.0000,1510.3673
193.5484,222.2222,1510.6261
193.5484,444.4444,1511.0547
193.5484,666.6667,1511.5859
193.5484,888.8889,1512.1281
193.5484,1111.1111,1512.6233
193.5484,1333.3333,1513.0062
193.5484,1555.5556,1513.1769
193.5484,1777.7778,1513.0792
193.5484,2000.0000,1513.0792
241.9355,0.0000,1507.9656
241.9355,222.2222,1508.2000
241.9355,444.4444,1508.6153
241.9355,666.6667,1509.1312
241.9355,888.8889,1509.6532
241.9355,1111.1111,1510.1267
241.9355,1333.3333,1510.4955
241.9355,1555.5556,1510.6710
241.9355,1777.7778,1510.6003
241.9355,2000.0000,1510.6003
290.3226,0.0000,1505.2242
290.3226,222.2222,1505.4212
290.3226,444.4444,1505.8076
290.3226,666.6667,1506.2911
290.3226,888.8889,1506.7745
290.3226,1111.1111,1507.2173
290.3226,1333.3333,1507.5784
290.3226,1555.5556,1507.7712
290.3226,1777.7778,1507.7405
290.3226,2000.0000,1507.7405
338.7097,0.0000,1502.2526
338.7097,222.2222,1502.4097
338.7097,444.4444,1502.7625
338.7097,666.6667,1503.2110
338.7097,888.8889,1503.6623
338.7097,1111.1111,1504.0769
338.7097,1333.3333,1504.4205
338.7097,1555.5556,1504.6217
338.7097,1777.7778,1504.6271
338.7097,2000.0000,1504.6271
387.0968,0.0000,1499.1588
387.0968,222.2222,1499.2689
387.0968,444.4444,1499.5788
387.0968,666.6667,1499.9846
387.0968,888.8889,1500.3971
387.0968,1111.1111,1500.7834
387.0968,1333.3333,1501.1172
387.0968,1555.5556,1501.3337
387.0968,1777.7778,1501.3800
387.0968,2000.0000,1501.3800
435.4839,0.0000,1496.0614
435.4839,222.2222,1496.1216
435.4839,444.4444,1496.3852
435.4839,666.6667,1496.7439
435.4839,888.8889,1497.1120
435.4839,1111.1111,1497.4693
435.4839,1333.3333,1497.7989
435.4839,1555.5556,1498.0366
435.4839,1777.7778,1498.1267
435.4839,2000.0000,1498.1267
483.8710,0.0000,1493.0854
483.8710,222.2222,1493.1071
483.8710,444.4444,1493.3357
483.8710,666.6667,1493.6592
483.8710,888.8889,1493.9943
483.8710,1111.1111,1494.3231
483.8710,1333.3333,1494.6354
483.8710,1555.5556,1494.8784
483.8710,1777.7778,1494.9987
483.8710,2000.0000,1494.9987
532.2581,0.0000,1490.3263
532.2581,222.2222,1490.3137
532.2581,444.4444,1490.5097
532.2581,666.6667,1490.7993
532.2581,888.8889,1491.1020
532.2581,1111.1111,1491.4043
532.2581,1333.3333,1491.7026
532.2581,1555.5556,1491.9502
532.2581,1777.7778,1492.0955
532.2581,2000.0000,1492.0955
580.6452,0.0000,1487.8664
580.6452,222.2222,1487.8261
580.6452,444.4444,1487.9945
580.6452,666.6667,1488.2531
580.6452,888.8889,1488.5232
580.6452,1111.1111,1488.7997
580.6452,1333.3333,1489.0853
580.6452,1555.5556,1489.3356
580.6452,1777.7778,1489.4995
580.6452,2000.0000,1489.4995
629.0323,0.0000,1485.7726
629.0323,222.2222,1485.7246
629.0323,444.4444,1485.8851
629.0323,666.6667,1486.1295
629.0323,888.8889,1486.3770
629.0323,1111.1111,1486.6233
629.0323,1333.3333,1486.8792
629.0323,1555.5556,1487.1122
629.0323,1777.7778,1487.2757
629.0323,2000.0000,1487.2757
677.4194,0.0000,1484.0643
677.4194,222.2222,1484.0182
677.4194,444.4444,1484.1773
677.4194,666.6667,1484.4118
677.4194,888.8889,1484.6384
677.4194,1111.1111,1484.8550
677.4194,1333.3333,1485.0803
677.4194,1555.5556,1485.2905
677.4194,1777.7778,1485.4435
677.4194,2000.0000,1485.4435
725.8065,0.0000,1482.7341
725.8065,222.2222,1482.6950
725.8065,444.4444,1482.8545
725.8065,666.6667,1483.0791
725.8065,888.8889,1483.2841
725.8065,1111.1111,1483.4723
725.8065,1333.3333,1483.6696
725.8065,1555.5556,1483.8570
725.8065,1777.7778,1483.9945
725.8065,2000.0000,1483.9945
774.1935,0.0000,1481.7563
774.1935,222.2222,1481.7255
774.1935,444.4444,1481.8841
774.1935,666.6667,1482.0973
774.1935,888.8889,1482.2819
774.1935,1111.1111,1482.4436
774.1935,1333.3333,1482.6138
774.1935,1555.5556,1482.7794
774.1935,1777.7778,1482.9012
774.1935,2000.0000,1482.9012
822.5806,0.0000,1481.0994
822.5806,222.2222,1481.0796
822.5806,444.4444,1481.2379
822.5806,666.6667,1481.4398
822.5806,888.8889,1481.6037
822.5806,1111.1111,1481.7400
822.5806,1333.3333,1481.8850
822.5806,1555.5556,1482.0290
822.5806,1777.7778,1482.1324
822.5806,2000.0000,1482.1324
870.9677,0.0000,1480.7219
870.9677,222.2222,1480.7128
870.9677,444.4444,1480.8688
870.9677,666.6667,1481.0573
870.9677,888.8889,1481.1996
870.9677,1111.1111,1481.3121
870.9677,1333.3333,1481.4360
870.9677,1555.5556,1481.5621
870.9677,1777.7778,1481.6475
870.9677,2000.0000,1481.6475
919.3548,0.0000,1480.5763
919.3548,222.2222,1480.5664
919.3548,444.4444,1480.7077
919.3548,666.6667,1480.8733
919.3548,888.8889,1480.9930
919.3548,1111.1111,1481.0884
919.3548,1333.3333,1481.2015
919.3548,1555.5556,1481.3215
919.3548,1777.7778,1481.4003
919.3548,2000.0000,1481.4003
967.7419,0.0000,1480.6409
967.7419,222.2222,1480.6296
967.7419,444.4444,1480.7552
967.7419,666.6667,1480.8975
967.7419,888.8889,1480.9946
967.7419,1111.1111,1481.0742
967.7419,1333.3333,1481.1794
967.7419,1555.5556,1481.2958
967.7419,1777.7778,1481.3693
967.7419,2000.0000,1481.3693
1016.1290,0.0000,1480.8960
1016.1290,222.2222,1480.8852
1016.1290,444.4444,1480.9976
1016.1290,666.6667,1481.1190
1016.1290,888.8889,1481.1943
1016.1290,1111.1111,1481.2585
1016.1290,1333.3333,1481.3564
1016.1290,1555.5556,1481.4688
1016.1290,1777.7778,1481.5356
1016.1290,2000.0000,1481.5356
1064.5161,0.0000,1481.3166
1064.5161,222.2222,1481.3064
1064.5161,444.4444,1481.4075
1064.5161,666.6667,1481.5112
1064.5161,888.8889,1481.5697
1064.5161,1111.1111,1481.6212
1064.5161,1333.3333,1481.7105
1064.5161,1555.5556,1481.8173
1064.5161,1777.7778,1481.8768
1064.5161,2000.0000,1481.8768
1112.9032,0.0000,1481.8816
1112.9032,222.2222,1481.8771
1112.9032,444.4444,1481.9726
1112.9032,666.6667,1482.0634
1112.9032,888.8889,1482.1070
1112.9032,1111.1111,1482.1457
1112.9032,1333.3333,1482.2250
1112.9032,1555.5556,1482.3225
1112.9032,1777.7778,1482.3706
1112.9032,2000.0000,1482.3706
