y,x,val
0.0000,0.0000,1517.0095
0.0000,222.2222,1517.4154
0.0000,444.4444,1518.0059
0.0000,666.6667,1518.7097
0.0000,888.8889,1519.4206
0.0000,1111.1111,1520.0460
0.0000,1333.3333,1520.4973
0.0000,1555.5556,1520.6790
0.0000,1777.7778,1520.5451
0.0000,2000.0000,1520.5451
48.3871,0.0000,1516.4538
48.3871,222.2222,1516.8656
48.3871,444.4444,1517.4582
48.3871,666.6667,1518.1665
48.3871,888.8889,1518.8906
48.3871,1111.1111,1519.5346
48.3871,1333.3333,1520.0048
48.3871,1555.5556,1520.2061
48.3871,1777.7778,1520.0708
48.3871,2000.0000,1520.0708
96.7742,0.0000,1515.1956
96.7742,222.2222,1515.5771
96.7742,444.4444,1516.1410
96.7742,666.6667,1516.8232
96.7742,888.8889,1517.5319
96.7742,1111.1111,1518.1722
96.7742,1333.3333,1518.6503
96.7742,1555.5556,1518.8758
96.7742,1777.7778,1518.7801
96.7742,2000.0000,1518.7801
145.1613,0.0000,1513.3237
145.1613,222.2222,1513.6605
145.1613,444.4444,1514.1810
145.1613,666.6667,1514.8239
145.1613,888.8889,1515.5035
145.1613,1111.1111,1516.1288
145.1613,1333.3333,1516.6090
145.1613,1555.5556,1516.8580
145.1613,1777.7778,1516.8083
145.1613,2000.0000,1516.8083
193.5484,0.0000,1510.9492
193.5484,222.2222,1511.2356
193.5484,444.4444,1511.7071
193.5484,666.6667,1512.3054
193.5484,888.8889,1512.9501
193.5484,1111.1111,1513.5549
193.5484,1333.3333,1514.0333
193.5484,1555.5556,1514.3025
193.5484,1777.7778,1514.2969
193.5484,2000.0000,1514.2969
241.9355,0.0000,1508.1913
241.9355,222.2222,1508.4260
241.9355,444.4444,1508.8470
241.9355,666.6667,1509.3993
241.9355,888.8889,1510.0070
241.9355,1111.1111,1510.5885
241.9355,1333.3333,1511.0615
241.9355,1555.5556,1511.3470
241.9355,1777.7778,1511.3820
241.9355,2000.0000,1511.3820
290.3226,0.0000,1505.1715
290.3226,222.2222,1505.3547
290.3226,444.4444,1505.7256
290.3226,666.6667,1506.2319
290.3226,888.8889,1506.8016
290.3226,1111.1111,1507.3576
290.3226,1333.3333,1507.8219
290.3226,1555.5556,1508.1196
290.3226,1777.7778,1508.1909
290.3226,2000.0000,1508.1909
338.7097,0.0000,1502.0092
338.7097,222.2222,1502.1419
338.7097,444.4444,1502.4634
