y,x,val
0.0000,0.0000,-6.4293
0.0000,222.2222,-5.7299
0.0000,444.4444,-4.5796
0.0000,666.6667,-5.3718
0.0000,888.8889,-3.9637
0.0000,1111.1111,-2.6363
0.0000,1333.3333,-3.9690
0.0000,1555.5556,-3.4246
0.0000,1777.7778,-3.3524
0.0000,2000.0000,-3.3524
48.3871,0.0000,-6.1732
48.3871,222.2222,-5.3087
48.3871,444.4444,-3.8967
48.3871,666.6667,-5.3214
48.3871,888.8889,-3.7184
48.3871,1111.1111,-2.1767
48.3871,1333.3333,-4.2056
48.3871,1555.5556,-3.2490
48.3871,1777.7778,-3.0246
48.3871,2000.0000,-3.0246
96.7742,0.0000,-4.2263
96.7742,222.2222,-3.3147
96.7742,444.4444,-1.8074
96.7742,666.6667,-3.7220
96.7742,888.8889,-2.1456
96.7742,1111.1111,-0.5773
96.7742,1333.3333,-3.0060
96.7742,1555.5556,-1.9184
96.7742,1777.7778,-1.5781
96.7742,2000.0000,-1.5781
145.1613,0.0000,-2.7294
145.1613,222.2222,-1.9001
145.1613,444.4444,-0.4935
145.1613,666.6667,-2.5417
145.1613,888.8889,-1.0944
145.1613,1111.1111,0.3639
145.1613,1333.3333,-2.2126
145.1613,1555.5556,-1.0786
145.1613,1777.7778,-0.7044
145.1613,2000.0000,-0.7044
193.5484,0.0000,-1.7022
193.5484,222.2222,-1.0507
193.5484,444.4444,0.2384
193.5484,666.6667,-1.7464
193.5484,888.8889,-0.5528
193.5484,1111.1111,0.7573
193.5484,1333.3333,-1.6398
193.5484,1555.5556,-0.6734
193.5484,1777.7778,-0.3483
193.5484,2000.0000,-0.3483
241.9355,0.0000,-1.4502
241.9355,222.2222,-0.7466
241.9355,444.4444,0.5945
241.9355,666.6667,-1.7649
241.9355,888.8889,-0.5940
241.9355,1111.1111,0.7436
241.9355,1333.3333,-1.9001
241.9355,1555.5556,-0.9107
241.9355,1777.7778,-0.4865
241.9355,2000.0000,-0.4865
290.3226,0.0000,-1.4148
290.3226,222.2222,-0.6668
290.3226,444.4444,0.6925
290.3226,666.6667,-2.0566
290.3226,888.8889,-0.8751
290.3226,1111.1111,0.4918
290.3226,1333.3333,-2.4792
290.3226,1555.5556,-1.4240
290.3226,1777.7778,-0.8853
290.3226,2000.0000,-0.8853
338.7097,0.0000,-1.2054
338.7097,222.2222,-0.3789
338.7097,444.4444,1.0381
338.7097,666.6667,-2.1326
338.7097,888.8889,-0.8892
338.7097,1111.1111,0.5496
338.7097,1333.3333,-2.7999
338.7097,1555.5556,-1.6324
338.7097,1777.7778,-0.9492
338.7097,2000.0000,-0.9492
387.0968,0.0000,-0.7803
387.0968,222.2222,0.1436
387.0968,444.4444,1.6342
387.0968,666.6667,-1.9584
387.0968,888.8889,-0.6291
387.0968,1111.1111,0.8975
387.0968,1333.3333,-2.8295
387.0968,1555.5556,-1.5402
387.0968,1777.7778,-0.7136
387.0968,2000.0000,-0.7136
435.4839,0.0000,-0.0783
435.4839,222.2222,0.8559
435.4839,444.4444,2.3484
435.4839,666.6667,-1.4499
435.4839,888.8889,-0.1141
435.4839,1111.1111,1.4289
435.4839,1333.3333,-2.4674
435.4839,1555.5556,-1.1319
435.4839,1777.7778,-0.2364
435.4839,2000.0000,-0.2364
483.8710,0.0000,0.6213
483.8710,222.2222,1.4939
483.8710,444.4444,2.9006
483.8710,666.6667,-0.7842
483.8710,888.8889,0.4939
483.8710,1111.1111,1.9700
483.8710,1333.3333,-1.8306
483.8710,1555.5556,-0.5126
483.8710,1777.7778,0.3660
483.8710,2000.0000,0.3660
532.2581,0.0000,1.4097
532.2581,222.2222,2.1601
532.2581,444.4444,3.4573
532.2581,666.6667,0.0448
532.2581,888.8889,1.2077
532.2581,1111.1111,2.5815
532.2581,1333.3333,-0.9540
532.2581,1555.5556,0.2866
532.2581,1777.7778,1.0991
532.2581,2000.0000,1.0991
580.6452,0.0000,2.2724
580.6452,222.2222,2.8389
580.6452,444.4444,3.9352
580.6452,666.6667,1.0983
580.6452,888.8889,2.0700
580.6452,1111.1111,3.2357
580.6452,1333.3333,0.2565
580.6452,1555.5556,1.3292
580.6452,1777.7778,1.9580
580.6452,2000.0000,1.9580
629.0323,0.0000,2.6813
629.0323,222.2222,3.0550
629.0323,444.4444,3.9635
629.0323,666.6667,1.6957
629.0323,888.8889,2.4799
629.0323,1111.1111,3.4560
629.0323,1333.3333,1.0457
629.0323,1555.5556,1.9598
629.0323,1777.7778,2.4226
629.0323,2000.0000,2.4226
677.4194,0.0000,2.6896
677.4194,222.2222,2.9162
677.4194,444.4444,3.6749
677.4194,666.6667,1.9625
677.4194,888.8889,2.5997
677.4194,1111.1111,3.4157
677.4194,1333.3333,1.5543
677.4194,1555.5556,2.3364
677.4194,1777.7778,2.6479
677.4194,2000.0000,2.6479
725.8065,0.0000,2.4221
725.8065,222.2222,2.5159
725.8065,444.4444,3.1340
725.8065,666.6667,1.8544
725.8065,888.8889,2.3563
725.8065,1111.1111,3.0214
