y,x,val
0.0000,0.0000,-7.9662
0.0000,222.2222,-7.1612
0.0000,444.4444,-6.0537
0.0000,666.6667,-6.9425
0.0000,888.8889,-5.5029
0.0000,1111.1111,-4.1048
0.0000,1333.3333,-5.2570
0.0000,1555.5556,-4.4185
0.0000,1777.7778,-3.9441
0.0000,2000.0000,-3.9441
48.3871,0.0000,-7.6206
48.3871,222.2222,-6.5328
48.3871,444.4444,-5.2219
48.3871,666.6667,-6.7918
48.3871,888.8889,-5.0849
48.3871,1111.1111,-3.4622
48.3871,1333.3333,-5.3679
48.3871,1555.5556,-4.2162
48.3871,1777.7778,-3.4521
48.3871,2000.0000,-3.4521
96.7742,0.0000,-5.4253
96.7742,222.2222,-4.2356
96.7742,444.4444,-2.8510
96.7742,666.6667,-4.9271
96.7742,888.8889,-3.2145
96.7742,1111.1111,-1.5705
96.7742,1333.3333,-3.9450
96.7742,1555.5556,-2.7530
96.7742,1777.7778,-1.8629
96.7742,2000.0000,-1.8629
145.1613,0.0000,-3.6449
145.1613,222.2222,-2.5106
145.1613,444.4444,-1.2329
145.1613,666.6667,-3.4522
145.1613,888.8889,-1.8677
145.1613,1111.1111,-0.3560
145.1613,1333.3333,-2.9370
145.1613,1555.5556,-1.7661
145.1613,1777.7778,-0.8674
145.1613,2000.0000,-0.8674
193.5484,0.0000,-2.3809
193.5484,222.2222,-1.4127
193.5484,444.4444,-0.2585
193.5484,666.6667,-2.4272
193.5484,888.8889,-1.1121
193.5484,1111.1111,0.2226
193.5484,1333.3333,-2.2248
193.5484,1555.5556,-1.2680
193.5484,1777.7778,-0.4443
193.5484,2000.0000,-0.4443
241.9355,0.0000,-1.9870
241.9355,222.2222,-0.9671
241.9355,444.4444,0.2272
241.9355,666.6667,-2.3348
241.9355,888.8889,-1.0657
241.9355,1111.1111,0.2682
241.9355,1333.3333,-2.4581
241.9355,1555.5556,-1.5068
241.9355,1777.7778,-0.5997
241.9355,2000.0000,-0.5997
290.3226,0.0000,-1.9226
290.3226,222.2222,-0.8697
290.3226,444.4444,0.3231
