y,x,val
0.0000,0.0000,1513.9780
0.0000,222.2222,1514.3060
0.0000,444.4444,1514.8191
0.0000,666.6667,1515.4489
0.0000,888.8889,1516.1078
0.0000,1111.1111,1516.7189
0.0000,1333.3333,1517.1989
0.0000,1555.5556,1517.4504
0.0000,1777.7778,1517.4115
0.0000,2000.0000,1517.4115
48.3871,0.0000,1513.5756
48.3871,222.2222,1513.9210
48.3871,444.4444,1514.4516
48.3871,666.6667,1515.0977
48.3871,888.8889,1515.7749
48.3871,1111.1111,1516.4026
48.3871,1333.3333,1516.8950
48.3871,1555.5556,1517.1567
48.3871,1777.7778,1517.1100
48.3871,2000.0000,1517.1100
96.7742,0.0000,1512.6854
96.7742,222.2222,1513.0255
96.7742,444.4444,1513.5532
96.7742,666.6667,1514.1951
96.7742,888.8889,1514.8687
96.7742,1111.1111,1515.4925
96.7742,1333.3333,1515.9818
96.7742,1555.5556,1516.2486
96.7742,1777.7778,1516.2179
96.7742,2000.0000,1516.2179
145.1613,0.0000,1511.3408
145.1613,222.2222,1511.6629
145.1613,444.4444,1512.1741
145.1613,666.6667,1512.7985
145.1613,888.8889,1513.4552
145.1613,1111.1111,1514.0642
145.1613,1333.3333,1514.5443
145.1613,1555.5556,1514.8144
145.1613,1777.7778,1514.8035
145.1613,2000.0000,1514.8035
193.5484,0.0000,1509.5917
193.5484,222.2222,1509.8886
193.5484,444.4444,1510.3744
193.5484,666.6667,1510.9728
193.5484,888.8889,1511.6045
193.5484,1111.1111,1512.1924
193.5484,1333.3333,1512.6599
193.5484,1555.5556,1512.9315
193.5484,1777.7778,1512.9408
193.5484,2000.0000,1512.9408
241.9355,0.0000,1507.4995
241.9355,222.2222,1507.7667
241.9355,444.4444,1508.2216
241.9355,666.6667,1508.7884
241.9355,888.8889,1509.3899
241.9355,1111.1111,1509.9523
241.9355,1333.3333,1510.4041
241.9355,1555.5556,1510.6753
241.9355,1777.7778,1510.7041
241.9355,2000.0000,1510.7041
290.3226,0.0000,1505.1329
290.3226,222.2222,1505.3676
290.3226,444.4444,1505.7883
290.3226,666.6667,1506.3199
290.3226,888.8889,1506.8871
290.3226,1111.1111,1507.4202
290.3226,1333.3333,1507.8529
290.3226,1555.5556,1508.1212
290.3226,1777.7778,1508.1687
290.3226,2000.0000,1508.1687
338.7097,0.0000,1502.5657
338.7097,222.2222,1502.7664
338.7097,444.4444,1503.1511
338.7097,666.6667,1503.6450
338.7097,888.8889,1504.1749
338.7097,1111.1111,1504.6748
338.7097,1333.3333,1505.0841
338.7097,1555.5556,1505.3459
338.7097,1777.7778,1505.4108
338.7097,2000.0000,1505.4108
387.0968,0.0000,1499.8746
387.0968,222.2222,1500.0410
387.0968,444.4444,1500.3892
387.0968,666.6667,1500.8442
387.0968,888.8889,1501.3342
387.0968,1111.1111,1501.7969
387.0968,1333.3333,1502.1777
387.0968,1555.5556,1502.4280
387.0968,1777.7778,1502.5081
387.0968,2000.0000,1502.5081
435.4839,0.0000,1497.1375
435.4839,222.2222,1497.2707
435.4839,444.4444,1497.5835
435.4839,666.6667,1497.9995
435.4839,888.8889,1498.4478
435.4839,1111.1111,1498.8697
435.4839,1333.3333,1499.2166
435.4839,1555.5556,1499.4491
435.4839,1777.7778,1499.5409
435.4839,2000.0000,1499.5409
483.8710,0.0000,1494.4329
483.8710,222.2222,1494.5351
483.8710,444.4444,1494.8147
483.8710,666.6667,1495.1926
483.8710,888.8889,1495.5988
483.8710,1111.1111,1495.9778
483.8710,1333.3333,1496.2869
483.8710,1555.5556,1496.4957
483.8710,1777.7778,1496.5939
483.8710,2000.0000,1496.5939
532.2581,0.0000,1491.8389
532.2581,222.2222,1491.9127
532.2581,444.4444,1492.1611
532.2581,666.6667,1492.5025
532.2581,888.8889,1492.8678
532.2581,1111.1111,1493.2045
532.2581,1333.3333,1493.4756
532.2581,1555.5556,1493.6598
532.2581,1777.7778,1493.7622
532.2581,2000.0000,1493.7622
580.6452,0.0000,1489.4269
580.6452,222.2222,1489.4749
580.6452,444.4444,1489.6938
580.6452,666.6667,1490.0008
580.6452,888.8889,1490.3278
580.6452,1111.1111,1490.6256
580.6452,1333.3333,1490.8624
580.6452,1555.5556,1491.0258
580.6452,1777.7778,1491.1333
580.6452,2000.0000,1491.1333
629.0323,0.0000,1487.2549
629.0323,222.2222,1487.2806
629.0323,444.4444,1487.4727
629.0323,666.6667,1487.7481
629.0323,888.8889,1488.0405
629.0323,1111.1111,1488.3037
629.0323,1333.3333,1488.5115
629.0323,1555.5556,1488.6582
629.0323,1777.7778,1488.7700
629.0323,2000.0000,1488.7700
677.4194,0.0000,1485.3675
677.4194,222.2222,1485.3754
677.4194,444.4444,1485.5440
677.4194,666.6667,1485.7912
677.4194,888.8889,1486.0529
677.4194,1111.1111,1486.2863
677.4194,1333.3333,1486.4696
677.4194,1555.5556,1486.6024
677.4194,1777.7778,1486.7164
677.4194,2000.0000,1486.7164
725.8065,0.0000,1483.7962
725.8065,222.2222,1483.7912
725.8065,444.4444,1483.9397
725.8065,666.6667,1484.1620
725.8065,888.8889,1484.3967
