y,0,1,2,3,4,5,6,7,8
50.0,1484.858,1484.8499,1484.839,1484.9052,1484.9361,1484.9735,1485.0732,1485.1407,1485.2004
150.0,1484.9141,1484.9139,1484.8828,1484.9786,1484.9986,1485.0212,1485.147,1485.2117,1485.2801
250.0,1485.0866,1485.0895,1485.0539,1485.16,1485.1772,1485.1956,1485.3315,1485.3981,1485.4697
350.0,1485.3738,1485.3786,1485.3433,1485.4535,1485.4708,1485.4889,1485.6288,1485.6974,1485.77
450.0,1485.7734,1485.78,1485.7463,1485.8588,1485.8772,1485.8961,1486.0378,1486.1074,1486.1798
550.0,1486.2821,1486.2907,1486.259,1486.3735,1486.3932,1486.4129,1486.5555,1486.6253,1486.6968
650.0,1486.8954,1486.9065,1486.8771,1486.9935,1487.0145,1487.035,1487.1779,1487.2473,1487.3174
750.0,1487.6077,1487.6218,1487.595,1487.7135,1487.7359,1487.7572,1487.9002,1487.9688,1488.0371
850.0,1488.4123,1488.4301,1488.4064,1488.5274,1488.5514,1488.5736,1488.7166,1488.7843,1488.8504
950.0,1489.3009,1489.3233,1489.3036,1489.4277,1489.4538,1489.4772,1489.6205,1489.6872,1489.7511
1050.0,1490.2634,1490.2923,1490.2777,1490.4058,1490.4349,1490.4602,1490.6044,1490.6705,1490.7321
1150.0,1491.2876,1491.3262,1491.3182,1491.4517,1491.4854,1491.5142,1491.6604,1491.7265,1491.7861
1250.0,1492.358,1492.4119,1492.4122,1492.554,1492.5953,1492.63,1492.78,1492.8471,1492.9053
1350.0,1493.4574,1493.5271,1493.5442,1493.701,1493.7546,1493.7987,1493.9549,1494.0245,1494.0816
1450.0,1494.5867,1494.6696,1494.7076,1494.8847,1494.955,1495.0115,1495.176,1495.2493,1495.3049
1550.0,1495.7402,1495.8352,1495.8983,1496.0995,1496.1889,1496.2597,1496.4338,1496.5117,1496.5649
1650.0,1496.9114,1497.0157,1497.1119,1497.3393,1497.4486,1497.5339,1497.7181,1497.8013,1497.8499
1750.0,1498.0965,1498.2005,1498.3429,1498.5959,1498.7243,1498.8235,1499.0167,1499.1064,1499.146
1850.0,1499.2995,1499.3933,1499.5703,1499.8542,1500.0047,1500.1177,1500.3177,1500.4076,1500.4364
1950.0,1500.5075,1500.5991,1500.7975,1501.1109,1501.283,1501.4081,1501.6117,1501.6975,1501.7177
2050.0,1501.7171,1501.8069,1502.0173,1502.3622,1502.5532,1502.6875,1502.8917,1502.9695,1502.9808
2150.0,1502.93,1503.0101,1503.2151,1503.6,1503.8054,1503.9466,1504.1498,1504.2135,1504.214
2250.0,1504.1571,1504.2175,1504.3758,1504.7947,1505.0229,1505.1736,1505.3765,1505.416,1505.4048
2350.0,1505.4134,1505.4709,1505.5765,1505.9844,1506.216,1506.3647,1506.5527,1506.5621,1506.5456
2450.0,1506.6787,1506.7293,1506.7924,1507.1673,1507.3894,1507.5254,1507.6869,1507.6679,1507.6437
2550.0,1507.9362,1507.9813,1508.0026,1508.325,1508.5414,1508.6609,1508.7833,1508.7331,1508.7025
2650.0,1509.1695,1509.2195,1509.1991,1509.435,1509.6663,1509.7691,1509.8361,1509.7538,1509.7252
