y,0,1,2,3,4,5,6,7,8
50.0,-3.9931,-3.6344,-3.3727,-3.4385,-3.3524,-3.2835,-3.5185,-3.638,-3.9509
150.0,-1.3665,-0.9136,-0.6189,-0.6872,-0.5172,-0.3861,-0.5824,-0.563,-0.7905
250.0,-1.6833,-1.4531,-1.2658,-1.3371,-1.2422,-1.1496,-1.2135,-1.1898,-1.3189
350.0,-1.665,-1.7403,-1.7182,-1.7575,-1.7825,-1.7652,-1.6996,-1.692,-1.726
450.0,1.7435,1.442,1.3027,1.1414,1.0247,0.967,0.9619,0.9699,0.9894
550.0,7.3153,6.9918,6.8236,6.5573,6.4708,6.4348,6.3493,6.4424,6.5404
650.0,11.8542,11.5772,11.438,11.2195,11.1928,11.2209,11.1855,11.3749,11.5646
750.0,13.7407,13.5292,13.4377,13.398,13.4434,13.5384,13.671,13.953,14.2176
850.0,13.5305,13.3539,13.2871,13.3171,13.3896,13.5115,13.7236,14.0393,14.3281
950.0,12.8804,12.7191,12.6628,12.7267,12.802,12.9276,13.1706,13.4843,13.7679
1050.0,12.2641,12.1398,12.112,12.1769,12.2766,12.4214,12.6552,12.9815,13.2681
1150.0,11.5905,11.4938,11.4855,11.5706,11.6798,11.8297,12.0766,12.3955,12.6634
1250.0,10.827,10.7629,10.7746,10.8822,11.0033,11.1581,11.4119,11.7262,11.968
1350.0,10.0433,10.0121,10.0515,10.1728,10.3052,10.4625,10.7067,11.002,11.2169
1450.0,9.3158,9.3096,9.3715,9.5197,9.6565,9.8067,10.0448,10.3106,10.4954
1550.0,8.6179,8.6369,8.7235,8.8897,9.0308,9.1739,9.3924,9.6243,9.7772
1650.0,7.8794,7.9223,8.0366,8.2167,8.3609,8.4956,8.6884,8.8779,8.9924
1750.0,7.1147,7.1774,7.3234,7.5127,7.6535,7.7751,7.9401,8.0702,8.1354
1850.0,6.406,6.4827,6.6556,6.856,6.9904,7.0855,7.1996,7.2548,7.2774
1950.0,5.7402,5.8269,6.0117,6.2109,6.332,6.3887,6.4321,6.4128,6.3887
2050.0,4.9255,5.0199,5.2101,5.387,5.5028,5.5371,5.4861,5.4149,5.3722
2150.0,3.9503,4.0769,4.2825,4.4551,4.5646,4.5757,4.4623,4.3229,4.2382
2250.0,3.7791,3.8822,4.0239,4.2008,4.2531,4.1743,3.9788,3.7422,3.5929
2350.0,3.5859,3.6825,3.7857,3.9119,3.9259,3.7764,3.473,3.169,2.9749
2450.0,3.2253,3.2988,3.3619,3.4844,3.4518,3.2346,2.8914,2.5196,2.2809
2550.0,2.3624,2.435,2.4891,2.6084,2.5616,2.3165,1.971,1.5599,1.3066
2650.0,1.6649,1.7492,1.798,1.8343,1.8064,1.5372,1.135,0.7038,0.4423
2750.0,1.3068,1.3805,1.3984,1.3294,1.2745,0.9547,0.4892,0.0298,-0.2575
2850.0,0.6061,0.6648,0.6594,0.5266,0.4295,0.0858,-0.402,-0.8854,-1.1783
2950.0,0.0528,0.0685,0.004,-0.1473,-0.3126,-0.6955,-1.1659,-1.6833,-2.0056
3050.0,-0.3182,-0.3378,-0.4546,-0.6807,-0.9162,-1.3079,-1.7936,-2.3346,-2.6849
3150.0,-0.575,-0.6439,-0.8209,-1.071,-1.4283,-1.8047,-2.2363,-2.8202,-3.2206
3250.0,-0.9715,-1.0788,-1.2809,-1.5573,-2.0342,-2.3778,-2.7689,-3.3723,-3.7875
3350.0,-1.3923,-1.5141,-1.7313,-2.05,-2.5796,-2.8981,-3.2673,-3.8542,-4.2605
3450.0,-2.1905,-2.308,-2.526,-2.834,-3.3685,-3.6403,-3.9218,-4.4536,-4.8259
3550.0,-3.0313,-3.1565,-3.4083,-3.6501,-4.2009,-4.4616,-4.557,-5.0473,-5.4229
3650.0,-3.8718,-3.9773,-4.2102,-4.4593,-5.0022,-5.2201,-5.1466,-5.581,-5.9291
3750.0,-4.6757,-4.7571,-4.9671,-5.2193,-5.6952,-5.8975,-5.7441,-6.0801,-6.3763
3850.0,-5.7531,-5.8175,-5.9974,-6.216,-6.6283,-6.7817,-6.5391,-6.7731,-7.0116
3950.0,-6.9242,-6.9623,-7.1165,-7.2952,-7.6176,-7.701,-7.3986,-7.49,-7.6559
4050.0,-8.1837,-8.191,-8.3318,-8.4519,-8.6519,-8.6725,-8.3423,-8.2394,-8.3375
4150.0,-9.6671,-9.6558,-9.7631,-9.7954,-9.8447,-9.7884,-9.4797,-9.2029,-9.1984
4250.0,-11.2818,-11.2583,-11.316,-11.2627,-11.1829,-11.0456,-10.7241,-10.3276,-10.2233
4350.0,-12.9896,-12.9682,-12.9813,-12.8298,-12.6374,-12.4332,-12.0789,-11.6011,-11.3964
4450.0,-14.8458,-14.8344,-14.7893,-14.5716,-14.2469,-13.9665,-13.6551,-13.1105,-12.7492
4550.0,-16.747,-16.7558,-16.6494,-16.3473,-15.936,-15.5857,-15.2575,-14.7224,-14.2672
4650.0,-18.6643,-18.671,-18.518,-18.163,-17.6855,-17.2804,-16.9422,-16.4039,-15.9134
4750.0,-20.5518,-20.5529,-20.3725,-19.9816,-19.4707,-19.0356,-18.6807,-18.1528,-17.6717
4850.0,-22.4194,-22.4031,-22.199,-21.8093,-21.2853,-20.8994,-20.4696,-19.9692,-19.5297
4950.0,-24.296,-24.2688,-24.0745,-23.6713,-23.2018,-22.7684,-22.3348,-21.9066,-21.5083
