y,0,1,2,3,4,5,6,7,8
50.0,-11.8297,-11.8702,-12.1807,-12.6459,-13.0606,-13.3137,-13.81,-13.9437,-13.95
150.0,-8.3804,-8.2219,-8.604,-8.9942,-9.405,-9.5805,-10.1054,-10.1428,-10.0516
250.0,-6.7312,-6.6224,-7.1527,-7.4469,-7.9802,-8.1994,-8.6478,-8.7602,-8.7024
350.0,-4.2071,-4.256,-4.9445,-5.1068,-5.7921,-6.0506,-6.414,-6.6256,-6.6287
450.0,1.6273,1.442,0.6205,0.3834,-0.3957,-0.6703,-1.1287,-1.3865,-1.4178
550.0,9.2151,9.0341,8.2074,7.8988,7.178,6.9716,6.4416,6.2757,6.3212
650.0,15.3033,15.1584,14.3758,14.1461,13.5264,13.4335,12.9932,12.9652,13.1367
750.0,18.3489,18.2534,17.5287,17.5067,17.0025,17.0279,16.807,16.9221,17.2067
850.0,18.9836,18.9083,18.2171,18.2915,17.8558,17.9573,17.8676,18.0648,18.4096
950.0,18.9306,18.8591,18.1872,18.3204,17.9248,18.0745,18.0625,18.3008,18.6727
1050.0,18.7184,18.6766,18.0431,18.2003,17.8627,18.0705,18.0898,18.3776,18.7813
1150.0,18.2992,18.2837,17.6814,17.881,17.5835,17.8308,17.8978,18.2093,18.6197
1250.0,17.6714,17.6961,17.1284,17.3746,17.1186,17.4023,17.5062,17.8393,18.2469
1350.0,16.9257,16.9951,16.4816,16.7719,16.5586,16.8753,16.998,17.3359,17.7352
1450.0,16.1695,16.278,15.8237,16.1766,16.0001,16.3397,16.4829,16.811,17.1918
1550.0,15.3931,15.544,15.1665,15.5758,15.4349,15.7962,15.9448,16.2542,16.6069
1650.0,14.5369,14.7253,14.452,14.9125,14.8053,15.1849,15.3312,15.6097,15.9205
1750.0,13.6338,13.8362,13.6623,14.1936,14.125,14.515,14.6397,14.8656,15.139
1850.0,12.8017,13.0299,12.9325,13.5346,13.5068,13.9009,13.9933,14.1645,14.4001
1950.0,12.0441,12.2982,12.2636,12.9268,12.935,13.3237,13.3651,13.4725,13.6636
2050.0,11.1748,11.4498,11.4811,12.1925,12.2433,12.6397,12.6007,12.6506,12.8223
2150.0,10.1862,10.4916,10.6102,11.3985,11.4852,11.8828,11.7902,11.7439,11.8761
2250.0,10.0528,10.3217,10.4178,11.2878,11.3674,11.6962,11.5173,11.3477,11.4237
2350.0,9.9194,10.1855,10.2762,11.1542,11.2407,11.5124,11.2128,10.9551,10.9818
2450.0,9.618,9.8757,9.9576,10.8836,10.9657,11.1716,10.8041,10.4546,10.425
2550.0,8.784,9.0603,9.159,10.1356,10.2535,10.4182,9.9936,9.5779,9.5234
2650.0,8.0499,8.3603,8.4592,9.4066,9.612,9.7232,9.1544,8.7066,8.6437
2750.0,7.5541,7.8756,7.9342,8.7856,9.0072,9.0407,8.3585,7.9105,7.8245
2850.0,6.6007,6.9203,6.9563,7.7442,7.9338,7.9204,7.1917,6.7333,6.6453
2950.0,5.6622,5.9525,5.9423,6.7079,6.8249,6.7393,6.0072,5.5187,5.403
3050.0,4.7518,5.0236,4.9916,5.6671,5.7115,5.5573,4.7862,4.2812,4.1402
3150.0,3.7768,4.0099,3.9767,4.5759,4.5188,4.2749,3.5491,3.0291,2.8433
3250.0,2.4719,2.6492,2.6445,3.1459,2.9306,2.6471,2.0247,1.5292,1.3304
3350.0,0.9658,1.1186,1.1065,1.5089,1.1751,0.8783,0.3294,-0.1065,-0.2866
3450.0,-1.0817,-0.9319,-0.9516,-0.5899,-1.0264,-1.3094,-1.7147,-2.0589,-2.1955
3550.0,-3.3274,-3.1975,-3.2549,-2.8668,-3.4768,-3.7877,-3.925,-4.1984,-4.3331
3650.0,-5.7164,-5.6032,-5.6561,-5.3175,-6.0776,-6.377,-6.3226,-6.4759,-6.5715
3750.0,-8.1749,-8.1014,-8.207,-7.924,-8.7203,-8.9744,-8.8214,-8.8613,-8.9085
3850.0,-10.979,-10.9497,-11.1074,-10.8741,-11.6588,-11.8594,-11.6017,-11.5388,-11.5303
3950.0,-13.8905,-13.8938,-14.1048,-13.9543,-14.6662,-14.8183,-14.4827,-14.2887,-14.2143
4050.0,-16.843,-16.8828,-17.1485,-17.1442,-17.6804,-17.8287,-17.4264,-17.0752,-16.9523
4150.0,-19.9124,-20.0043,-20.3651,-20.5144,-20.796,-20.8958,-20.5103,-20.0526,-19.8509
4250.0,-22.9938,-23.1492,-23.6133,-23.8427,-23.9756,-23.9889,-23.6153,-23.0985,-22.8242
4350.0,-26.016,-26.2458,-26.8356,-27.1073,-27.1277,-27.0381,-26.6802,-26.1445,-25.8077
4450.0,-29.0117,-29.3042,-30.0299,-30.3741,-30.2452,-29.9893,-29.7633,-29.2241,-28.789
4550.0,-31.8952,-32.2577,-33.0437,-33.3784,-33.1924,-32.8015,-32.6378,-32.1657,-31.6877
4650.0,-34.6309,-35.02,-35.8159,-36.1412,-35.9154,-35.4647,-35.3381,-34.9081,-34.4231
4750.0,-37.1614,-37.5498,-38.3204,-38.6219,-38.3872,-37.9315,-37.8169,-37.4232,-36.9601
4850.0,-39.4911,-39.8472,-40.5342,-40.8154,-40.5934,-40.2362,-40.0548,-39.6961,-39.2756
4950.0,-41.6484,-41.974,-42.5179,-42.7304,-42.5945,-42.2844,-42.0648,-41.7699,-41.386
