y,x,val
0.0000,0.0000,-3.3649
0.0000,222.2222,-3.1002
0.0000,444.4444,-3.0325
0.0000,666.6667,-3.2567
0.0000,888.8889,-3.2024
0.0000,1111.1111,-3.0073
0.0000,1333.3333,-2.9998
0.0000,1555.5556,-2.8775
0.0000,1777.7778,-3.0957
0.0000,2000.0000,-3.0957
100.0000,0.0000,-0.7219
100.0000,222.2222,-0.3413
100.0000,444.4444,-0.2602
100.0000,666.6667,-0.5088
100.0000,888.8889,-0.3832
100.0000,1111.1111,-0.1241
100.0000,1333.3333,-0.0640
100.0000,1555.5556,0.2075
100.0000,1777.7778,0.0443
100.0000,2000.0000,0.0443
200.0000,0.0000,-1.2578
200.0000,222.2222,-0.9985
200.0000,444.4444,-0.9794
200.0000,666.6667,-1.2177
200.0000,888.8889,-1.1733
200.0000,1111.1111,-0.9787
200.0000,1333.3333,-0.8362
200.0000,1555.5556,-0.6363
200.0000,1777.7778,-0.8162
200.0000,2000.0000,-0.8162
300.0000,0.0000,-2.1104
300.0000,222.2222,-2.0363
300.0000,444.4444,-2.0796
300.0000,666.6667,-2.2250
300.0000,888.8889,-2.2902
300.0000,1111.1111,-2.2193
300.0000,1333.3333,-2.0537
300.0000,1555.5556,-2.0095
300.0000,1777.7778,-2.2313
300.0000,2000.0000,-2.2313
400.0000,0.0000,-0.5586
400.0000,222.2222,-0.6251
400.0000,444.4444,-0.6769
400.0000,666.6667,-0.8281
400.0000,888.8889,-0.9508
400.0000,1111.1111,-1.0184
400.0000,1333.3333,-1.0738
400.0000,1555.5556,-1.2125
400.0000,1777.7778,-1.4832
400.0000,2000.0000,-1.4832
500.0000,0.0000,2.2697
500.0000,222.2222,2.2388
500.0000,444.4444,2.3463
500.0000,666.6667,2.2416
500.0000,888.8889,2.2016
500.0000,1111.1111,2.0889
500.0000,1333.3333,1.7815
500.0000,1555.5556,1.5196
500.0000,1777.7778,1.2498
500.0000,2000.0000,1.2498
600.0000,0.0000,3.7671
600.0000,222.2222,3.7991
600.0000,444.4444,4.0944
600.0000,666.6667,4.1722
600.0000,888.8889,4.2407
600.0000,1111.1111,4.1342
600.0000,1333.3333,3.7271
600.0000,1555.5556,3.3871
600.0000,1777.7778,3.1734
600.0000,2000.0000,3.1734
700.0000,0.0000,2.9977
700.0000,222.2222,3.0618
700.0000,444.4444,3.4736
700.0000,666.6667,3.7988
700.0000,888.8889,3.9611
700.0000,1111.1111,3.8818
700.0000,1333.3333,3.5539
700.0000,1555.5556,3.2188
700.0000,1777.7778,3.0984
700.0000,2000.0000,3.0984
800.0000,0.0000,0.9171
800.0000,222.2222,0.9577
800.0000,444.4444,1.3682
800.0000,666.6667,1.7503
800.0000,888.8889,1.9266
800.0000,1111.1111,1.8558
800.0000,1333.3333,1.5894
800.0000,1555.5556,1.2884
800.0000,1777.7778,1.2371
800.0000,2000.0000,1.2371
900.0000,0.0000,-0.6347
900.0000,222.2222,-0.6549
900.0000,444.4444,-0.3456
900.0000,666.6667,-0.0181
900.0000,888.8889,0.1150
900.0000,1111.1111,0.0491
900.0000,1333.3333,-0.1398
900.0000,1555.5556,-0.3648
900.0000,1777.7778,-0.3602
900.0000,2000.0000,-0.3602
1000.0000,0.0000,-1.2104
1000.0000,222.2222,-1.2939
1000.0000,444.4444,-1.1337
1000.0000,666.6667,-0.9471
1000.0000,888.8889,-0.8578
1000.0000,1111.1111,-0.8897
1000.0000,1333.3333,-0.9959
1000.0000,1555.5556,-1.0713
1000.0000,1777.7778,-0.9811
1000.0000,2000.0000,-0.9811
1100.0000,0.0000,-1.1874
1100.0000,222.2222,-1.3328
1100.0000,444.4444,-1.3348
1100.0000,666.6667,-1.2787
1100.0000,888.8889,-1.2527
1100.0000,1111.1111,-1.2609
1100.0000,1333.3333,-1.2536
1100.0000,1555.5556,-1.1950
1100.0000,1777.7778,-1.0505
1100.0000,2000.0000,-1.0505
1200.0000,0.0000,-0.9451
1200.0000,222.2222,-1.1053
1200.0000,444.4444,-1.2163
1200.0000,666.6667,-1.2566
1200.0000,888.8889,-1.2790
1200.0000,1111.1111,-1.2686
1200.0000,1333.3333,-1.1781
1200.0000,1555.5556,-1.0271
1200.0000,1777.7778,-0.8711
1200.0000,2000.0000,-0.8711
1300.0000,0.0000,-0.6230
1300.0000,222.2222,-0.7676
1300.0000,444.4444,-0.9278
1300.0000,666.6667,-1.0310
1300.0000,888.8889,-1.0828
1300.0000,1111.1111,-1.0623
1300.0000,1333.3333,-0.9332
1300.0000,1555.5556,-0.7436
1300.0000,1777.7778,-0.6019
1300.0000,2000.0000,-0.6019
1400.0000,0.0000,-0.2912
1400.0000,222.2222,-0.4102
1400.0000,444.4444,-0.5790
1400.0000,666.6667,-0.6914
1400.0000,888.8889,-0.7594
1400.0000,1111.1111,-0.7423
1400.0000,1333.3333,-0.5966
1400.0000,1555.5556,-0.4123
1400.0000,1777.7778,-0.3019
1400.0000,2000.0000,-0.3019
1500.0000,0.0000,-0.0458
1500.0000,222.2222,-0.1316
1500.0000,444.4444,-0.2761
1500.0000,666.6667,-0.3757
1500.0000,888.8889,-0.4427
1500.0000,1111.1111,-0.4303
1500.0000,1333.3333,-0.2977
1500.0000,1555.5556,-0.1426
1500.0000,1777.7778,-0.0665
1500.0000,2000.0000,-0.0665
1600.0000,0.0000,0.0570
1600.0000,222.2222,-0.0010
1600.0000,444.4444,-0.1169
1600.0000,666.6667,-0.1935
1600.0000,888.8889,-0.2489
1600.0000,1111.1111,-0.2391
1600.0000,1333.3333,-0.1273
1600.0000,1555.5556,-0.0025
1600.0000,1777.7778,0.0454
1600.0000,2000.0000,0.0454
1700.0000,0.0000,0.0669
1700.0000,222.2222,0.0227
1700.0000,444.4444,-0.0789
1700.0000,666.6667,-0.1324
1700.0000,888.8889,-0.1752
1700.0000,1111.1111,-0.1648
1700.0000,1333.3333,-0.0672
1700.0000,1555.5556,0.0360
1700.0000,1777.7778,0.0670
1700.0000,2000.0000,0.0670
1800.0000,0.0000,0.0862
1800.0000,222.2222,0.0581
1800.0000,444.4444,-0.0416
1800.0000,666.6667,-0.0864
1800.0000,888.8889,-0.1200
1800.0000,1111.1111,-0.1059
1800.0000,1333.3333,-0.0118
1800.0000,1555.5556,0.0830
1800.0000,1777.7778,0.1001
1800.0000,2000.0000,0.1001
1900.0000,0.0000,0.0874
1900.0000,222.2222,0.0671
1900.0000,444.4444,-0.0351
1900.0000,666.6667,-0.0872
1900.0000,888.8889,-0.1173
1900.0000,1111.1111,-0.1000
1900.0000,1333.3333,-0.0117
1900.0000,1555.5556,0.0789
1900.0000,1777.7778,0.0821
1900.0000,2000.0000,0.0821
2000.0000,0.0000,-0.1220
2000.0000,222.2222,-0.1382
2000.0000,444.4444,-0.2400
2000.0000,666.6667,-0.3246
2000.0000,888.8889,-0.3414
2000.0000,1111.1111,-0.2993
2000.0000,1333.3333,-0.2292
2000.0000,1555.5556,-0.1149
2000.0000,1777.7778,-0.0917
2000.0000,2000.0000,-0.0917
2100.0000,0.0000,-0.5395
2100.0000,222.2222,-0.5303
2100.0000,444.4444,-0.6097
2100.0000,666.6667,-0.7189
2100.0000,888.8889,-0.7182
2100.0000,1111.1111,-0.6507
2100.0000,1333.3333,-0.5580
2100.0000,1555.5556,-0.4322
2100.0000,1777.7778,-0.4040
2100.0000,2000.0000,-0.4040
2200.0000,0.0000,-0.1796
2200.0000,222.2222,-0.1971
2200.0000,444.4444,-0.3287
2200.0000,666.6667,-0.4495
2200.0000,888.8889,-0.4749
2200.0000,1111.1111,-0.4355
2200.0000,1333.3333,-0.3306
2200.0000,1555.5556,-0.2269
2200.0000,1777.7778,-0.2269
2200.0000,2000.0000,-0.2269
2300.0000,0.0000,0.1253
2300.0000,222.2222,0.1222
2300.0000,444.4444,-0.0246
2300.0000,666.6667,-0.1999
2300.0000,888.8889,-0.2386
2300.0000,1111.1111,-0.2076
2300.0000,1333.3333,-0.1250
2300.0000,1555.5556,-0.0228
2300.0000,1777.7778,-0.0449
2300.0000,2000.0000,-0.0449
2400.0000,0.0000,0.2004
2400.0000,222.2222,0.2013
2400.0000,444.4444,0.0506
2400.0000,666.6667,-0.1061
2400.0000,888.8889,-0.1686
2400.0000,1111.1111,-0.1487
2400.0000,1333.3333,-0.0394
2400.0000,1555.5556,0.0445
2400.0000,1777.7778,-0.0081
2400.0000,2000.0000,-0.0081
2500.0000,0.0000,-0.3082
2500.0000,222.2222,-0.2977
2500.0000,444.4444,-0.4020
2500.0000,666.6667,-0.5046
2500.0000,888.8889,-0.5608
2500.0000,1111.1111,-0.5257
2500.0000,1333.3333,-0.3795
2500.0000,1555.5556,-0.3013
2500.0000,1777.7778,-0.3390
2500.0000,2000.0000,-0.3390
2600.0000,0.0000,-0.6712
2600.0000,222.2222,-0.6435
2600.0000,444.4444,-0.6803
2600.0000,666.6667,-0.7778
