y,x,val
0.0000,0.0000,1515.1823
0.0000,222.2222,1516.0266
0.0000,444.4444,1517.1363
0.0000,666.6667,1518.1794
0.0000,888.8889,1518.8203
0.0000,1111.1111,1518.4895
0.0000,1333.3333,1517.7182
0.0000,1555.5556,1516.6884
0.0000,1777.7778,1515.9286
0.0000,2000.0000,1515.9286
100.0000,0.0000,1513.7614
100.0000,222.2222,1514.5108
100.0000,444.4444,1515.5873
100.0000,666.6667,1516.5291
100.0000,888.8889,1517.2749
100.0000,1111.1111,1516.8364
100.0000,1333.3333,1516.1685
100.0000,1555.5556,1515.1324
100.0000,1777.7778,1514.5185
100.0000,2000.0000,1514.5185
200.0000,0.0000,1510.4802
200.0000,222.2222,1511.0055
200.0000,444.4444,1511.9340
200.0000,666.6667,1512.6055
200.0000,888.8889,1513.2647
200.0000,1111.1111,1512.8731
200.0000,1333.3333,1512.4467
200.0000,1555.5556,1511.5744
200.0000,1777.7778,1511.2041
200.0000,2000.0000,1511.2041
300.0000,0.0000,1505.8589
300.0000,222.2222,1506.0997
300.0000,444.4444,1506.7310
300.0000,666.6667,1507.0671
300.0000,888.8889,1507.5486
300.0000,1111.1111,1507.2821
300.0000,1333.3333,1507.1645
300.0000,1555.5556,1506.5988
300.0000,1777.7778,1506.5249
300.0000,2000.0000,1506.5249
400.0000,0.0000,1500.4917
400.0000,222.2222,1500.4238
400.0000,444.4444,1500.6826
400.0000,666.6667,1500.6116
400.0000,888.8889,1500.8094
400.0000,1111.1111,1500.7663
400.0000,1333.3333,1501.0376
400.0000,1555.5556,1500.8539
400.0000,1777.7778,1501.0986
400.0000,2000.0000,1501.0986
500.0000,0.0000,1494.9990
500.0000,222.2222,1494.6470
500.0000,444.4444,1494.5501
500.0000,666.6667,1494.0593
500.0000,888.8889,1493.8045
500.0000,1111.1111,1494.1411
500.0000,1333.3333,1494.8354
500.0000,1555.5556,1495.0288
500.0000,1777.7778,1495.5670
500.0000,2000.0000,1495.5670
600.0000,0.0000,1489.9418
600.0000,222.2222,1489.3809
600.0000,444.4444,1489.0643
600.0000,666.6667,1488.4018
600.0000,888.8889,1487.7990
600.0000,1111.1111,1488.3960
600.0000,1333.3333,1489.3103
600.0000,1555.5556,1489.7593
600.0000,1777.7778,1490.5093
600.0000,2000.0000,1490.5093
700.0000,0.0000,1485.7444
700.0000,222.2222,1485.0513
700.0000,444.4444,1484.5972
700.0000,666.6667,1483.9169
700.0000,888.8889,1483.2217
700.0000,1111.1111,1483.9018
700.0000,1333.3333,1484.8878
700.0000,1555.5556,1485.4842
700.0000,1777.7778,1486.3564
700.0000,2000.0000,1486.3564
800.0000,0.0000,1482.6782
800.0000,222.2222,1481.9683
800.0000,444.4444,1481.5214
800.0000,666.6667,1480.9283
800.0000,888.8889,1480.2782
800.0000,1111.1111,1480.9515
800.0000,1333.3333,1481.8988
800.0000,1555.5556,1482.5030
800.0000,1777.7778,1483.3844
800.0000,2000.0000,1483.3844
900.0000,0.0000,1480.8140
900.0000,222.2222,1480.1803
900.0000,444.4444,1479.8801
900.0000,666.6667,1479.5075
900.0000,888.8889,1479.0183
900.0000,1111.1111,1479.5973
900.0000,1333.3333,1480.3770
900.0000,1555.5556,1480.8528
900.0000,1777.7778,1481.6502
900.0000,2000.0000,1481.6502
1000.0000,0.0000,1480.0632
1000.0000,222.2222,1479.5642
1000.0000,444.4444,1479.4957
1000.0000,666.6667,1479.4615
1000.0000,888.8889,1479.2744
1000.0000,1111.1111,1479.6371
1000.0000,1333.3333,1480.1372
1000.0000,1555.5556,1480.3962
1000.0000,1777.7778,1481.0422
1000.0000,2000.0000,1481.0422
1100.0000,0.0000,1480.2288
