y,0,1,2,3,4,5,6,7,8
50.0,-1.7928,-1.0408,-0.2375,0.2665,0.6698,0.4799,-0.227,-0.8354,-1.5393
150.0,0.341,1.1398,1.928,2.4217,2.9909,2.7772,2.1248,1.6832,1.0947
250.0,-0.8709,-0.3447,0.2389,0.5803,1.0313,0.7958,0.388,0.0088,-0.45
350.0,-2.2322,-2.0829,-1.8361,-1.676,-1.4562,-1.6969,-1.8147,-2.0845,-2.3977
450.0,-0.8018,-1.0152,-1.1586,-1.3898,-1.441,-1.6163,-1.5819,-1.6637,-1.8076
550.0,2.346,1.9285,1.5159,0.8857,0.5848,0.6849,0.898,1.11,1.2034
650.0,4.3767,3.8437,3.293,2.5455,2.0988,2.4503,2.8499,3.3015,3.6291
750.0,4.0508,3.4809,2.8879,2.2515,1.8015,2.2728,2.8814,3.4985,3.9933
850.0,2.1777,1.6154,1.0513,0.5094,0.0885,0.5591,1.1981,1.8288,2.37
950.0,0.5224,0.0167,-0.4407,-0.8257,-1.1711,-0.7967,-0.2726,0.2463,0.7379
1050.0,-0.462,-0.8407,-1.1076,-1.2853,-1.4433,-1.2409,-0.9541,-0.5951,-0.1903
1150.0,-0.9791,-1.2267,-1.3041,-1.2623,-1.255,-1.2309,-1.1503,-0.9752,-0.6876
1250.0,-1.2122,-1.3436,-1.2608,-1.0537,-0.9543,-1.0273,-1.0972,-1.0669,-0.8815
1350.0,-1.2271,-1.2689,-1.077,-0.7789,-0.6345,-0.7523,-0.9157,-0.9818,-0.8728
1450.0,-1.0856,-1.07,-0.8232,-0.4741,-0.3216,-0.4568,-0.6505,-0.771,-0.7167
1550.0,-0.9009,-0.8508,-0.584,-0.2307,-0.0951,-0.217,-0.4104,-0.5473,-0.5228
1650.0,-0.7863,-0.7202,-0.4547,-0.1158,0.0001,-0.0994,-0.2778,-0.4077,-0.3953
1750.0,-0.737,-0.6716,-0.4186,-0.0887,0.0188,-0.0663,-0.2282,-0.3439,-0.3373
1850.0,-0.6553,-0.5847,-0.3515,-0.0353,0.0685,-0.0085,-0.1563,-0.259,-0.2614
1950.0,-0.5735,-0.5028,-0.2879,0.0075,0.1078,0.0296,-0.1189,-0.217,-0.2311
2050.0,-0.6894,-0.621,-0.4188,-0.1641,-0.0564,-0.1162,-0.2841,-0.3559,-0.3509
2150.0,-1.0095,-0.9198,-0.7088,-0.4832,-0.362,-0.4008,-0.5463,-0.6032,-0.6021
2250.0,-0.5553,-0.5031,-0.3565,-0.1391,-0.047,-0.1166,-0.251,-0.33,-0.368
2350.0,-0.1326,-0.0851,0.02,0.1787,0.2569,0.1752,0.0153,-0.0656,-0.1258
2450.0,0.1078,0.1327,0.197,0.3537,0.4063,0.3099,0.18,0.0882,0.0073
2550.0,-0.1699,-0.1484,-0.0897,0.0721,0.1204,0.0475,-0.0217,-0.1027,-0.1731
2650.0,-0.2914,-0.2637,-0.1996,-0.0953,-0.0386,-0.0845,-0.1528,-0.2133,-0.2669
2750.0,-0.0719,-0.0591,-0.0143,0.0322,0.0691,0.0103,-0.084,-0.1451,-0.2091
2850.0,-0.1938,-0.1948,-0.157,-0.137,-0.1199,-0.1775,-0.2725,-0.3402,-0.4013
2950.0,-0.1662,-0.2076,-0.2139,-0.1787,-0.2038,-0.2882,-0.361,-0.4527,-0.5371
3050.0,0.0492,-0.0282,-0.0804,-0.0822,-0.145,-0.2477,-0.351,-0.4575,-0.5623
3150.0,0.3921,0.2613,0.1334,0.1435,0.0145,-0.1289,-0.1977,-0.3263,-0.4724
3250.0,0.621,0.4551,0.2858,0.281,0.0954,-0.0613,-0.114,-0.2602,-0.4274
3350.0,0.8578,0.6749,0.4811,0.4408,0.2328,0.0686,0.0064,-0.1377,-0.3034
3450.0,0.7575,0.5709,0.3613,0.325,0.132,-0.0266,-0.0392,-0.1483,-0.2856
3550.0,0.6683,0.4615,0.1881,0.1748,-0.0349,-0.2132,-0.0747,-0.1591,-0.303
3650.0,0.6515,0.455,0.1696,0.0918,-0.1388,-0.2775,-0.0355,-0.0865,-0.211
3750.0,0.7589,0.5735,0.2789,0.1264,-0.1028,-0.1956,0.0771,0.0757,-0.014
3850.0,0.7139,0.5292,0.2244,0.0249,-0.2181,-0.2531,0.0846,0.1322,0.0784
3950.0,0.7228,0.5538,0.2423,-0.0063,-0.2687,-0.2149,0.1719,0.2827,0.2706
4050.0,0.8048,0.6709,0.3753,0.1154,-0.135,-0.0137,0.3841,0.5426,0.5542
4150.0,0.8177,0.7254,0.4831,0.2566,0.0675,0.225,0.5842,0.7671,0.8065
4250.0,0.8232,0.7823,0.6171,0.4528,0.3319,0.5059,0.8081,0.9804,1.0277
4350.0,0.7943,0.8106,0.7338,0.6714,0.6234,0.7835,1.0217,1.145,1.1737
4450.0,0.5861,0.6737,0.7105,0.7375,0.8023,0.9403,1.0376,1.1088,1.1356
4550.0,0.2134,0.3486,0.485,0.6317,0.7794,0.8784,0.8835,0.887,0.8914
4650.0,-0.3972,-0.2169,-0.0038,0.2171,0.4198,0.5026,0.4411,0.3986,0.3774
4750.0,-1.2844,-1.0779,-0.8227,-0.5567,-0.3306,-0.2572,-0.3447,-0.4205,-0.4712
4850.0,-2.5143,-2.296,-2.0206,-1.7528,-1.5156,-1.5079,-1.5359,-1.625,-1.6919
4950.0,-4.1395,-3.9566,-3.7127,-3.4285,-3.2332,-3.1775,-3.2024,-3.306,-3.3208
