y,x,val
0.0000,0.0000,-23.4202
0.0000,222.2222,-23.5943
0.0000,444.4444,-23.6642
0.0000,666.6667,-23.8549
0.0000,888.8889,-23.6636
0.0000,1111.1111,-23.3292
0.0000,1333.3333,-23.0726
0.0000,1555.5556,-22.7198
0.0000,1777.7778,-22.4836
0.0000,2000.0000,-22.4836
100.0000,0.0000,-19.7583
100.0000,222.2222,-19.8406
100.0000,444.4444,-19.8544
100.0000,666.6667,-20.0508
100.0000,888.8889,-19.7796
100.0000,1111.1111,-19.4430
100.0000,1333.3333,-19.1395
100.0000,1555.5556,-18.7129
100.0000,1777.7778,-18.3861
100.0000,2000.0000,-18.3861
200.0000,0.0000,-17.5955
200.0000,222.2222,-17.7462
200.0000,444.4444,-17.8056
200.0000,666.6667,-18.0088
200.0000,888.8889,-17.8531
200.0000,1111.1111,-17.6400
200.0000,1333.3333,-17.2964
200.0000,1555.5556,-16.9876
200.0000,1777.7778,-16.7250
200.0000,2000.0000,-16.7250
300.0000,0.0000,-14.3434
300.0000,222.2222,-14.6067
300.0000,444.4444,-14.7571
300.0000,666.6667,-14.9292
300.0000,888.8889,-14.9422
300.0000,1111.1111,-14.9014
300.0000,1333.3333,-14.5749
300.0000,1555.5556,-14.4304
300.0000,1777.7778,-14.2816
300.0000,2000.0000,-14.2816
400.0000,0.0000,-7.7093
400.0000,222.2222,-8.0571
400.0000,444.4444,-8.3035
400.0000,666.6667,-8.5864
400.0000,888.8889,-8.7271
400.0000,1111.1111,-8.8414
400.0000,1333.3333,-8.7377
400.0000,1555.5556,-8.7501
400.0000,1777.7778,-8.7202
400.0000,2000.0000,-8.7202
500.0000,0.0000,0.6078
500.0000,222.2222,0.3055
500.0000,444.4444,0.0740
500.0000,666.6667,-0.2955
500.0000,888.8889,-0.4339
500.0000,1111.1111,-0.5991
500.0000,1333.3333,-0.6997
500.0000,1555.5556,-0.7583
500.0000,1777.7778,-0.7582
500.0000,2000.0000,-0.7582
600.0000,0.0000,7.2400
600.0000,222.2222,6.9991
600.0000,444.4444,6.8153
600.0000,666.6667,6.5091
600.0000,888.8889,6.4141
600.0000,1111.1111,6.2558
600.0000,1333.3333,6.1076
600.0000,1555.5556,6.0400
600.0000,1777.7778,6.0770
600.0000,2000.0000,6.0770
700.0000,0.0000,10.5657
700.0000,222.2222,10.3873
700.0000,444.4444,10.2575
700.0000,666.6667,10.1381
700.0000,888.8889,10.1053
700.0000,1111.1111,9.9739
700.0000,1333.3333,9.9193
700.0000,1555.5556,9.8485
700.0000,1777.7778,9.9385
700.0000,2000.0000,9.9385
800.0000,0.0000,11.1704
800.0000,222.2222,11.0144
800.0000,444.4444,10.9090
800.0000,666.6667,10.8652
800.0000,888.8889,10.8589
800.0000,1111.1111,10.7358
800.0000,1333.3333,10.7218
800.0000,1555.5556,10.6085
800.0000,1777.7778,10.7007
800.0000,2000.0000,10.7007
900.0000,0.0000,10.7617
900.0000,222.2222,10.6009
900.0000,444.4444,10.5011
900.0000,666.6667,10.4977
900.0000,888.8889,10.5021
900.0000,1111.1111,10.3741
900.0000,1333.3333,10.3635
900.0000,1555.5556,10.2025
900.0000,1777.7778,10.2766
900.0000,2000.0000,10.2766
1000.0000,0.0000,9.8838
1000.0000,222.2222,9.7326
1000.0000,444.4444,9.6515
1000.0000,666.6667,9.6557
1000.0000,888.8889,9.7044
1000.0000,1111.1111,9.5962
1000.0000,1333.3333,9.5626
1000.0000,1555.5556,9.3882
1000.0000,1777.7778,9.4569
1000.0000,2000.0000,9.4569
1100.0000,0.0000,8.5365
1100.0000,222.2222,8.3788
1100.0000,444.4444,8.3009
1100.0000,666.6667,8.3274
1100.0000,888.8889,8.4130
1100.0000,1111.1111,8.3314
1100.0000,1333.3333,8.3213
1100.0000,1555.5556,8.1346
1100.0000,1777.7778,8.1686
1100.0000,2000.0000,8.1686
1200.0000,0.0000,6.7989
1200.0000,222.2222,6.6365
1200.0000,444.4444,6.5600
1200.0000,666.6667,6.6144
1200.0000,888.8889,6.7412
1200.0000,1111.1111,6.7017
1200.0000,1333.3333,6.7364
1200.0000,1555.5556,6.5809
1200.0000,1777.7778,6.5699
1200.0000,2000.0000,6.5699
1300.0000,0.0000,4.8727
1300.0000,222.2222,4.6996
1300.0000,444.4444,4.6354
1300.0000,666.6667,4.7130
1300.0000,888.8889,4.8819
1300.0000,1111.1111,4.8854
1300.0000,1333.3333,4.9479
1300.0000,1555.5556,4.8012
1300.0000,1777.7778,4.7765
1300.0000,2000.0000,4.7765
1400.0000,0.0000,3.0007
1400.0000,222.2222,2.8025
1400.0000,444.4444,2.7460
