y,0,1,2,3,4,5,6,7,8
50.0,-23.4202,-23.5943,-23.6642,-23.8549,-23.6636,-23.3292,-23.0726,-22.7198,-22.4836
150.0,-19.7583,-19.8406,-19.8544,-20.0508,-19.7796,-19.443,-19.1395,-18.7129,-18.3861
250.0,-17.5955,-17.7462,-17.8056,-18.0088,-17.8531,-17.64,-17.2964,-16.9876,-16.725
350.0,-14.3434,-14.6067,-14.7571,-14.9292,-14.9422,-14.9014,-14.5749,-14.4304,-14.2816
450.0,-7.7093,-8.0571,-8.3035,-8.5864,-8.7271,-8.8414,-8.7377,-8.7501,-8.7202
550.0,0.6078,0.3055,0.074,-0.2955,-0.4339,-0.5991,-0.6997,-0.7583,-0.7582
650.0,7.24,6.9991,6.8153,6.5091,6.4141,6.2558,6.1076,6.04,6.077
750.0,10.5657,10.3873,10.2575,10.1381,10.1053,9.9739,9.9193,9.8485,9.9385
850.0,11.1704,11.0144,10.909,10.8652,10.8589,10.7358,10.7218,10.6085,10.7007
950.0,10.7617,10.6009,10.5011,10.4977,10.5021,10.3741,10.3635,10.2025,10.2766
1050.0,9.8838,9.7326,9.6515,9.6557,9.7044,9.5962,9.5626,9.3882,9.4569
1150.0,8.5365,8.3788,8.3009,8.3274,8.413,8.3314,8.3213,8.1346,8.1686
1250.0,6.7989,6.6365,6.56,6.6144,6.7412,6.7017,6.7364,6.5809,6.5699
1350.0,4.8727,4.6996,4.6354,4.713,4.8819,4.8854,4.9479,4.8012,4.7765
1450.0,3.0007,2.8025,2.746,2.8622,3.0674,3.1058,3.1938,3.0443,3.0296
1550.0,1.3357,1.1146,1.0734,1.2224,1.4638,1.5402,1.63,1.4636,1.4673
1650.0,-0.0041,-0.2235,-0.2242,-0.0394,0.2311,0.3366,0.4123,0.1872,0.1925
1750.0,-0.8305,-0.9561,-0.854,-0.6163,-0.3203,-0.2111,-0.1783,-0.5617,-0.6416
1850.0,-1.1663,-1.1994,-0.9787,-0.6688,-0.3521,-0.2818,-0.3627,-0.9293,-1.0766
1950.0,-1.1389,-1.0895,-0.7722,-0.4037,-0.0793,-0.0771,-0.3109,-1.0393,-1.2668
2050.0,-1.0628,-0.9426,-0.5427,-0.1453,0.1894,0.1315,-0.3034,-1.1529,-1.4074
2150.0,-1.0629,-0.8616,-0.3704,0.0612,0.3984,0.2781,-0.3782,-1.3114,-1.5453
2250.0,-0.2696,-0.0598,0.4284,0.9083,1.1636,0.8819,0.0384,-0.8888,-1.0689
2350.0,0.4137,0.6365,1.1102,1.5808,1.7856,1.3915,0.4454,-0.3933,-0.498
2450.0,0.8067,1.0175,1.4722,1.9693,2.1163,1.6173,0.6863,-0.0083,-0.0484
2550.0,0.5576,0.7686,1.2351,1.7677,1.8867,1.2759,0.3893,-0.0601,0.0362
2650.0,0.3346,0.5393,1.0082,1.5179,1.6595,0.885,0.0422,-0.0569,0.1936
2750.0,0.335,0.4959,0.8893,1.3015,1.3855,0.5054,-0.119,0.1541,0.5105
2850.0,-0.1078,-0.0014,0.3154,0.6299,0.6418,-0.2184,-0.5837,0.0055,0.5199
2950.0,-0.4533,-0.4307,-0.229,0.0171,-0.0835,-0.923,-0.9968,-0.1658,0.4756
3050.0,-0.5998,-0.6533,-0.563,-0.438,-0.6889,-1.4822,-1.2801,-0.2207,0.4941
3150.0,-0.5409,-0.6856,-0.7359,-0.6626,-1.186,-1.9403,-1.3461,-0.0705,0.6183
3250.0,-0.4465,-0.6753,-0.8787,-0.965,-1.7105,-2.2406,-1.286,0.0675,0.6744
3350.0,-0.09,-0.3897,-0.7347,-1.0113,-1.8742,-2.2371,-1.0993,0.2811,0.8276
3450.0,0.3221,0.0282,-0.4482,-0.9177,-1.9046,-2.1917,-0.9545,0.4116,0.9238
3550.0,1.048,0.7765,0.1138,-0.5924,-1.7558,-2.0015,-0.5993,0.6762,1.0916
3650.0,1.9799,1.8122,1.0102,-0.137,-1.4464,-1.5059,0.0368,1.1337,1.4392
3750.0,2.9488,2.8699,1.9503,0.4495,-0.7697,-0.6031,0.8379,1.653,1.8742
3850.0,3.6322,3.607,2.6032,0.9511,-0.1668,0.1471,1.4789,2.053,2.1695
3950.0,4.1318,4.2043,3.123,1.3924,0.4448,0.9198,2.0707,2.4266,2.4472
4050.0,4.2938,4.5621,3.4015,1.6567,1.0188,1.7316,2.5645,2.6755,2.6097
4150.0,3.7449,4.1158,3.1194,1.7607,1.5406,2.3109,2.7075,2.6057,2.4955
4250.0,2.7453,3.1913,2.5032,1.6242,1.7887,2.5573,2.6217,2.2968,2.1237
4350.0,1.4165,1.8684,1.5563,1.2601,1.8006,2.4888,2.2828,1.7324,1.4828
4450.0,-0.253,0.0588,0.2167,0.6089,1.569,2.0525,1.5468,0.8189,0.5348
4550.0,-2.1696,-2.0456,-1.3645,-0.2373,0.963,1.1534,0.5275,-0.2708,-0.5919
4650.0,-4.1588,-4.0612,-3.0436,-1.4847,-0.1173,-0.0374,-0.7357,-1.5527,-1.88
4750.0,-6.0738,-5.9509,-4.7713,-3.0229,-1.5821,-1.5139,-2.2009,-2.9964,-3.3158
4850.0,-7.8884,-7.7135,-6.5036,-4.7837,-3.3736,-3.3251,-3.8629,-4.5782,-4.8684
4950.0,-9.6393,-9.3711,-8.2833,-6.7479,-5.554,-5.3535,-5.7421,-6.3283,-6.5282
