y,x,val
0.0000,0.0000,1488.6519
0.0000,222.2222,1488.6825
0.0000,444.4444,1488.7915
0.0000,666.6667,1488.9357
0.0000,888.8889,1489.0652
0.0000,1111.1111,1489.1724
0.0000,1333.3333,1489.2687
0.0000,1555.5556,1489.3427
0.0000,1777.7778,1489.3906
0.0000,2000.0000,1489.3906
100.0000,0.0000,1488.6695
100.0000,222.2222,1488.6991
100.0000,444.4444,1488.8175
100.0000,666.6667,1488.9759
100.0000,888.8889,1489.1080
100.0000,1111.1111,1489.2125
100.0000,1333.3333,1489.3135
100.0000,1555.5556,1489.3921
100.0000,1777.7778,1489.4448
100.0000,2000.0000,1489.4448
200.0000,0.0000,1488.7611
200.0000,222.2222,1488.7905
200.0000,444.4444,1488.9095
200.0000,666.6667,1489.0731
200.0000,888.8889,1489.2071
200.0000,1111.1111,1489.3118
200.0000,1333.3333,1489.4164
200.0000,1555.5556,1489.5011
200.0000,1777.7778,1489.5568
200.0000,2000.0000,1489.5568
300.0000,0.0000,1488.9221
300.0000,222.2222,1488.9502
300.0000,444.4444,1489.0622
300.0000,666.6667,1489.2265
300.0000,888.8889,1489.3611
300.0000,1111.1111,1489.4664
300.0000,1333.3333,1489.5737
300.0000,1555.5556,1489.6658
300.0000,1777.7778,1489.7238
300.0000,2000.0000,1489.7238
400.0000,0.0000,1489.1477
400.0000,222.2222,1489.1767
400.0000,444.4444,1489.2787
400.0000,666.6667,1489.4370
400.0000,888.8889,1489.5691
400.0000,1111.1111,1489.6748
400.0000,1333.3333,1489.7860
400.0000,1555.5556,1489.8846
400.0000,1777.7778,1489.9425
400.0000,2000.0000,1489.9425
500.0000,0.0000,1489.4274
500.0000,222.2222,1489.4558
500.0000,444.4444,1489.5492
500.0000,666.6667,1489.6989
500.0000,888.8889,1489.8264
500.0000,1111.1111,1489.9317
500.0000,1333.3333,1490.0460
500.0000,1555.5556,1490.1486
500.0000,1777.7778,1490.2066
500.0000,2000.0000,1490.2066
600.0000,0.0000,1489.7539
600.0000,222.2222,1489.7807
600.0000,444.4444,1489.8660
600.0000,666.6667,1490.0053
600.0000,888.8889,1490.1273
600.0000,1111.1111,1490.2313
600.0000,1333.3333,1490.3479
600.0000,1555.5556,1490.4530
600.0000,1777.7778,1490.5108
600.0000,2000.0000,1490.5108
700.0000,0.0000,1490.1217
700.0000,222.2222,1490.1475
700.0000,444.4444,1490.2252
700.0000,666.6667,1490.3512
700.0000,888.8889,1490.4677
700.0000,1111.1111,1490.5694
700.0000,1333.3333,1490.6879
700.0000,1555.5556,1490.7940
700.0000,1777.7778,1490.8511
700.0000,2000.0000,1490.8511
800.0000,0.0000,1490.5257
800.0000,222.2222,1490.5518
800.0000,444.4444,1490.6253
800.0000,666.6667,1490.7388
800.0000,888.8889,1490.8470
800.0000,1111.1111,1490.9449
800.0000,1333.3333,1491.0634
800.0000,1555.5556,1491.1682
800.0000,1777.7778,1491.2236
800.0000,2000.0000,1491.2236
900.0000,0.0000,1490.9591
900.0000,222.2222,1490.9856
900.0000,444.4444,1491.0549
900.0000,666.6667,1491.1591
900.0000,888.8889,1491.2591
