y,0,1,2,3,4,5,6,7,8
50.0,1488.6519,1488.6825,1488.7915,1488.9357,1489.0652,1489.1724,1489.2687,1489.3427,1489.3906
150.0,1488.6695,1488.6991,1488.8175,1488.9759,1489.108,1489.2125,1489.3135,1489.3921,1489.4448
250.0,1488.7611,1488.7905,1488.9095,1489.0731,1489.2071,1489.3118,1489.4164,1489.5011,1489.5568
350.0,1488.9221,1488.9502,1489.0622,1489.2265,1489.3611,1489.4664,1489.5737,1489.6658,1489.7238
450.0,1489.1477,1489.1767,1489.2787,1489.437,1489.5691,1489.6748,1489.786,1489.8846,1489.9425
550.0,1489.4274,1489.4558,1489.5492,1489.6989,1489.8264,1489.9317,1490.046,1490.1486,1490.2066
650.0,1489.7539,1489.7807,1489.866,1490.0053,1490.1273,1490.2313,1490.3479,1490.453,1490.5108
750.0,1490.1217,1490.1475,1490.2252,1490.3512,1490.4677,1490.5694,1490.6879,1490.794,1490.8511
850.0,1490.5257,1490.5518,1490.6253,1490.7388,1490.847,1490.9449,1491.0634,1491.1682,1491.2236
950.0,1490.9591,1490.9856,1491.0549,1491.1591,1491.2591,1491.3517,1491.4678,1491.5704,1491.6238
1050.0,1491.4163,1491.4427,1491.5082,1491.6051,1491.6973,1491.7839,1491.8963,1491.9964,1492.0477
1150.0,1491.8931,1491.9194,1491.9813,1492.0719,1492.1565,1492.2366,1492.3452,1492.4429,1492.4919
1250.0,1492.3867,1492.4132,1492.4715,1492.5565,1492.6334,1492.7066,1492.812,1492.908,1492.9539
1350.0,1492.8962,1492.9221,1492.9773,1493.0569,1493.1271,1493.1944,1493.2959,1493.3891,1493.4327
1450.0,1493.4254,1493.4496,1493.5012,1493.5753,1493.6394,1493.7022,1493.8006,1493.8912,1493.9344
1550.0,1493.9794,1494.0011,1494.0487,1494.1168,1494.1749,1494.235,1494.3319,1494.4208,1494.4644
1650.0,1494.564,1494.5832,1494.6275,1494.689,1494.7404,1494.8004,1494.8979,1494.9849,1495.0287
1750.0,1495.1871,1495.2039,1495.2471,1495.3024,1495.3476,1495.408,1495.5064,1495.5889,1495.6319
1850.0,1495.8568,1495.8703,1495.9141,1495.9667,1496.0078,1496.0657,1496.1602,1496.2358,1496.2797
