y,0,1,2,3,4,5,6,7,8
50.0,-27.9142,-27.9457,-27.8402,-27.9488,-27.8484,-27.7362,-27.894,-27.8412,-27.7812
150.0,-24.3341,-24.2514,-24.0733,-24.1687,-23.9823,-23.8198,-23.9738,-23.8337,-23.7194
250.0,-22.2136,-22.2055,-22.0797,-22.1717,-22.072,-21.9733,-22.0473,-21.9955,-21.9475
350.0,-18.9104,-19.0316,-19.0126,-19.0663,-19.1016,-19.1092,-19.1141,-19.1839,-19.237
450.0,-12.0805,-12.3003,-12.3961,-12.564,-12.7019,-12.8118,-12.9394,-13.0965,-13.2428
550.0,-3.388,-3.5732,-3.6691,-3.9334,-4.0442,-4.1494,-4.3936,-4.5227,-4.6697
650.0,3.8202,3.6925,3.6367,3.4241,3.3742,3.325,3.1112,3.0489,2.9624
750.0,7.9255,7.8607,7.8521,7.8138,7.8359,7.8498,7.7962,7.8146,7.7938
850.0,9.5011,9.4642,9.4758,9.4981,9.5426,9.5805,9.6046,9.6538,9.659
950.0,10.227,10.1947,10.2078,10.2544,10.2949,10.3332,10.3885,10.4389,10.4473
1050.0,10.6059,10.5963,10.626,10.6632,10.7204,10.7739,10.8213,10.8915,10.917
1150.0,10.5813,10.5814,10.6166,10.6627,10.7207,10.7753,10.8384,10.9114,10.939
1250.0,10.1606,10.1712,10.2108,10.2673,10.328,10.3842,10.4596,10.5413,10.573
1350.0,9.4586,9.4783,9.5252,9.5804,9.6441,9.7036,9.7823,9.8695,9.9068
1450.0,8.5913,8.612,8.6584,8.7235,8.7839,8.8412,8.9323,9.0197,9.0587
1550.0,7.5782,7.5996,7.6451,7.71,7.7672,7.8255,7.9196,8.008,8.0499
1650.0,6.3995,6.4197,6.4649,6.5248,6.578,6.6393,6.7342,6.8232,6.8683
1750.0,5.1223,5.1391,5.1847,5.238,5.2841,5.3471,5.4436,5.5277,5.5733
1850.0,3.8782,3.8923,3.9388,3.9882,4.0295,4.0894,4.1809,4.2563,4.301
1950.0,2.6956,2.7046,2.7475,2.785,2.819,2.8689,2.9416,3.0052,3.0435
2050.0,1.4202,1.4244,1.4693,1.4759,1.5139,1.5712,1.6041,1.678,1.7382
2150.0,0.0744,0.0994,0.1743,0.1666,0.2136,0.278,0.3088,0.3765,0.4342
2250.0,-0.3475,-0.3557,-0.3196,-0.3147,-0.3033,-0.2849,-0.272,-0.2494,-0.2324
2350.0,-0.6592,-0.6748,-0.6582,-0.6808,-0.6791,-0.6897,-0.7334,-0.7323,-0.7381
2450.0,-0.9955,-1.0299,-1.0326,-1.0285,-1.046,-1.0878,-1.1278,-1.1561,-1.1869
2550.0,-1.6855,-1.7151,-1.7014,-1.6597,-1.6727,-1.7098,-1.7155,-1.7516,-1.7782
2650.0,-2.0586,-2.0731,-2.0373,-2.0158,-2.0087,-2.0373,-2.0701,-2.0995,-2.1143
2750.0,-1.9383,-1.9606,-1.9411,-1.9511,-1.9484,-1.9987,-2.0724,-2.1068,-2.1362
2850.0,-2.0162,-2.0452,-2.0251,-2.0453,-2.0507,-2.101,-2.182,-2.2272,-2.2592
2950.0,-1.8136,-1.8724,-1.8832,-1.8751,-1.9105,-1.9896,-2.0525,-2.1289,-2.1917
3050.0,-1.3111,-1.391,-1.426,-1.4435,-1.5031,-1.6088,-1.7028,-1.806,-1.8989
3150.0,-0.5953,-0.7122,-0.7873,-0.7762,-0.8855,-1.0369,-1.1056,-1.2558,-1.4002
3250.0,0.0625,-0.0813,-0.1734,-0.1585,-0.3065,-0.4712,-0.5352,-0.7141,-0.8835
3350.0,0.7602,0.6116,0.517,0.5162,0.3543,0.1888,0.1071,-0.0802,-0.2564
3450.0,1.1273,0.9924,0.9108,0.9427,0.7917,0.6464,0.5983,0.4284,0.267
3550.0,1.4819,1.3462,1.241,1.358,1.197,1.0307,1.0849,0.9105,0.7257
3650.0,1.852,1.7385,1.6522,1.7755,1.623,1.4754,1.5703,1.4078,1.2296
3750.0,2.2626,2.1753,2.1056,2.2021,2.0725,1.9514,2.0369,1.9048,1.742
3850.0,2.3884,2.3172,2.2646,2.3582,2.2433,2.1485,2.2585,2.1482,2.0018
3950.0,2.3978,2.3494,2.3095,2.3966,2.3078,2.2457,2.3645,2.2911,2.1724
4050.0,2.2894,2.2648,2.2315,2.3145,2.254,2.2207,2.3508,2.3174,2.2216
4150.0,1.925,1.9208,1.8993,1.9762,1.9492,1.9511,2.0859,2.0922,2.029
4250.0,1.3708,1.3797,1.3688,1.4384,1.4374,1.4699,1.6039,1.642,1.6095
4350.0,0.6402,0.6536,0.642,0.7166,0.7292,0.7762,0.9257,0.979,0.9623
4450.0,-0.3457,-0.3188,-0.3214,-0.2779,-0.2361,-0.1621,-0.0453,0.0334,0.0482
4550.0,-1.4974,-1.4713,-1.4711,-1.4254,-1.3707,-1.2867,-1.1753,-1.0941,-1.0658
4650.0,-2.8184,-2.7885,-2.7822,-2.7416,-2.6756,-2.5835,-2.4849,-2.3992,-2.3625
4750.0,-4.2834,-4.2541,-4.2456,-4.2019,-4.1347,-4.0443,-3.9483,-3.8682,-3.8357
4850.0,-5.9095,-5.8757,-5.8558,-5.821,-5.7454,-5.7223,-5.5721,-5.4998,-5.4694
4950.0,-7.7218,-7.7054,-7.6957,-7.6292,-7.5764,-7.5124,-7.3961,-7.3535,-7.2668
