y,0,1,2,3,4,5,6,7,8
50.0,1489.9455,1489.9651,1490.0212,1490.1017,1490.181,1490.2588,1490.3405,1490.4074,1490.4425
150.0,1489.9454,1489.9653,1490.0257,1490.1145,1490.1948,1490.2718,1490.3599,1490.4329,1490.4711
250.0,1489.9714,1489.9924,1490.0561,1490.1497,1490.2321,1490.3106,1490.4028,1490.48,1490.5205
350.0,1490.0243,1490.0461,1490.1122,1490.209,1490.2937,1490.3743,1490.4696,1490.5497,1490.592
450.0,1490.1045,1490.1268,1490.1946,1490.2936,1490.3805,1490.4633,1490.5609,1490.6432,1490.6868
550.0,1490.2128,1490.2352,1490.3041,1490.4048,1490.4935,1490.5782,1490.6777,1490.7618,1490.8066
650.0,1490.35,1490.3725,1490.442,1490.5439,1490.6341,1490.7204,1490.8216,1490.9071,1490.953
750.0,1490.5177,1490.5399,1490.6098,1490.7125,1490.8039,1490.8915,1490.9941,1491.0808,1491.1277
850.0,1490.7173,1490.7391,1490.8091,1490.9124,1491.0047,1491.0934,1491.1971,1491.285,1491.3329
950.0,1490.9508,1490.972,1491.042,1491.1455,1491.2384,1491.3281,1491.4329,1491.5218,1491.5706
1050.0,1491.2203,1491.2409,1491.3105,1491.4141,1491.5073,1491.5978,1491.7036,1491.7935,1491.8432
1150.0,1491.528,1491.5482,1491.6172,1491.7204,1491.8138,1491.9049,1492.0118,1492.1027,1492.1529
1250.0,1491.8764,1491.8965,1491.9647,1492.0672,1492.1605,1492.2521,1492.3599,1492.4521,1492.502
1350.0,1492.2682,1492.2879,1492.3555,1492.4574,1492.5505,1492.6423,1492.7506,1492.843,1492.8929
1450.0,1492.7092,1492.7278,1492.7946,1492.8955,1492.9879,1493.0799,1493.1885,1493.281,1493.3317
1550.0,1493.2047,1493.2218,1493.2875,1493.3867,1493.4776,1493.5701,1493.6795,1493.772,1493.8235
1650.0,1493.7598,1493.7756,1493.8404,1493.937,1494.0254,1494.1189,1494.2294,1494.3213,1494.3731
1750.0,1494.3796,1494.3944,1494.4595,1494.5533,1494.6389,1494.7331,1494.8443,1494.9332,1494.9847
1850.0,1495.0686,1495.0819,1495.1483,1495.2413,1495.325,1495.4177,1495.5263,1495.6106,1495.6626
1950.0,1495.8334,1495.8462,1495.9136,1496.0067,1496.0889,1496.1786,1496.2828,1496.3626,1496.4139
2050.0,1496.6778,1496.691,1496.7599,1496.8539,1496.9347,1497.0207,1497.1188,1497.1932,1497.2428
2150.0,1497.6031,1497.6177,1497.6888,1497.7849,1497.8645,1497.9461,1498.0362,1498.1038,1498.1509
2250.0,1498.6083,1498.6253,1498.6987,1498.7987,1498.8769,1498.9539,1499.0333,1499.093,1499.1376
2350.0,1499.6913,1499.7103,1499.7856,1499.8891,1499.9663,1500.0367,1500.1049,1500.1589,1500.2021
2450.0,1500.8507,1500.8722,1500.95,1501.0559,1501.1318,1501.1952,1501.2539,1501.302,1501.3429
2550.0,1502.0832,1502.1078,1502.1885,1502.2963,1502.3719,1502.4274,1502.4768,1502.5194,1502.5576
2650.0,1503.3831,1503.4114,1503.4954,1503.6038,1503.6815,1503.7272,1503.7676,1503.8064,1503.842
2750.0,1504.7437,1504.7752,1504.8618,1504.9685,1505.0457,1505.0839,1505.1201,1505.1577,1505.1904
2850.0,1506.159,1506.1939,1506.2825,1506.388,1506.4628,1506.4963,1506.5294,1506.5652,1506.5947
2950.0,1507.6212,1507.66,1507.7509,1507.8555,1507.927,1507.9569,1507.9871,1508.0204,1508.0461
3050.0,1509.1199,1509.1634,1509.2574,1509.3612,1509.4276,1509.4547,1509.4823,1509.5128,1509.5338
3150.0,1510.6426,1510.6912,1510.7892,1510.892,1510.9492,1510.9754,1511.0015,1511.0297,1511.0454
3250.0,1512.1758,1512.2283,1512.3285,1512.4281,1512.4732,1512.5008,1512.5298,1512.5563,1512.5663
3350.0,1513.7055,1513.7622,1513.8631,1513.9585,1513.9933,1514.0197,1514.0506,1514.0764,1514.0816
3450.0,1515.2171,1515.2778,1515.3776,1515.4658,1515.4904,1515.5158,1515.5498,1515.5756,1515.5767
3550.0,1516.6952,1516.76,1516.8579,1516.9363,1516.9502,1516.9741,1517.0139,1517.0402,1517.0371
3650.0,1518.1233,1518.1915,1518.2873,1518.3529,1518.3545,1518.3774,1518.429,1518.4555,1518.448
3750.0,1519.4851,1519.5533,1519.6398,1519.6909,1519.6882,1519.7127,1519.775,1519.8041,1519.7947
3850.0,1520.7688,1520.8356,1520.9115,1520.9508,1520.9452,1520.973,1521.0427,1521.0766,1521.0665
3950.0,1521.9643,1522.0301,1522.0942,1522.1223,1522.1162,1522.1484,1522.2232,1522.2641,1522.2539
4050.0,1523.0607,1523.1267,1523.1758,1523.1916,1523.1905,1523.2292,1523.3054,1523.3568,1523.3471
4150.0,1524.0451,1524.1066,1524.1395,1524.1477,1524.1585,1524.2062,1524.2786,1524.3398,1524.3351
4250.0,1524.9146,1524.9704,1524.9914,1524.9952,1525.0156,1525.072,1525.1453,1525.2129,1525.2134
4350.0,1525.669,1525.7184,1525.7292,1525.7296,1525.7608,1525.8269,1525.9002,1525.9723,1525.9798
4450.0,1526.3065,1526.3485,1526.3497,1526.346,1526.3932,1526.4711,1526.5382,1526.6119,1526.6308
4550.0,1526.82,1526.8533,1526.8519,1526.8516,1526.9106,1526.9964,1527.0605,1527.1306,1527.1572
4650.0,1527.2147,1527.244,1527.2428,1527.2471,1527.3133,1527.4031,1527.4658,1527.5332,1527.5619
4750.0,1527.4956,1527.5239,1527.525,1527.5338,1527.6033,1527.6938,1527.7549,1527.8192,1527.8464
4850.0,1527.6655,1527.6938,1527.6995,1527.7137,1527.7824,1527.8695,1527.9291,1527.9885,1528.0111
4950.0,1527.7264,1527.7527,1527.7659,1527.7891,1527.8514,1527.9289,1527.9896,1528.0411,1528.0554
