y,x,val
0.0000,0.0000,1489.6842
0.0000,222.2222,1489.7076
0.0000,444.4444,1489.7744
0.0000,666.6667,1489.8699
0.0000,888.8889,1489.9663
0.0000,1111.1111,1490.0627
0.0000,1333.3333,1490.1627
0.0000,1555.5556,1490.2443
0.0000,1777.7778,1490.2873
0.0000,2000.0000,1490.2873
100.0000,0.0000,1489.6845
100.0000,222.2222,1489.7084
100.0000,444.4444,1489.7804
100.0000,666.6667,1489.8849
100.0000,888.8889,1489.9827
100.0000,1111.1111,1490.0790
100.0000,1333.3333,1490.1865
100.0000,1555.5556,1490.2753
100.0000,1777.7778,1490.3223
100.0000,2000.0000,1490.3223
200.0000,0.0000,1489.7171
200.0000,222.2222,1489.7423
200.0000,444.4444,1489.8181
200.0000,666.6667,1489.9280
200.0000,888.8889,1490.0282
200.0000,1111.1111,1490.1265
200.0000,1333.3333,1490.2389
200.0000,1555.5556,1490.3326
200.0000,1777.7778,1490.3824
200.0000,2000.0000,1490.3824
300.0000,0.0000,1489.7824
300.0000,222.2222,1489.8087
300.0000,444.4444,1489.8873
300.0000,666.6667,1490.0006
300.0000,888.8889,1490.1035
300.0000,1111.1111,1490.2043
300.0000,1333.3333,1490.3201
300.0000,1555.5556,1490.4172
300.0000,1777.7778,1490.4689
300.0000,2000.0000,1490.4689
400.0000,0.0000,1489.8807
400.0000,222.2222,1489.9077
400.0000,444.4444,1489.9881
400.0000,666.6667,1490.1039
400.0000,888.8889,1490.2091
400.0000,1111.1111,1490.3122
400.0000,1333.3333,1490.4306
400.0000,1555.5556,1490.5300
400.0000,1777.7778,1490.5830
400.0000,2000.0000,1490.5830
500.0000,0.0000,1490.0123
500.0000,222.2222,1490.0397
500.0000,444.4444,1490.1213
500.0000,666.6667,1490.2387
500.0000,888.8889,1490.3457
500.0000,1111.1111,1490.4506
500.0000,1333.3333,1490.5709
500.0000,1555.5556,1490.6719
500.0000,1777.7778,1490.7259
500.0000,2000.0000,1490.7259
600.0000,0.0000,1490.1779
600.0000,222.2222,1490.2053
600.0000,444.4444,1490.2875
600.0000,666.6667,1490.4060
600.0000,888.8889,1490.5141
600.0000,1111.1111,1490.6203
600.0000,1333.3333,1490.7419
600.0000,1555.5556,1490.8440
600.0000,1777.7778,1490.8989
600.0000,2000.0000,1490.8989
700.0000,0.0000,1490.3782
700.0000,222.2222,1490.4054
700.0000,444.4444,1490.4879
700.0000,666.6667,1490.6067
700.0000,888.8889,1490.7155
700.0000,1111.1111,1490.8224
700.0000,1333.3333,1490.9448
700.0000,1555.5556,1491.0476
700.0000,1777.7778,1491.1031
700.0000,2000.0000,1491.1031
800.0000,0.0000,1490.6144
800.0000,222.2222,1490.6412
800.0000,444.4444,1490.7234
800.0000,666.6667,1490.8422
800.0000,888.8889,1490.9510
800.0000,1111.1111,1491.0581
800.0000,1333.3333,1491.1807
800.0000,1555.5556,1491.2840
800.0000,1777.7778,1491.3399
800.0000,2000.0000,1491.3399
900.0000,0.0000,1490.8877
900.0000,222.2222,1490.9139
900.0000,444.4444,1490.9955
900.0000,666.6667,1491.1137
900.0000,888.8889,1491.2220
900.0000,1111.1111,1491.3286
900.0000,1333.3333,1491.4511
900.0000,1555.5556,1491.5543
900.0000,1777.7778,1491.6105
900.0000,2000.0000,1491.6105
1000.0000,0.0000,1491.1995
1000.0000,222.2222,1491.2251
1000.0000,444.4444,1491.3058
1000.0000,666.6667,1491.4228
1000.0000,888.8889,1491.5298
1000.0000,1111.1111,1491.6355
1000.0000,1333.3333,1491.7572
1000.0000,1555.5556,1491.8602
1000.0000,1777.7778,1491.9164
1000.0000,2000.0000,1491.9164
1100.0000,0.0000,1491.5516
1100.0000,222.2222,1491.5766
1100.0000,444.4444,1491.6558
1100.0000,666.6667,1491.7710
1100.0000,888.8889,1491.8762
1100.0000,1111.1111,1491.9802
1100.0000,1333.3333,1492.1007
1100.0000,1555.5556,1492.2029
1100.0000,1777.7778,1492.2586
1100.0000,2000.0000,1492.2586
1200.0000,0.0000,1491.9454
1200.0000,222.2222,1491.9701
1200.0000,444.4444,1492.0475
1200.0000,666.6667,1492.1603
1200.0000,888.8889,1492.2628
1200.0000,1111.1111,1492.3643
1200.0000,1333.3333,1492.4829
1200.0000,1555.5556,1492.5840
1200.0000,1777.7778,1492.6384
1200.0000,2000.0000,1492.6384
1300.0000,0.0000,1492.3828
1300.0000,222.2222,1492.4070
1300.0000,444.4444,1492.4828
1300.0000,666.6667,1492.5929
1300.0000,888.8889,1492.6920
1300.0000,1111.1111,1492.7899
1300.0000,1333.3333,1492.9052
1300.0000,1555.5556,1493.0037
1300.0000,1777.7778,1493.0569
1300.0000,2000.0000,1493.0569
1400.0000,0.0000,1492.8681
1400.0000,222.2222,1492.8912
1400.0000,444.4444,1492.9653
1400.0000,666.6667,1493.0722
1400.0000,888.8889,1493.1670
1400.0000,1111.1111,1493.2601
1400.0000,1333.3333,1493.3708
1400.0000,1555.5556,1493.4662
1400.0000,1777.7778,1493.5186
1400.0000,2000.0000,1493.5186
1500.0000,0.0000,1493.4050
1500.0000,222.2222,1493.4269
1500.0000,444.4444,1493.4990
1500.0000,666.6667,1493.6022
1500.0000,888.8889,1493.6918
1500.0000,1111.1111,1493.7788
1500.0000,1333.3333,1493.8840
1500.0000,1555.5556,1493.9758
1500.0000,1777.7778,1494.0276
1500.0000,2000.0000,1494.0276
1600.0000,0.0000,1493.9969
1600.0000,222.2222,1494.0176
1600.0000,444.4444,1494.0883
1600.0000,666.6667,1494.1874
1600.0000,888.8889,1494.2709
1600.0000,1111.1111,1494.3509
1600.0000,1333.3333,1494.4491
1600.0000,1555.5556,1494.5368
1600.0000,1777.7778,1494.5878
1600.0000,2000.0000,1494.5878
1700.0000,0.0000,1494.6468
1700.0000,222.2222,1494.6665
1700.0000,444.4444,1494.7368
1700.0000,666.6667,1494.8316
1700.0000,888.8889,1494.9088
1700.0000,1111.1111,1494.9813
1700.0000,1333.3333,1495.0723
1700.0000,1555.5556,1495.1540
1700.0000,1777.7778,1495.2034
1700.0000,2000.0000,1495.2034
1800.0000,0.0000,1495.3580
1800.0000,222.2222,1495.3758
1800.0000,444.4444,1495.4461
1800.0000,666.6667,1495.5378
1800.0000,888.8889,1495.6092
1800.0000,1111.1111,1495.6740
1800.0000,1333.3333,1495.7563
1800.0000,1555.5556,1495.8303
1800.0000,1777.7778,1495.8787
1800.0000,2000.0000,1495.8787
1900.0000,0.0000,1496.1347
1900.0000,222.2222,1496.1514
1900.0000,444.4444,1496.2211
1900.0000,666.6667,1496.3104
1900.0000,888.8889,1496.3766
1900.0000,1111.1111,1496.4337
1900.0000,1333.3333,1496.5072
1900.0000,1555.5556,1496.5738
1900.0000,1777.7778,1496.6202
1900.0000,2000.0000,1496.6202
2000.0000,0.0000,1496.9798
2000.0000,222.2222,1496.9961
2000.0000,444.4444,1497.0653
2000.0000,666.6667,1497.1530
2000.0000,888.8889,1497.2147
2000.0000,1111.1111,1497.2646
2000.0000,1333.3333,1497.3290
2000.0000,1555.5556,1497.3880
2000.0000,1777.7778,1497.4316
2000.0000,2000.0000,1497.4316
2100.0000,0.0000,1497.8945
2100.0000,222.2222,1497.9110
2100.0000,444.4444,1497.9802
2100.0000,666.6667,1498.0676
2100.0000,888.8889,1498.1256
2100.0000,1111.1111,1498.1685
2100.0000,1333.3333,1498.2229
2100.0000,1555.5556,1498.2736
2100.0000,1777.7778,1498.3140
2100.0000,2000.0000,1498.3140
2200.0000,0.0000,1498.8789
2200.0000,222.2222,1498.8958
2200.0000,444.4444,1498.9647
2200.0000,666.6667,1499.0537
2200.0000,888.8889,1499.1084
2200.0000,1111.1111,1499.1449
2200.0000,1333.3333,1499.1875
2200.0000,1555.5556,1499.2293
2200.0000,1777.7778,1499.2667
2200.0000,2000.0000,1499.2667
2300.0000,0.0000,1499.9318
2300.0000,222.2222,1499.9493
2300.0000,444.4444,1500.0168
2300.0000,666.6667,1500.1069
2300.0000,888.8889,1500.1586
2300.0000,1111.1111,1500.1873
2300.0000,1333.3333,1500.2180
2300.0000,1555.5556,1500.2532
2300.0000,1777.7778,1500.2890
2300.0000,2000.0000,1500.2890
2400.0000,0.0000,1501.0525
2400.0000,222.2222,1501.0707
2400.0000,444.4444,1501.1376
2400.0000,666.6667,1501.2273
2400.0000,888.8889,1501.2761
2400.0000,1111.1111,1501.2971
2400.0000,1333.3333,1501.3180
2400.0000,1555.5556,1501.3471
2400.0000,1777.7778,1501.3808
2400.0000,2000.0000,1501.3808
2500.0000,0.0000,1502.2389
2500.0000,222.2222,1502.2581
2500.0000,444.4444,1502.3248
2500.0000,666.6667,1502.4135
2500.0000,888.8889,1502.4607
2500.0000,1111.1111,1502.4737
2500.0000,1333.3333,1502.4856
2500.0000,1555.5556,1502.5094
2500.0000,1777.7778,1502.5407
2500.0000,2000.0000,1502.5407
2600.0000,0.0000,1503.4876
2600.0000,222.2222,1503.5082
2600.0000,444.4444,1503.5745
2600.0000,666.6667,1503.6610
2600.0000,888.8889,1503.7094
2600.0000,1111.1111,1503.7130
2600.0000,1333.3333,1503.7167
2600.0000,1555.5556,1503.7371
2600.0000,1777.7778,1503.7663
2600.0000,2000.0000,1503.7663
2700.0000,0.0000,1504.7941
2700.0000,222.2222,1504.8162
2700.0000,444.4444,1504.8819
2700.0000,666.6667,1504.9632
2700.0000,888.8889,1505.0101
2700.0000,1111.1111,1505.0068
2700.0000,1333.3333,1505.0069
2700.0000,1555.5556,1505.0267
2700.0000,1777.7778,1505.0539
2700.0000,2000.0000,1505.0539
2800.0000,0.0000,1506.1535
2800.0000,222.2222,1506.1772
2800.0000,444.4444,1506.2420
2800.0000,666.6667,1506.3192
2800.0000,888.8889,1506.3626
2800.0000,1111.1111,1506.3551
2800.0000,1333.3333,1506.3534
2800.0000,1555.5556,1506.3726
2800.0000,1777.7778,1506.3979
2800.0000,2000.0000,1506.3979
2900.0000,0.0000,1507.5593
2900.0000,222.2222,1507.5852
2900.0000,444.4444,1507.6497
2900.0000,666.6667,1507.7236
2900.0000,888.8889,1507.7629
2900.0000,1111.1111,1507.7528
2900.0000,1333.3333,1507.7504
2900.0000,1555.5556,1507.7691
2900.0000,1777.7778,1507.7922
2900.0000,2000.0000,1507.7922
3000.0000,0.0000,1509.0036
3000.0000,222.2222,1509.0326
3000.0000,444.4444,1509.0977
3000.0000,666.6667,1509.1688
3000.0000,888.8889,1509.2026
3000.0000,1111.1111,1509.1915
3000.0000,1333.3333,1509.1900
3000.0000,1555.5556,1509.2090
3000.0000,1777.7778,1509.2294
3000.0000,2000.0000,1509.2294
3100.0000,0.0000,1510.4767
3100.0000,222.2222,1510.5093
3100.0000,444.4444,1510.5763
3100.0000,666.6667,1510.6450
3100.0000,888.8889,1510.6701
3100.0000,1111.1111,1510.6608
3100.0000,1333.3333,1510.6629
3100.0000,1555.5556,1510.6833
3100.0000,1777.7778,1510.7003
3100.0000,2000.0000,1510.7003
3200.0000,0.0000,1511.9669
3200.0000,222.2222,1512.0032
3200.0000,444.4444,1512.0719
3200.0000,666.6667,1512.1372
3200.0000,888.8889,1512.1526
3200.0000,1111.1111,1512.1488
3200.0000,1333.3333,1512.1588
3200.0000,1555.5556,1512.1805
3200.0000,1777.7778,1512.1933
3200.0000,2000.0000,1512.1933
3300.0000,0.0000,1513.4612
3300.0000,222.2222,1513.5015
3300.0000,444.4444,1513.5715
3300.0000,666.6667,1513.6342
3300.0000,888.8889,1513.6450
3300.0000,1111.1111,1513.6453
3300.0000,1333.3333,1513.6621
3300.0000,1555.5556,1513.6861
3300.0000,1777.7778,1513.6956
3300.0000,2000.0000,1513.6956
3400.0000,0.0000,1514.9458
3400.0000,222.2222,1514.9900
3400.0000,444.4444,1515.0603
3400.0000,666.6667,1515.1204
3400.0000,888.8889,1515.1298
3400.0000,1111.1111,1515.1350
3400.0000,1333.3333,1515.1598
3400.0000,1555.5556,1515.1872
3400.0000,1777.7778,1515.1939
3400.0000,2000.0000,1515.1939
3500.0000,0.0000,1516.4075
3500.0000,222.2222,1516.4556
3500.0000,444.4444,1516.5262
3500.0000,666.6667,1516.5831
3500.0000,888.8889,1516.5911
3500.0000,1111.1111,1516.6027
3500.0000,1333.3333,1516.6393
3500.0000,1555.5556,1516.6708
3500.0000,1777.7778,1516.6745
3500.0000,2000.0000,1516.6745
3600.0000,0.0000,1517.8322
3600.0000,222.2222,1517.8842
3600.0000,444.4444,1517.9551
3600.0000,666.6667,1518.0074
3600.0000,888.8889,1518.0130
3600.0000,1111.1111,1518.0327
3600.0000,1333.3333,1518.0873
3600.0000,1555.5556,1518.1226
3600.0000,1777.7778,1518.1228
3600.0000,2000.0000,1518.1228
3700.0000,0.0000,1519.2056
3700.0000,222.2222,1519.2600
3700.0000,444.4444,1519.3274
3700.0000,666.6667,1519.3754
3700.0000,888.8889,1519.3855
3700.0000,1111.1111,1519.4147
3700.0000,1333.3333,1519.4847
3700.0000,1555.5556,1519.5246
3700.0000,1777.7778,1519.5226
3700.0000,2000.0000,1519.5226
3800.0000,0.0000,1520.5155
3800.0000,222.2222,1520.5714
3800.0000,444.4444,1520.6349
3800.0000,666.6667,1520.6798
3800.0000,888.8889,1520.6956
3800.0000,1111.1111,1520.7354
3800.0000,1333.3333,1520.8175
3800.0000,1555.5556,1520.8642
3800.0000,1777.7778,1520.8612
3800.0000,2000.0000,1520.8612
3900.0000,0.0000,1521.7500
3900.0000,222.2222,1521.8079
3900.0000,444.4444,1521.8656
3900.0000,666.6667,1521.9069
3900.0000,888.8889,1521.9298
3900.0000,1111.1111,1521.9809
3900.0000,1333.3333,1522.0729
3900.0000,1555.5556,1522.1289
3900.0000,1777.7778,1522.1254
3900.0000,2000.0000,1522.1254
4000.0000,0.0000,1522.8962
4000.0000,222.2222,1522.9573
4000.0000,444.4444,1523.0059
4000.0000,666.6667,1523.0413
4000.0000,888.8889,1523.0751
4000.0000,1111.1111,1523.1386
4000.0000,1333.3333,1523.2358
4000.0000,1555.5556,1523.3050
4000.0000,1777.7778,1523.3009
4000.0000,2000.0000,1523.3009
4100.0000,0.0000,1523.9392
4100.0000,222.2222,1523.9998
4100.0000,444.4444,1524.0396
4100.0000,666.6667,1524.0733
4100.0000,888.8889,1524.1225
4100.0000,1111.1111,1524.1973
4100.0000,1333.3333,1524.2910
4100.0000,1555.5556,1524.3713
4100.0000,1777.7778,1524.3719
4100.0000,2000.0000,1524.3719
4200.0000,0.0000,1524.8732
4200.0000,222.2222,1524.9320
4200.0000,444.4444,1524.9663
4200.0000,666.6667,1525.0005
4200.0000,888.8889,1525.0610
4200.0000,1111.1111,1525.1446
4200.0000,1333.3333,1525.2384
4200.0000,1555.5556,1525.3252
4200.0000,1777.7778,1525.3306
4200.0000,2000.0000,1525.3306
4300.0000,0.0000,1525.6938
4300.0000,222.2222,1525.7502
4300.0000,444.4444,1525.7798
4300.0000,666.6667,1525.8141
4300.0000,888.8889,1525.8850
4300.0000,1111.1111,1525.9767
4300.0000,1333.3333,1526.0690
4300.0000,1555.5556,1526.1594
4300.0000,1777.7778,1526.1716
4300.0000,2000.0000,1526.1716
4400.0000,0.0000,1526.3953
4400.0000,222.2222,1526.4480
4400.0000,444.4444,1526.4736
4400.0000,666.6667,1526.5065
4400.0000,888.8889,1526.5903
4400.0000,1111.1111,1526.6906
4400.0000,1333.3333,1526.7740
4400.0000,1555.5556,1526.8646
4400.0000,1777.7778,1526.8888
4400.0000,2000.0000,1526.8888
4500.0000,0.0000,1526.9684
