y,0,1,2,3,4,5,6,7,8
50.0,-28.9667,-29.0653,-29.0916,-29.2319,-29.1442,-28.9857,-28.987,-28.7859,-28.6296
150.0,-25.3367,-25.3259,-25.3176,-25.4281,-25.2732,-25.089,-25.0641,-24.77,-24.5321
250.0,-23.1344,-23.2008,-23.2519,-23.3595,-23.3099,-23.2153,-23.1221,-22.9251,-22.7412
350.0,-19.7153,-19.9082,-20.0596,-20.1351,-20.2381,-20.2769,-20.1441,-20.0876,-20.0046
450.0,-12.7386,-13.028,-13.2839,-13.4727,-13.6899,-13.8552,-13.8844,-13.9455,-13.9631
550.0,-3.8682,-4.1188,-4.3648,-4.6409,-4.841,-5.0273,-5.2155,-5.2838,-5.3149
650.0,3.5453,3.3566,3.1578,2.9463,2.8024,2.649,2.4436,2.4039,2.4198
750.0,7.8774,7.758,7.6144,7.5909,7.5141,7.3983,7.3062,7.3097,7.3809
850.0,9.6918,9.6063,9.4908,9.5438,9.4908,9.3779,9.3281,9.3261,9.4077
950.0,10.6579,10.5853,10.4833,10.5777,10.5293,10.3968,10.3476,10.316,10.384
1050.0,11.2642,11.2248,11.1531,11.2572,11.2459,11.107,11.0262,10.9905,11.0586
1150.0,11.4355,11.4192,11.3652,11.491,11.5005,11.3569,11.2884,11.2437,11.2955
1250.0,11.1561,11.173,11.1414,11.2977,11.333,11.2039,11.1563,11.1215,11.1579
1350.0,10.5209,10.5737,10.5846,10.7746,10.8432,10.7415,10.711,10.6832,10.7128
1450.0,9.6556,9.7346,9.7906,10.0371,10.137,10.0663,10.066,10.0428,10.0671
1550.0,8.5789,8.6826,8.79,9.0894,9.2156,9.1913,9.2166,9.2038,9.2273
1650.0,7.2717,7.3941,7.5542,7.8884,8.0328,8.0672,8.1322,8.1398,8.1654
1750.0,5.8177,5.9448,6.166,6.5264,6.6925,6.7725,6.8783,6.9047,6.9266
1850.0,4.3764,4.4925,4.7571,5.1454,5.3369,5.4502,5.5838,5.6168,5.6344
1950.0,2.988,3.0957,3.3752,3.766,3.9725,4.1068,4.2522,4.2848,4.2951
2050.0,1.5085,1.6071,1.8889,2.2392,2.4618,2.6303,2.7702,2.8205,2.8515
2150.0,-0.0325,0.0704,0.3482,0.667,0.9091,1.1031,1.2733,1.3265,1.354
2250.0,-0.6249,-0.5771,-0.4065,-0.078,0.1249,0.281,0.4551,0.4628,0.4424
2350.0,-1.0665,-1.0377,-0.9735,-0.702,-0.5198,-0.3939,-0.276,-0.3064,-0.3544
2450.0,-1.4916,-1.4988,-1.529,-1.2856,-1.1418,-1.0572,-0.9505,-1.0289,-1.108
2550.0,-2.2317,-2.2501,-2.3359,-2.1321,-1.9976,-1.9229,-1.8075,-1.9164,-1.9974
2650.0,-2.6183,-2.6191,-2.7474,-2.6844,-2.521,-2.4556,-2.401,-2.5339,-2.6092
2750.0,-2.4902,-2.4857,-2.6474,-2.7435,-2.6113,-2.5912,-2.6133,-2.7764,-2.8687
2850.0,-2.5218,-2.5196,-2.7003,-2.8861,-2.8103,-2.8215,-2.8775,-3.069,-3.1708
2950.0,-2.2436,-2.2687,-2.4925,-2.7075,-2.7196,-2.785,-2.835,-3.0613,-3.2014
3050.0,-1.6447,-1.6793,-1.9214,-2.2176,-2.3299,-2.4242,-2.5069,-2.7531,-2.9261
3150.0,-0.8289,-0.8797,-1.1171,-1.4417,-1.723,-1.8213,-1.876,-2.146,-2.3712
3250.0,-0.085,-0.1559,-0.3419,-0.6588,-1.1108,-1.2114,-1.2306,-1.4898,-1.7381
3350.0,0.701,0.6411,0.498,0.1702,-0.3628,-0.4715,-0.4749,-0.7024,-0.9458
3450.0,1.1608,1.1334,1.039,0.7529,0.1897,0.0844,0.156,-0.0122,-0.2268
3550.0,1.6033,1.5941,1.5168,1.3403,0.7202,0.5512,0.794,0.6657,0.4369
3650.0,2.0412,2.0659,2.0574,1.9484,1.2742,1.0254,1.4369,1.358,1.1347
3750.0,2.4902,2.5358,2.5597,2.5043,1.8747,1.5549,2.0281,2.0071,1.8035
3850.0,2.624,2.6825,2.7398,2.7365,2.1569,1.8296,2.3384,2.3647,2.1859
3950.0,2.6157,2.6939,2.7744,2.8036,2.3066,2.0053,2.4877,2.5871,2.4454
4050.0,2.4671,2.5591,2.6419,2.6915,2.3293,2.0682,2.4508,2.6588,2.5424
4150.0,2.0427,2.1337,2.1937,2.2426,2.0733,1.9302,2.1488,2.3968,2.3317
4250.0,1.4074,1.4856,1.5253,1.5911,1.5694,1.5234,1.6442,1.8732,1.8482
4350.0,0.5886,0.6412,0.6417,0.7368,0.8451,0.8904,0.9409,1.0925,1.108
4450.0,-0.4796,-0.4486,-0.4971,-0.4237,-0.1483,0.0429,-0.0564,-0.0383,0.0888
4550.0,-1.7143,-1.7173,-1.8002,-1.7052,-1.3389,-1.0457,-1.1878,-1.3241,-1.1443
4650.0,-3.1136,-3.1303,-3.2225,-3.1188,-2.7007,-2.3553,-2.5248,-2.7276,-2.5392
4750.0,-4.6422,-4.664,-4.7534,-4.6396,-4.213,-3.8587,-4.0263,-4.2516,-4.078
4850.0,-6.3126,-6.3241,-6.3855,-6.2769,-5.8708,-5.6047,-5.6855,-5.8926,-5.746
4950.0,-8.1506,-8.1672,-8.1977,-8.0474,-7.7421,-7.5044,-7.5359,-7.6883,-7.5598
