y,x,val
0.0000,0.0000,1484.8580
0.0000,222.2222,1484.8499
0.0000,444.4444,1484.8390
0.0000,666.6667,1484.9052
0.0000,888.8889,1484.9361
0.0000,1111.1111,1484.9735
0.0000,1333.3333,1485.0732
0.0000,1555.5556,1485.1407
0.0000,1777.7778,1485.2004
0.0000,2000.0000,1485.2004
100.0000,0.0000,1484.9141
100.0000,222.2222,1484.9139
100.0000,444.4444,1484.8828
100.0000,666.6667,1484.9786
100.0000,888.8889,1484.9986
100.0000,1111.1111,1485.0212
100.0000,1333.3333,1485.1470
100.0000,1555.5556,1485.2117
100.0000,1777.7778,1485.2801
100.0000,2000.0000,1485.2801
200.0000,0.0000,1485.0866
200.0000,222.2222,1485.0895
200.0000,444.4444,1485.0539
200.0000,666.6667,1485.1600
200.0000,888.8889,1485.1772
200.0000,1111.1111,1485.1956
200.0000,1333.3333,1485.3315
200.0000,1555.5556,1485.3981
200.0000,1777.7778,1485.4697
200.0000,2000.0000,1485.4697
300.0000,0.0000,1485.3738
300.0000,222.2222,1485.3786
300.0000,444.4444,1485.3433
300.0000,666.6667,1485.4535
300.0000,888.8889,1485.4708
300.0000,1111.1111,1485.4889
300.0000,1333.3333,1485.6288
300.0000,1555.5556,1485.6974
300.0000,1777.7778,1485.7700
300.0000,2000.0000,1485.7700
400.0000,0.0000,1485.7734
400.0000,222.2222,1485.7800
400.0000,444.4444,1485.7463
400.0000,666.6667,1485.8588
400.0000,888.8889,1485.8772
400.0000,1111.1111,1485.8961
400.0000,1333.3333,1486.0378
400.0000,1555.5556,1486.1074
400.0000,1777.7778,1486.1798
400.0000,2000.0000,1486.1798
500.0000,0.0000,1486.2821
500.0000,222.2222,1486.2907
500.0000,444.4444,1486.2590
500.0000,666.6667,1486.3735
500.0000,888.8889,1486.3932
500.0000,1111.1111,1486.4129
500.0000,1333.3333,1486.5555
500.0000,1555.5556,1486.6253
500.0000,1777.7778,1486.6968
500.0000,2000.0000,1486.6968
600.0000,0.0000,1486.8954
600.0000,222.2222,1486.9065
600.0000,444.4444,1486.8771
600.0000,666.6667,1486.9935
600.0000,888.8889,1487.0145
600.0000,1111.1111,1487.0350
600.0000,1333.3333,1487.1779
600.0000,1555.5556,1487.2473
600.0000,1777.7778,1487.3174
600.0000,2000.0000,1487.3174
700.0000,0.0000,1487.6077
700.0000,222.2222,1487.6218
700.0000,444.4444,1487.5950
700.0000,666.6667,1487.7135
700.0000,888.8889,1487.7359
700.0000,1111.1111,1487.7572
700.0000,1333.3333,1487.9002
700.0000,1555.5556,1487.9688
700.0000,1777.7778,1488.0371
700.0000,2000.0000,1488.0371
800.0000,0.0000,1488.4123
800.0000,222.2222,1488.4301
800.0000,444.4444,1488.4064
800.0000,666.6667,1488.5274
800.0000,888.8889,1488.5514
800.0000,1111.1111,1488.5736
800.0000,1333.3333,1488.7166
800.0000,1555.5556,1488.7843
800.0000,1777.7778,1488.8504
800.0000,2000.0000,1488.8504
900.0000,0.0000,1489.3009
900.0000,222.2222,1489.3233
900.0000,444.4444,1489.3036
900.0000,666.6667,1489.4277
900.0000,888.8889,1489.4538
900.0000,1111.1111,1489.4772
900.0000,1333.3333,1489.6205
900.0000,1555.5556,1489.6872
900.0000,1777.7778,1489.7511
900.0000,2000.0000,1489.7511
1000.0000,0.0000,1490.2634
1000.0000,222.2222,1490.2923
1000.0000,444.4444,1490.2777
1000.0000,666.6667,1490.4058
1000.0000,888.8889,1490.4349
1000.0000,1111.1111,1490.4602
1000.0000,1333.3333,1490.6044
1000.0000,1555.5556,1490.6705
1000.0000,1777.7778,1490.7321
1000.0000,2000.0000,1490.7321
1100.0000,0.0000,1491.2876
1100.0000,222.2222,1491.3262
1100.0000,444.4444,1491.3182
1100.0000,666.6667,1491.4517
1100.0000,888.8889,1491.4854
1100.0000,1111.1111,1491.5142
1100.0000,1333.3333,1491.6604
1100.0000,1555.5556,1491.7265
1100.0000,1777.7778,1491.7861
1100.0000,2000.0000,1491.7861
1200.0000,0.0000,1492.3580
1200.0000,222.2222,1492.4119
1200.0000,444.4444,1492.4122
1200.0000,666.6667,1492.5540
1200.0000,888.8889,1492.5953
1200.0000,1111.1111,1492.6300
1200.0000,1333.3333,1492.7800
1200.0000,1555.5556,1492.8471
1200.0000,1777.7778,1492.9053
1200.0000,2000.0000,1492.9053
1300.0000,0.0000,1493.4574
1300.0000,222.2222,1493.5271
1300.0000,444.4444,1493.5442
1300.0000,666.6667,1493.7010
1300.0000,888.8889,1493.7546
1300.0000,1111.1111,1493.7987
1300.0000,1333.3333,1493.9549
1300.0000,1555.5556,1494.0245
1300.0000,1777.7778,1494.0816
1300.0000,2000.0000,1494.0816
1400.0000,0.0000,1494.5867
1400.0000,222.2222,1494.6696
1400.0000,444.4444,1494.7076
1400.0000,666.6667,1494.8847
1400.0000,888.8889,1494.9550
1400.0000,1111.1111,1495.0115
1400.0000,1333.3333,1495.1760
1400.0000,1555.5556,1495.2493
1400.0000,1777.7778,1495.3049
1400.0000,2000.0000,1495.3049
1500.0000,0.0000,1495.7402
1500.0000,222.2222,1495.8352
1500.0000,444.4444,1495.8983
1500.0000,666.6667,1496.0995
1500.0000,888.8889,1496.1889
1500.0000,1111.1111,1496.2597
1500.0000,1333.3333,1496.4338
1500.0000,1555.5556,1496.5117
1500.0000,1777.7778,1496.5649
1500.0000,2000.0000,1496.5649
1600.0000,0.0000,1496.9114
1600.0000,222.2222,1497.0157
1600.0000,444.4444,1497.1119
1600.0000,666.6667,1497.3393
1600.0000,888.8889,1497.4486
1600.0000,1111.1111,1497.5339
1600.0000,1333.3333,1497.7181
1600.0000,1555.5556,1497.8013
1600.0000,1777.7778,1497.8499
1600.0000,2000.0000,1497.8499
1700.0000,0.0000,1498.0965
1700.0000,222.2222,1498.2005
1700.0000,444.4444,1498.3429
1700.0000,666.6667,1498.5959
1700.0000,888.8889,1498.7243
1700.0000,1111.1111,1498.8235
1700.0000,1333.3333,1499.0167
1700.0000,1555.5556,1499.1064
1700.0000,1777.7778,1499.1460
1700.0000,2000.0000,1499.1460
1800.0000,0.0000,1499.2995
1800.0000,222.2222,1499.3933
1800.0000,444.4444,1499.5703
1800.0000,666.6667,1499.8542
1800.0000,888.8889,1500.0047
1800.0000,1111.1111,1500.1177
1800.0000,1333.3333,1500.3177
1800.0000,1555.5556,1500.4076
1800.0000,1777.7778,1500.4364
1800.0000,2000.0000,1500.4364
1900.0000,0.0000,1500.5075
1900.0000,222.2222,1500.5991
1900.0000,444.4444,1500.7975
1900.0000,666.6667,1501.1109
1900.0000,888.8889,1501.2830
1900.0000,1111.1111,1501.4081
1900.0000,1333.3333,1501.6117
1900.0000,1555.5556,1501.6975
1900.0000,1777.7778,1501.7177
1900.0000,2000.0000,1501.7177
2000.0000,0.0000,1501.7171
2000.0000,222.2222,1501.8069
