y,x,val
0.0000,0.0000,1512.2668
0.0000,222.2222,1512.6708
0.0000,444.4444,1512.9361
0.0000,666.6667,1513.1272
0.0000,888.8889,1513.2494
0.0000,1111.1111,1513.3204
0.0000,1333.3333,1513.3432
0.0000,1555.5556,1513.2501
0.0000,1777.7778,1512.9415
0.0000,2000.0000,1512.9415
100.0000,0.0000,1511.3844
100.0000,222.2222,1511.7703
100.0000,444.4444,1512.0085
100.0000,666.6667,1512.1970
100.0000,888.8889,1512.3195
100.0000,1111.1111,1512.4000
100.0000,1333.3333,1512.4600
100.0000,1555.5556,1512.4196
100.0000,1777.7778,1512.1426
100.0000,2000.0000,1512.1426
200.0000,0.0000,1509.1779
200.0000,222.2222,1509.4248
200.0000,444.4444,1509.6094
200.0000,666.6667,1509.7934
200.0000,888.8889,1509.9266
200.0000,1111.1111,1510.0312
200.0000,1333.3333,1510.1453
200.0000,1555.5556,1510.1985
200.0000,1777.7778,1510.0778
200.0000,2000.0000,1510.0778
300.0000,0.0000,1506.2296
300.0000,222.2222,1506.3087
300.0000,444.4444,1506.4280
300.0000,666.6667,1506.6024
300.0000,888.8889,1506.7476
300.0000,1111.1111,1506.8814
300.0000,1333.3333,1507.0559
300.0000,1555.5556,1507.2168
300.0000,1777.7778,1507.2819
300.0000,2000.0000,1507.2819
400.0000,0.0000,1503.1929
400.0000,222.2222,1503.1510
400.0000,444.4444,1503.2133
400.0000,666.6667,1503.3710
400.0000,888.8889,1503.5214
400.0000,1111.1111,1503.6801
400.0000,1333.3333,1503.9073
400.0000,1555.5556,1504.1576
400.0000,1777.7778,1504.3607
400.0000,2000.0000,1504.3607
500.0000,0.0000,1500.4664
500.0000,222.2222,1500.3673
500.0000,444.4444,1500.3910
500.0000,666.6667,1500.5302
500.0000,888.8889,1500.6771
500.0000,1111.1111,1500.8497
500.0000,1333.3333,1501.1129
500.0000,1555.5556,1501.4210
500.0000,1777.7778,1501.6994
500.0000,2000.0000,1501.6994
600.0000,0.0000,1498.1886
600.0000,222.2222,1498.0739
600.0000,444.4444,1498.0765
600.0000,666.6667,1498.2002
600.0000,888.8889,1498.3393
600.0000,1111.1111,1498.5163
600.0000,1333.3333,1498.7992
600.0000,1555.5556,1499.1372
600.0000,1777.7778,1499.4461
600.0000,2000.0000,1499.4461
700.0000,0.0000,1496.3596
700.0000,222.2222,1496.2432
700.0000,444.4444,1496.2365
700.0000,666.6667,1496.3500
700.0000,888.8889,1496.4820
700.0000,1111.1111,1496.6590
700.0000,1333.3333,1496.9497
700.0000,1555.5556,1497.3001
