y,x,val
0.0000,0.0000,-4.2992
0.0000,222.2222,-3.9573
0.0000,444.4444,-3.6956
0.0000,666.6667,-3.7574
0.0000,888.8889,-3.6641
0.0000,1111.1111,-3.5881
0.0000,1333.3333,-3.8195
0.0000,1555.5556,-3.9338
0.0000,1777.7778,-4.2303
0.0000,2000.0000,-4.2303
100.0000,0.0000,-1.6192
100.0000,222.2222,-1.1802
100.0000,444.4444,-0.8823
100.0000,666.6667,-0.9475
100.0000,888.8889,-0.7708
100.0000,1111.1111,-0.6323
100.0000,1333.3333,-0.8272
100.0000,1555.5556,-0.8062
100.0000,1777.7778,-1.0215
100.0000,2000.0000,-1.0215
200.0000,0.0000,-1.7968
200.0000,222.2222,-1.5712
200.0000,444.4444,-1.3798
200.0000,666.6667,-1.4513
200.0000,888.8889,-1.3525
200.0000,1111.1111,-1.2539
200.0000,1333.3333,-1.3185
200.0000,1555.5556,-1.2981
200.0000,1777.7778,-1.4265
200.0000,2000.0000,-1.4265
300.0000,0.0000,-1.6029
300.0000,222.2222,-1.6731
300.0000,444.4444,-1.6467
300.0000,666.6667,-1.6904
300.0000,888.8889,-1.7151
300.0000,1111.1111,-1.6942
300.0000,1333.3333,-1.6319
300.0000,1555.5556,-1.6328
300.0000,1777.7778,-1.6788
300.0000,2000.0000,-1.6788
400.0000,0.0000,1.9647
400.0000,222.2222,1.6740
400.0000,444.4444,1.5384
400.0000,666.6667,1.3700
400.0000,888.8889,1.2504
400.0000,1111.1111,1.1934
400.0000,1333.3333,1.1819
400.0000,1555.5556,1.1765
400.0000,1777.7778,1.1753
400.0000,2000.0000,1.1753
500.0000,0.0000,7.6510
500.0000,222.2222,7.3384
500.0000,444.4444,7.1727
500.0000,666.6667,6.8979
500.0000,888.8889,6.8065
500.0000,1111.1111,6.7685
500.0000,1333.3333,6.6734
500.0000,1555.5556,6.7497
500.0000,1777.7778,6.8231
500.0000,2000.0000,6.8231
600.0000,0.0000,12.2550
600.0000,222.2222,11.9857
600.0000,444.4444,11.8473
600.0000,666.6667,11.6190
600.0000,888.8889,11.5862
600.0000,1111.1111,11.6100
600.0000,1333.3333,11.5625
600.0000,1555.5556,11.7332
600.0000,1777.7778,11.8978
600.0000,2000.0000,11.8978
700.0000,0.0000,14.1634
700.0000,222.2222,13.9564
700.0000,444.4444,13.8635
700.0000,666.6667,13.8125
700.0000,888.8889,13.8503
700.0000,1111.1111,13.9394
700.0000,1333.3333,14.0580
700.0000,1555.5556,14.3206
700.0000,1777.7778,14.5610
700.0000,2000.0000,14.5610
800.0000,0.0000,13.9395
800.0000,222.2222,13.7644
800.0000,444.4444,13.6937
800.0000,666.6667,13.7107
800.0000,888.8889,13.7740
800.0000,1111.1111,13.8886
800.0000,1333.3333,14.0858
800.0000,1555.5556,14.3821
800.0000,1777.7778,14.6483
800.0000,2000.0000,14.6483
900.0000,0.0000,13.2472
900.0000,222.2222,13.0846
900.0000,444.4444,13.0220
900.0000,666.6667,13.0710
900.0000,888.8889,13.1355
900.0000,1111.1111,13.2527
900.0000,1333.3333,13.4802
900.0000,1555.5556,13.7750
900.0000,1777.7778,14.0381
900.0000,2000.0000,14.0381
1000.0000,0.0000,12.5669
1000.0000,222.2222,12.4387
1000.0000,444.4444,12.4023
1000.0000,666.6667,12.4505
1000.0000,888.8889,12.5379
1000.0000,1111.1111,12.6732
1000.0000,1333.3333,12.8913
1000.0000,1555.5556,13.1995
1000.0000,1777.7778,13.4679
1000.0000,2000.0000,13.4679
1100.0000,0.0000,11.8139
1100.0000,222.2222,11.7109
1100.0000,444.4444,11.6919
1100.0000,666.6667,11.7585
1100.0000,888.8889,11.8541
1100.0000,1111.1111,11.9937
1100.0000,1333.3333,12.2248
1100.0000,1555.5556,12.5266
1100.0000,1777.7778,12.7788
1100.0000,2000.0000,12.7788
1200.0000,0.0000,10.9614
1200.0000,222.2222,10.8889
1200.0000,444.4444,10.8879
1200.0000,666.6667,10.9755
1200.0000,888.8889,11.0819
1200.0000,1111.1111,11.2259
1200.0000,1333.3333,11.4639
1200.0000,1555.5556,11.7622
1200.0000,1777.7778,11.9916
1200.0000,2000.0000,11.9916
1300.0000,0.0000,10.0843
1300.0000,222.2222,10.0428
1300.0000,444.4444,10.0681
1300.0000,666.6667,10.1682
1300.0000,888.8889,10.2853
1300.0000,1111.1111,10.4314
1300.0000,1333.3333,10.6607
1300.0000,1555.5556,10.9419
1300.0000,1777.7778,11.1475
1300.0000,2000.0000,11.1475
1400.0000,0.0000,9.2642
1400.0000,222.2222,9.2461
1400.0000,444.4444,9.2928
1400.0000,666.6667,9.4190
1400.0000,888.8889,9.5400
1400.0000,1111.1111,9.6792
1400.0000,1333.3333,9.9034
1400.0000,1555.5556,10.1572
1400.0000,1777.7778,10.3354
1400.0000,2000.0000,10.3354
1500.0000,0.0000,8.4785
1500.0000,222.2222,8.4844
1500.0000,444.4444,8.5551
1500.0000,666.6667,8.6991
1500.0000,888.8889,8.8242
1500.0000,1111.1111,8.9566
1500.0000,1333.3333,9.1621
1500.0000,1555.5556,9.3841
1500.0000,1777.7778,9.5330
1500.0000,2000.0000,9.5330
1600.0000,0.0000,7.6604
1600.0000,222.2222,7.6898
1600.0000,444.4444,7.7883
1600.0000,666.6667,7.9462
1600.0000,888.8889,8.0746
1600.0000,1111.1111,8.1990
1600.0000,1333.3333,8.3797
1600.0000,1555.5556,8.5612
1600.0000,1777.7778,8.6747
1600.0000,2000.0000,8.6747
1700.0000,0.0000,6.8272
1700.0000,222.2222,6.8765
1700.0000,444.4444,7.0079
1700.0000,666.6667,7.1759
1700.0000,888.8889,7.3018
1700.0000,1111.1111,7.4137
1700.0000,1333.3333,7.5675
1700.0000,1555.5556,7.6916
1700.0000,1777.7778,7.7601
1700.0000,2000.0000,7.7601
1800.0000,0.0000,6.0631
1800.0000,222.2222,6.1268
1800.0000,444.4444,6.2875
1800.0000,666.6667,6.4690
1800.0000,888.8889,6.5904
1800.0000,1111.1111,6.6775
1800.0000,1333.3333,6.7824
1800.0000,1555.5556,6.8352
1800.0000,1777.7778,6.8647
1800.0000,2000.0000,6.8647
1900.0000,0.0000,5.3570
1900.0000,222.2222,5.4317
1900.0000,444.4444,5.6080
1900.0000,666.6667,5.7920
1900.0000,888.8889,5.9029
1900.0000,1111.1111,5.9537
1900.0000,1333.3333,5.9902
1900.0000,1555.5556,5.9719
1900.0000,1777.7778,5.9576
1900.0000,2000.0000,5.9576
2000.0000,0.0000,4.5180
2000.0000,222.2222,4.6018
2000.0000,444.4444,4.7891
2000.0000,666.6667,4.9560
2000.0000,888.8889,5.0649
2000.0000,1111.1111,5.0955
2000.0000,1333.3333,5.0388
2000.0000,1555.5556,4.9719
2000.0000,1777.7778,4.9419
2000.0000,2000.0000,4.9419
2100.0000,0.0000,3.5354
2100.0000,222.2222,3.6515
2100.0000,444.4444,3.8626
2100.0000,666.6667,4.0315
2100.0000,888.8889,4.1380
2100.0000,1111.1111,4.1477
2100.0000,1333.3333,4.0285
2100.0000,1555.5556,3.8970
2100.0000,1777.7778,3.8290
2100.0000,2000.0000,3.8290
2200.0000,0.0000,3.3746
2200.0000,222.2222,3.4661
2200.0000,444.4444,3.6200
2200.0000,666.6667,3.8010
2200.0000,888.8889,3.8555
2200.0000,1111.1111,3.7783
2200.0000,1333.3333,3.5791
2200.0000,1555.5556,3.3562
2200.0000,1777.7778,3.2263
2200.0000,2000.0000,3.2263
2300.0000,0.0000,3.2075
2300.0000,222.2222,3.2936
2300.0000,444.4444,3.4147
2300.0000,666.6667,3.5526
2300.0000,888.8889,3.5746
2300.0000,1111.1111,3.4301
2300.0000,1333.3333,3.1257
2300.0000,1555.5556,2.8396
2300.0000,1777.7778,2.6666
2300.0000,2000.0000,2.6666
2400.0000,0.0000,2.8868
2400.0000,222.2222,2.9521
2400.0000,444.4444,3.0389
2400.0000,666.6667,3.1817
2400.0000,888.8889,3.1628
2400.0000,1111.1111,2.9528
2400.0000,1333.3333,2.6104
2400.0000,1555.5556,2.2594
2400.0000,1777.7778,2.0429
2400.0000,2000.0000,2.0429
2500.0000,0.0000,2.0751
