y,0,1,2,3,4,5,6,7,8
50.0,-4.2992,-3.9573,-3.6956,-3.7574,-3.6641,-3.5881,-3.8195,-3.9338,-4.2303
150.0,-1.6192,-1.1802,-0.8823,-0.9475,-0.7708,-0.6323,-0.8272,-0.8062,-1.0215
250.0,-1.7968,-1.5712,-1.3798,-1.4513,-1.3525,-1.2539,-1.3185,-1.2981,-1.4265
350.0,-1.6029,-1.6731,-1.6467,-1.6904,-1.7151,-1.6942,-1.6319,-1.6328,-1.6788
450.0,1.9647,1.674,1.5384,1.37,1.2504,1.1934,1.1819,1.1765,1.1753
550.0,7.651,7.3384,7.1727,6.8979,6.8065,6.7685,6.6734,6.7497,6.8231
650.0,12.255,11.9857,11.8473,11.619,11.5862,11.61,11.5625,11.7332,11.8978
750.0,14.1634,13.9564,13.8635,13.8125,13.8503,13.9394,14.058,14.3206,14.561
850.0,13.9395,13.7644,13.6937,13.7107,13.774,13.8886,14.0858,14.3821,14.6483
950.0,13.2472,13.0846,13.022,13.071,13.1355,13.2527,13.4802,13.775,14.0381
1050.0,12.5669,12.4387,12.4023,12.4505,12.5379,12.6732,12.8913,13.1995,13.4679
1150.0,11.8139,11.7109,11.6919,11.7585,11.8541,11.9937,12.2248,12.5266,12.7788
1250.0,10.9614,10.8889,10.8879,10.9755,11.0819,11.2259,11.4639,11.7622,11.9916
1350.0,10.0843,10.0428,10.0681,10.1682,10.2853,10.4314,10.6607,10.9419,11.1475
1450.0,9.2642,9.2461,9.2928,9.419,9.54,9.6792,9.9034,10.1572,10.3354
1550.0,8.4785,8.4844,8.5551,8.6991,8.8242,8.9566,9.1621,9.3841,9.533
1650.0,7.6604,7.6898,7.7883,7.9462,8.0746,8.199,8.3797,8.5612,8.6747
1750.0,6.8272,6.8765,7.0079,7.1759,7.3018,7.4137,7.5675,7.6916,7.7601
1850.0,6.0631,6.1268,6.2875,6.469,6.5904,6.6775,6.7824,6.8352,6.8647
1950.0,5.357,5.4317,5.608,5.792,5.9029,5.9537,5.9902,5.9719,5.9576
2050.0,4.518,4.6018,4.7891,4.956,5.0649,5.0955,5.0388,4.9719,4.9419
2150.0,3.5354,3.6515,3.8626,4.0315,4.138,4.1477,4.0285,3.897,3.829
2250.0,3.3746,3.4661,3.62,3.801,3.8555,3.7783,3.5791,3.3562,3.2263
2350.0,3.2075,3.2936,3.4147,3.5526,3.5746,3.4301,3.1257,2.8396,2.6666
2450.0,2.8868,2.9521,3.0389,3.1817,3.1628,2.9528,2.6104,2.2594,2.0429
2550.0,2.0751,2.1416,2.2254,2.3761,2.3484,2.1103,1.7657,1.3777,1.1482
2650.0,1.4371,1.5163,1.5984,1.6818,1.6779,1.4124,1.0105,0.606,0.3709
2750.0,1.1448,1.214,1.2633,1.253,1.2278,0.911,0.4501,0.0235,-0.2356
2850.0,0.5119,0.5666,0.5929,0.5252,0.4629,0.124,-0.3552,-0.8009,-1.0644
2950.0,0.0253,0.0383,0.0067,-0.0751,-0.2013,-0.578,-1.037,-1.5134,-1.8054
3050.0,-0.283,-0.3039,-0.387,-0.54,-0.7311,-1.1184,-1.5917,-2.0883,-2.4073
3150.0,-0.4852,-0.5537,-0.699,-0.8738,-1.1783,-1.5565,-1.9741,-2.5088,-2.8772
3250.0,-0.8384,-0.9441,-1.1191,-1.3274,-1.7447,-2.0877,-2.459,-3.0081,-3.3918
3350.0,-1.2274,-1.3484,-1.5431,-1.7996,-2.2675,-2.5815,-2.9258,-3.4549,-3.8296
3450.0,-2.0049,-2.1228,-2.3228,-2.5742,-3.0477,-3.3115,-3.5656,-4.0378,-4.3786
3550.0,-2.8355,-2.962,-3.2002,-3.3932,-3.886,-4.1344,-4.2031,-4.6338,-4.9786
3650.0,-3.6765,-3.7835,-4.0071,-4.2198,-4.7109,-4.9067,-4.8118,-5.1879,-5.5076
3750.0,-4.4922,-4.5766,-4.782,-5.0123,-5.4478,-5.6147,-5.441,-5.7253,-5.9972
3850.0,-5.5892,-5.6591,-5.8406,-6.0497,-6.4312,-6.5452,-6.2827,-6.4729,-6.6918
3950.0,-6.7842,-6.8302,-6.9925,-7.1738,-7.4766,-7.5209,-7.1979,-7.2584,-7.4105
4050.0,-8.0692,-8.0862,-8.2401,-8.3754,-8.5717,-8.5551,-8.1986,-8.0881,-8.1794
4150.0,-9.5781,-9.578,-9.7025,-9.7595,-9.8208,-9.7373,-9.399,-9.1367,-9.135
4250.0,-11.2163,-11.2049,-11.2839,-11.2644,-11.2103,-11.0574,-10.7127,-10.3471,-10.2559
4350.0,-12.9442,-12.9345,-12.9731,-12.864,-12.7102,-12.5032,-12.1352,-11.7014,-11.5234
4450.0,-14.8172,-14.815,-14.799,-14.6314,-14.3574,-14.0886,-13.7723,-13.2804,-12.9663
4550.0,-16.7318,-16.7475,-16.6739,-16.4251,-16.0717,-15.7506,-15.4351,-14.954,-14.5581
4650.0,-18.66,-18.6729,-18.5544,-18.2556,-17.8423,-17.4796,-17.1673,-16.6871,-16.2602
4750.0,-20.5572,-20.5646,-20.4196,-20.0866,-19.6442,-19.2601,-18.9397,-18.4725,-18.0548
4850.0,-22.4335,-22.4246,-22.2561,-21.924,-21.4694,-21.1391,-20.7498,-20.3092,-19.9272
4950.0,-24.3173,-24.3005,-24.1409,-23.7925,-23.3879,-23.0115,-22.6249,-22.2513,-21.895
