y,x,val
0.0000,0.0000,1515.5856
0.0000,222.2222,1516.0846
0.0000,444.4444,1516.2435
0.0000,666.6667,1516.5879
0.0000,888.8889,1517.5424
0.0000,1111.1111,1519.1207
0.0000,1333.3333,1520.6660
0.0000,1555.5556,1521.3649
0.0000,1777.7778,1520.9321
0.0000,2000.0000,1520.9321
100.0000,0.0000,1514.2142
100.0000,222.2222,1514.6346
100.0000,444.4444,1514.6156
100.0000,666.6667,1514.7064
100.0000,888.8889,1515.3567
100.0000,1111.1111,1516.8216
100.0000,1333.3333,1518.4744
100.0000,1555.5556,1519.4417
100.0000,1777.7778,1519.1728
100.0000,2000.0000,1519.1728
200.0000,0.0000,1510.6849
200.0000,222.2222,1510.9036
200.0000,444.4444,1510.7217
200.0000,666.6667,1510.6203
200.0000,888.8889,1510.9389
200.0000,1111.1111,1512.0717
200.0000,1333.3333,1513.5483
200.0000,1555.5556,1514.6464
200.0000,1777.7778,1514.6715
200.0000,2000.0000,1514.6715
300.0000,0.0000,1505.6042
300.0000,222.2222,1505.6249
300.0000,444.4444,1505.3517
300.0000,666.6667,1505.1522
300.0000,888.8889,1505.2476
300.0000,1111.1111,1505.9547
300.0000,1333.3333,1507.0969
300.0000,1555.5556,1508.1335
300.0000,1777.7778,1508.3841
300.0000,2000.0000,1508.3841
400.0000,0.0000,1499.6758
400.0000,222.2222,1499.5427
400.0000,444.4444,1499.2817
400.0000,666.6667,1499.0886
400.0000,888.8889,1499.0206
400.0000,1111.1111,1499.3218
400.0000,1333.3333,1500.0315
400.0000,1555.5556,1500.8495
400.0000,1777.7778,1501.2321
400.0000,2000.0000,1501.2321
500.0000,0.0000,1493.6654
500.0000,222.2222,1493.4468
500.0000,444.4444,1493.3096
500.0000,666.6667,1493.2466
500.0000,888.8889,1493.1085
500.0000,1111.1111,1493.0162
500.0000,1333.3333,1493.1857
500.0000,1555.5556,1493.6281
500.0000,1777.7778,1494.0555
500.0000,2000.0000,1494.0555
600.0000,0.0000,1488.4374
600.0000,222.2222,1488.2133
600.0000,444.4444,1488.2223
600.0000,666.6667,1488.3525
600.0000,888.8889,1488.2743
600.0000,1111.1111,1487.8715
600.0000,1333.3333,1487.4152
600.0000,1555.5556,1487.2384
600.0000,1777.7778,1487.6480
600.0000,2000.0000,1487.6480
700.0000,0.0000,1484.5113
700.0000,222.2222,1484.2942
700.0000,444.4444,1484.4156
700.0000,666.6667,1484.7171
700.0000,888.8889,1484.7510
700.0000,1111.1111,1484.1969
700.0000,1333.3333,1483.2988
700.0000,1555.5556,1482.5454
700.0000,1777.7778,1482.7804
700.0000,2000.0000,1482.7804
800.0000,0.0000,1482.0726
800.0000,222.2222,1481.9031
800.0000,444.4444,1482.0980
800.0000,666.6667,1482.5349
800.0000,888.8889,1482.6996
800.0000,1111.1111,1482.1190
800.0000,1333.3333,1480.8951
800.0000,1555.5556,1479.6955
800.0000,1777.7778,1479.6850
800.0000,2000.0000,1479.6850
900.0000,0.0000,1480.9758
900.0000,222.2222,1480.8725
900.0000,444.4444,1481.1008
900.0000,666.6667,1481.6400
900.0000,888.8889,1481.9652
900.0000,1111.1111,1481.4652
900.0000,1333.3333,1480.0898
900.0000,1555.5556,1478.5687
900.0000,1777.7778,1478.2685
900.0000,2000.0000,1478.2685
1000.0000,0.0000,1480.8705
1000.0000,222.2222,1480.7984
1000.0000,444.4444,1480.9791
1000.0000,666.6667,1481.5756
1000.0000,888.8889,1482.1219
1000.0000,1111.1111,1481.8766
1000.0000,1333.3333,1480.5778
1000.0000,1555.5556,1478.8902
1000.0000,1777.7778,1478.2597
1000.0000,2000.0000,1478.2597
1100.0000,0.0000,1481.2160
1100.0000,222.2222,1481.0278
1100.0000,444.4444,1481.0623
1100.0000,666.6667,1481.6329
1100.0000,888.8889,1482.4063
1100.0000,1111.1111,1482.6155
1100.0000,1333.3333,1481.7665
1100.0000,1555.5556,1480.2340
1100.0000,1777.7778,1479.3722
1100.0000,2000.0000,1479.3722
1200.0000,0.0000,1481.9252
1200.0000,222.2222,1481.6324
1200.0000,444.4444,1481.5299
1200.0000,666.6667,1482.0555
1200.0000,888.8889,1483.0060
1200.0000,1111.1111,1483.6272
1200.0000,1333.3333,1483.2635
1200.0000,1555.5556,1482.0100
1200.0000,1777.7778,1481.1475
1200.0000,2000.0000,1481.1475
1300.0000,0.0000,1483.0014
1300.0000,222.2222,1482.6546
1300.0000,444.4444,1482.4519
1300.0000,666.6667,1482.9187
1300.0000,888.8889,1483.9595
1300.0000,1111.1111,1484.8984
1300.0000,1333.3333,1484.9739
1300.0000,1555.5556,1484.0517
1300.0000,1777.7778,1483.2983
1300.0000,2000.0000,1483.2983
1400.0000,0.0000,1484.3910
1400.0000,222.2222,1484.0167
1400.0000,444.4444,1483.7130
1400.0000,666.6667,1484.0696
1400.0000,888.8889,1485.1059
1400.0000,1111.1111,1486.2535
1400.0000,1333.3333,1486.7150
1400.0000,1555.5556,1486.1245
1400.0000,1777.7778,1485.5481
1400.0000,2000.0000,1485.5481
1500.0000,0.0000,1486.0443
1500.0000,222.2222,1485.6658
1500.0000,444.4444,1485.2454
1500.0000,666.6667,1485.4053
1500.0000,888.8889,1486.2813
1500.0000,1111.1111,1487.4586
1500.0000,1333.3333,1488.1932
1500.0000,1555.5556,1487.9853
1500.0000,1777.7778,1487.7235
