y,x,val
0.0000,0.0000,-27.1070
0.0000,222.2222,-27.2553
0.0000,444.4444,-27.3596
0.0000,666.6667,-27.6563
0.0000,888.8889,-27.7235
0.0000,1111.1111,-27.7571
0.0000,1333.3333,-28.0272
0.0000,1555.5556,-28.0604
0.0000,1777.7778,-28.0422
0.0000,2000.0000,-28.0422
100.0000,0.0000,-23.4835
100.0000,222.2222,-23.5440
100.0000,444.4444,-23.6072
100.0000,666.6667,-23.8915
100.0000,888.8889,-23.8731
100.0000,1111.1111,-23.8599
100.0000,1333.3333,-24.1266
100.0000,1555.5556,-24.0807
100.0000,1777.7778,-24.0110
100.0000,2000.0000,-24.0110
200.0000,0.0000,-21.3569
200.0000,222.2222,-21.5045
200.0000,444.4444,-21.6324
200.0000,666.6667,-21.9165
200.0000,888.8889,-21.9862
200.0000,1111.1111,-22.0398
200.0000,1333.3333,-22.2300
200.0000,1555.5556,-22.2805
200.0000,1777.7778,-22.2810
200.0000,2000.0000,-22.2810
300.0000,0.0000,-18.0776
300.0000,222.2222,-18.3580
300.0000,444.4444,-18.5920
300.0000,666.6667,-18.8403
300.0000,888.8889,-19.0471
300.0000,1111.1111,-19.2098
300.0000,1333.3333,-19.3353
300.0000,1555.5556,-19.5169
300.0000,1777.7778,-19.6226
300.0000,2000.0000,-19.6226
400.0000,0.0000,-11.2990
400.0000,222.2222,-11.6798
400.0000,444.4444,-12.0218
400.0000,666.6667,-12.3809
400.0000,888.8889,-12.6902
400.0000,1111.1111,-12.9582
400.0000,1333.3333,-13.2125
400.0000,1555.5556,-13.4906
400.0000,1777.7778,-13.6920
400.0000,2000.0000,-13.6920
500.0000,0.0000,-2.6802
500.0000,222.2222,-3.0246
500.0000,444.4444,-3.3595
500.0000,666.6667,-3.8086
500.0000,888.8889,-4.0887
500.0000,1111.1111,-4.3542
500.0000,1333.3333,-4.7309
500.0000,1555.5556,-4.9879
500.0000,1777.7778,-5.1930
500.0000,2000.0000,-5.1930
600.0000,0.0000,4.4312
600.0000,222.2222,4.1481
600.0000,444.4444,3.8614
600.0000,666.6667,3.4732
600.0000,888.8889,3.2575
600.0000,1111.1111,3.0470
600.0000,1333.3333,2.6957
600.0000,1555.5556,2.5003
600.0000,1777.7778,2.3527
600.0000,2000.0000,2.3527
700.0000,0.0000,8.4126
700.0000,222.2222,8.1967
700.0000,444.4444,7.9660
700.0000,666.6667,7.7650
700.0000,888.8889,7.6260
700.0000,1111.1111,7.4795
700.0000,1333.3333,7.2846
700.0000,1555.5556,7.1661
700.0000,1777.7778,7.0818
700.0000,2000.0000,7.0818
800.0000,0.0000,9.8324
800.0000,222.2222,9.6478
800.0000,444.4444,9.4440
800.0000,666.6667,9.3175
800.0000,888.8889,9.2097
800.0000,1111.1111,9.0909
800.0000,1333.3333,8.9727
800.0000,1555.5556,8.8843
800.0000,1777.7778,8.8244
800.0000,2000.0000,8.8244
900.0000,0.0000,10.3667
900.0000,222.2222,10.1906
900.0000,444.4444,9.9963
900.0000,666.6667,9.9069
900.0000,888.8889,9.8059
900.0000,1111.1111,9.6944
900.0000,1333.3333,9.6102
900.0000,1555.5556,9.5240
900.0000,1777.7778,9.4662
900.0000,2000.0000,9.4662
1000.0000,0.0000,10.5136
1000.0000,222.2222,10.3649
1000.0000,444.4444,10.1969
1000.0000,666.6667,10.1113
1000.0000,888.8889,10.0399
1000.0000,1111.1111,9.9536
1000.0000,1333.3333,9.8674
1000.0000,1555.5556,9.8032
1000.0000,1777.7778,9.7615
1000.0000,2000.0000,9.7615
1100.0000,0.0000,10.2109
1100.0000,222.2222,10.0771
1100.0000,444.4444,9.9271
1100.0000,666.6667,9.8659
1100.0000,888.8889,9.8109
1100.0000,1111.1111,9.7385
1100.0000,1333.3333,9.6760
1100.0000,1555.5556,9.6180
1100.0000,1777.7778,9.5766
1100.0000,2000.0000,9.5766
1200.0000,0.0000,9.4606
1200.0000,222.2222,9.3426
1200.0000,444.4444,9.2139
1200.0000,666.6667,9.1819
1200.0000,888.8889,9.1485
1200.0000,1111.1111,9.0929
1200.0000,1333.3333,9.0516
1200.0000,1555.5556,9.0066
1200.0000,1777.7778,8.9659
1200.0000,2000.0000,8.9659
1300.0000,0.0000,8.3703
1300.0000,222.2222,8.2731
1300.0000,444.4444,8.1726
1300.0000,666.6667,8.1620
1300.0000,888.8889,8.1520
1300.0000,1111.1111,8.1154
1300.0000,1333.3333,8.0864
1300.0000,1555.5556,8.0494
1300.0000,1777.7778,8.0120
1300.0000,2000.0000,8.0120
1400.0000,0.0000,7.0350
1400.0000,222.2222,6.9644
1400.0000,444.4444,6.8953
1400.0000,666.6667,6.9239
1400.0000,888.8889,6.9349
1400.0000,1111.1111,6.9134
1400.0000,1333.3333,6.9067
1400.0000,1555.5556,6.8740
1400.0000,1777.7778,6.8388
1400.0000,2000.0000,6.8388
1500.0000,0.0000,5.4521
1500.0000,222.2222,5.4321
1500.0000,444.4444,5.4101
1500.0000,666.6667,5.4773
1500.0000,888.8889,5.5165
1500.0000,1111.1111,5.5175
1500.0000,1333.3333,5.5271
1500.0000,1555.5556,5.5017
1500.0000,1777.7778,5.4732
1500.0000,2000.0000,5.4732
1600.0000,0.0000,3.5760
1600.0000,222.2222,3.6450
1600.0000,444.4444,3.6887
1600.0000,666.6667,3.8028
1600.0000,888.8889,3.8811
1600.0000,1111.1111,3.9144
1600.0000,1333.3333,3.9441
1600.0000,1555.5556,3.9291
1600.0000,1777.7778,3.9117
1600.0000,2000.0000,3.9117
1700.0000,0.0000,1.4587
1700.0000,222.2222,1.6247
1700.0000,444.4444,1.7813
1700.0000,666.6667,1.9653
1700.0000,888.8889,2.0979
1700.0000,1111.1111,2.1763
1700.0000,1333.3333,2.2381
1700.0000,1555.5556,2.2321
1700.0000,1777.7778,2.2305
1700.0000,2000.0000,2.2305
1800.0000,0.0000,-0.6703
1800.0000,222.2222,-0.4475
1800.0000,444.4444,-0.1649
1800.0000,666.6667,0.1199
1800.0000,888.8889,0.3285
1800.0000,1111.1111,0.4623
1800.0000,1333.3333,0.5597
1800.0000,1555.5556,0.5703
1800.0000,1777.7778,0.5922
1800.0000,2000.0000,0.5922
1900.0000,0.0000,-2.6492
1900.0000,222.2222,-2.4000
1900.0000,444.4444,-2.0261
1900.0000,666.6667,-1.6552
1900.0000,888.8889,-1.3708
1900.0000,1111.1111,-1.1823
1900.0000,1333.3333,-1.0546
1900.0000,1555.5556,-1.0195
1900.0000,1777.7778,-0.9759
1900.0000,2000.0000,-0.9759
2000.0000,0.0000,-4.5421
2000.0000,222.2222,-4.2844
2000.0000,444.4444,-3.8462
2000.0000,666.6667,-3.4320
2000.0000,888.8889,-3.0735
2000.0000,1111.1111,-2.8171
2000.0000,1333.3333,-2.6783
2000.0000,1555.5556,-2.5896
2000.0000,1777.7778,-2.4918
2000.0000,2000.0000,-2.4918
2100.0000,0.0000,-6.2576
2100.0000,222.2222,-5.9784
2100.0000,444.4444,-5.4739
2100.0000,666.6667,-5.0300
2100.0000,888.8889,-4.6137
2100.0000,1111.1111,-4.3022
2100.0000,1333.3333,-4.1200
2100.0000,1555.5556,-3.9875
2100.0000,1777.7778,-3.8549
2100.0000,2000.0000,-3.8549
2200.0000,0.0000,-6.7442
2200.0000,222.2222,-6.5097
2200.0000,444.4444,-6.0264
2200.0000,666.6667,-5.5586
2200.0000,888.8889,-5.1519
2200.0000,1111.1111,-4.8524
2200.0000,1333.3333,-4.6516
2200.0000,1555.5556,-4.5045
2200.0000,1777.7778,-4.3727
2200.0000,2000.0000,-4.3727
2300.0000,0.0000,-6.7625
2300.0000,222.2222,-6.5618
2300.0000,444.4444,-6.1050
2300.0000,666.6667,-5.6771
