y,0,1,2,3,4,5,6,7,8
50.0,1489.4591,1489.3728,1489.2721,1489.2283,1489.19,1489.1515,1489.1355,1489.1235,1489.1297
150.0,1489.5201,1489.4065,1489.2837,1489.253,1489.2172,1489.1724,1489.1607,1489.1451,1489.1532
250.0,1489.6178,1489.4915,1489.3568,1489.3283,1489.2928,1489.2453,1489.2337,1489.2161,1489.2233
350.0,1489.7549,1489.6238,1489.4828,1489.4525,1489.4156,1489.3658,1489.3525,1489.3328,1489.3381
450.0,1489.9292,1489.7972,1489.653,1489.6201,1489.5808,1489.5285,1489.5129,1489.4905,1489.4934
550.0,1490.1352,1490.0043,1489.8588,1489.8237,1489.7819,1489.7269,1489.7086,1489.6834,1489.6833
650.0,1490.3648,1490.2363,1490.0907,1490.0543,1490.0106,1489.9533,1489.9325,1489.9044,1489.9011
750.0,1490.6088,1490.4835,1490.3391,1490.3025,1490.2578,1490.1991,1490.1763,1490.1456,1490.139
850.0,1490.857,1490.7354,1490.5934,1490.5582,1490.5141,1490.4553,1490.4314,1490.3987,1490.389
950.0,1491.0988,1490.9815,1490.8434,1490.8115,1490.77,1490.7129,1490.6895,1490.6555,1490.6428
1050.0,1491.3239,1491.2113,1491.0791,1491.0532,1491.0168,1490.9636,1490.9424,1490.9081,1490.8922
1150.0,1491.5227,1491.4151,1491.2917,1491.275,1491.2467,1491.1998,1491.1828,1491.1495,1491.1295
1250.0,1491.6867,1491.5846,1491.4746,1491.4712,1491.4539,1491.4154,1491.404,1491.3733,1491.3467
1350.0,1491.8078,1491.7169,1491.6247,1491.6385,1491.635,1491.6062,1491.5999,1491.569,1491.5379
1450.0,1491.8691,1491.802,1491.7381,1491.7757,1491.7905,1491.7744,1491.775,1491.7455,1491.7145
1550.0,1491.8533,1491.8336,1491.8137,1491.8842,1491.9242,1491.927,1491.9394,1491.9145,1491.8877
1650.0,1491.7405,1491.8086,1491.8514,1491.967,1492.0435,1492.0755,1492.1078,1492.0907,1492.0721
1750.0,1491.5235,1491.6894,1491.8438,1492.0297,1492.1614,1492.2371,1492.3009,1492.2932,1492.289
1850.0,1491.3083,1491.5304,1491.8104,1492.0984,1492.3069,1492.4386,1492.539,1492.5498,1492.5709
1950.0,1491.2383,1491.4903,1491.866,1492.2516,1492.5403,1492.7324,1492.8756,1492.9167,1492.9656
2050.0,1491.4106,1491.6759,1492.1165,1492.5777,1492.9349,1493.1825,1493.3685,1493.4468,1493.5264
2150.0,1491.8984,1492.1654,1492.6463,1493.156,1493.5619,1493.853,1494.075,1494.1952,1494.3087
2250.0,1492.7613,1493.0184,1493.5213,1494.0501,1494.4824,1494.8038,1495.0494,1495.2191,1495.3693
2350.0,1494.0528,1494.2847,1494.7835,1495.3075,1495.7434,1496.0815,1496.3555,1496.5811,1496.7599
2450.0,1495.8236,1496.0206,1496.4826,1496.9709,1497.3838,1497.7254,1498.0281,1498.2988,1498.5039
2550.0,1498.1191,1498.2662,1498.6607,1499.0785,1499.4331,1499.761,1500.088,1500.3976,1500.6255
2650.0,1500.9747,1501.0559,1501.3592,1501.6718,1501.9192,1502.2079,1502.5526,1502.8973,1503.1418
2750.0,1504.3924,1504.4377,1504.6323,1504.8083,1504.8983,1505.0864,1505.4349,1505.8056,1506.052
2850.0,1508.2155,1508.2488,1508.3405,1508.3686,1508.301,1508.3901,1508.7372,1509.1027,1509.3161
