y,x,val
0.0000,0.0000,-20.7234
0.0000,222.2222,-20.7229
0.0000,444.4444,-20.6729
0.0000,666.6667,-20.7897
0.0000,888.8889,-20.6367
0.0000,1111.1111,-20.4714
0.0000,1333.3333,-20.6202
0.0000,1555.5556,-20.6303
0.0000,1777.7778,-20.6384
0.0000,2000.0000,-20.6384
100.0000,0.0000,-17.3136
100.0000,222.2222,-17.2098
100.0000,444.4444,-17.1070
100.0000,666.6667,-17.1900
100.0000,888.8889,-16.9133
100.0000,1111.1111,-16.6791
100.0000,1333.3333,-16.8256
100.0000,1555.5556,-16.7747
100.0000,1777.7778,-16.7302
100.0000,2000.0000,-16.7302
200.0000,0.0000,-15.6560
200.0000,222.2222,-15.6363
200.0000,444.4444,-15.5780
200.0000,666.6667,-15.6288
200.0000,888.8889,-15.4060
200.0000,1111.1111,-15.2227
200.0000,1333.3333,-15.2990
200.0000,1555.5556,-15.3504
200.0000,1777.7778,-15.3707
200.0000,2000.0000,-15.3707
300.0000,0.0000,-13.0610
300.0000,222.2222,-13.1748
300.0000,444.4444,-13.2036
300.0000,666.6667,-13.1888
300.0000,888.8889,-13.0753
300.0000,1111.1111,-12.9913
300.0000,1333.3333,-13.0183
300.0000,1555.5556,-13.1989
300.0000,1777.7778,-13.3153
300.0000,2000.0000,-13.3153
400.0000,0.0000,-7.1444
400.0000,222.2222,-7.3623
400.0000,444.4444,-7.4847
400.0000,666.6667,-7.5556
400.0000,888.8889,-7.5212
400.0000,1111.1111,-7.5298
400.0000,1333.3333,-7.7035
400.0000,1555.5556,-7.9869
400.0000,1777.7778,-8.1922
400.0000,2000.0000,-8.1922
500.0000,0.0000,0.4717
500.0000,222.2222,0.2825
500.0000,444.4444,0.1745
500.0000,666.6667,0.0310
500.0000,888.8889,0.1075
500.0000,1111.1111,0.1050
500.0000,1333.3333,-0.2031
500.0000,1555.5556,-0.4733
500.0000,1777.7778,-0.6755
500.0000,2000.0000,-0.6755
600.0000,0.0000,6.4802
600.0000,222.2222,6.3390
600.0000,444.4444,6.2766
600.0000,666.6667,6.2007
600.0000,888.8889,6.3455
600.0000,1111.1111,6.3951
600.0000,1333.3333,6.1012
600.0000,1555.5556,5.8832
600.0000,1777.7778,5.7478
600.0000,2000.0000,5.7478
700.0000,0.0000,9.3041
700.0000,222.2222,9.2127
700.0000,444.4444,9.1954
700.0000,666.6667,9.3010
700.0000,888.8889,9.5164
700.0000,1111.1111,9.6217
700.0000,1333.3333,9.4721
700.0000,1555.5556,9.3170
700.0000,1777.7778,9.2582
700.0000,2000.0000,9.2582
800.0000,0.0000,9.5622
800.0000,222.2222,9.4803
800.0000,444.4444,9.4705
800.0000,666.6667,9.6328
800.0000,888.8889,9.8628
800.0000,1111.1111,9.9833
800.0000,1333.3333,9.9023
800.0000,1555.5556,9.7644
800.0000,1777.7778,9.7396
800.0000,2000.0000,9.7396
900.0000,0.0000,8.9842
900.0000,222.2222,8.8855
900.0000,444.4444,8.8569
900.0000,666.6667,9.0252
900.0000,888.8889,9.2312
900.0000,1111.1111,9.3371
900.0000,1333.3333,9.2770
900.0000,1555.5556,9.1353
900.0000,1777.7778,9.1250
900.0000,2000.0000,9.1250
1000.0000,0.0000,8.1247
1000.0000,222.2222,8.0254
1000.0000,444.4444,7.9864
1000.0000,666.6667,8.1144
1000.0000,888.8889,8.3014
1000.0000,1111.1111,8.3993
1000.0000,1333.3333,8.3173
1000.0000,1555.5556,8.1943
1000.0000,1777.7778,8.2183
1000.0000,2000.0000,8.2183
1100.0000,0.0000,6.9792
1100.0000,222.2222,6.8660
1100.0000,444.4444,6.8003
1100.0000,666.6667,6.8985
1100.0000,888.8889,7.0391
1100.0000,1111.1111,7.1010
1100.0000,1333.3333,7.0120
1100.0000,1555.5556,6.8898
1100.0000,1777.7778,6.9408
1100.0000,2000.0000,6.9408
1200.0000,0.0000,5.6057
1200.0000,222.2222,5.4809
1200.0000,444.4444,5.3805
1200.0000,666.6667,5.4406
1200.0000,888.8889,5.5303
1200.0000,1111.1111,5.5472
1200.0000,1333.3333,5.4391
1200.0000,1555.5556,5.3179
1200.0000,1777.7778,5.4071
1200.0000,2000.0000,5.4071
1300.0000,0.0000,4.1687
1300.0000,222.2222,4.0296
1300.0000,444.4444,3.8982
1300.0000,666.6667,3.9049
1300.0000,888.8889,3.9381
1300.0000,1111.1111,3.9043
1300.0000,1333.3333,3.7684
1300.0000,1555.5556,3.6529
1300.0000,1777.7778,3.7807
1300.0000,2000.0000,3.7807
1400.0000,0.0000,2.8466
1400.0000,222.2222,2.6850
1400.0000,444.4444,2.5158
1400.0000,666.6667,2.4797
1400.0000,888.8889,2.4456
1400.0000,1111.1111,2.3461
1400.0000,1333.3333,2.1901
1400.0000,1555.5556,2.0775
1400.0000,1777.7778,2.2369
1400.0000,2000.0000,2.2369
1500.0000,0.0000,1.7083
1500.0000,222.2222,1.5312
1500.0000,444.4444,1.3320
1500.0000,666.6667,1.2500
1500.0000,888.8889,1.1514
1500.0000,1111.1111,0.9770
1500.0000,1333.3333,0.7891
1500.0000,1555.5556,0.6802
1500.0000,1777.7778,0.8725
1500.0000,2000.0000,0.8725
1600.0000,0.0000,0.7637
1600.0000,222.2222,0.5902
