y,0,1,2,3,4,5,6,7,8
50.0,1493.3179,1493.1875,1493.0814,1493.0262,1493.0466,1493.1317,1493.4208,1493.6473,1493.7773
150.0,1493.4204,1493.2606,1493.1586,1493.1016,1493.1076,1493.1229,1493.4471,1493.6703,1493.8208
250.0,1493.5506,1493.3946,1493.2982,1493.2338,1493.2065,1493.1543,1493.4384,1493.6389,1493.7876
350.0,1493.6541,1493.5106,1493.4187,1493.3436,1493.2793,1493.1597,1493.3623,1493.5282,1493.6652
450.0,1493.679,1493.5479,1493.4603,1493.3772,1493.2837,1493.1127,1493.2244,1493.3312,1493.4446
550.0,1493.5839,1493.4615,1493.3772,1493.2898,1493.1684,1492.9463,1492.9803,1493.0232,1493.1111
650.0,1493.3423,1493.2234,1493.1398,1493.0509,1492.9095,1492.6439,1492.6116,1492.5889,1492.6578
750.0,1492.9444,1492.8263,1492.7457,1492.6596,1492.5098,1492.2165,1492.1319,1492.0373,1492.0983
850.0,1492.3944,1492.2749,1492.2013,1492.1271,1491.9857,1491.6892,1491.5845,1491.4297,1491.4732
950.0,1491.7094,1491.5865,1491.5244,1491.4725,1491.3562,1491.0729,1490.9619,1490.7756,1490.8066
1050.0,1490.9202,1490.7916,1490.7452,1490.7268,1490.6555,1490.4038,1490.3058,1490.1098,1490.1321
1150.0,1490.0728,1489.9366,1489.9094,1489.9336,1489.9268,1489.7354,1489.6809,1489.4998,1489.5083
1250.0,1489.2294,1489.0851,1489.0828,1489.164,1489.2392,1489.1364,1489.1625,1489.0412,1489.0369
1350.0,1488.4696,1488.3133,1488.3447,1488.4973,1488.6707,1488.6756,1488.7976,1488.742,1488.7559
1450.0,1487.9036,1487.7291,1487.7993,1488.0344,1488.3194,1488.4474,1488.6767,1488.6986,1488.757
1550.0,1487.6607,1487.4641,1487.5791,1487.904,1488.3077,1488.5698,1488.9118,1489.017,1489.1315
1650.0,1487.8922,1487.6815,1487.8543,1488.2721,1488.7865,1489.1748,1489.6264,1489.799,1489.9632
1750.0,1488.7599,1488.5955,1488.8527,1489.3611,1489.9674,1490.4457,1490.971,1491.1469,1491.2957
1850.0,1490.1841,1490.0703,1490.3937,1490.9703,1491.6379,1492.1618,1492.7036,1492.848,1492.9747
1950.0,1492.0117,1491.9473,1492.3145,1492.9309,1493.6272,1494.1591,1494.6816,1494.7853,1494.8752
2050.0,1494.1037,1494.0814,1494.4678,1495.0973,1495.7945,1496.3045,1496.778,1496.8308,1496.8826
2150.0,1496.3343,1496.3483,1496.7222,1497.3419,1498.0193,1498.4853,1498.8765,1498.8707,1498.8969
2250.0,1498.5877,1498.6441,1498.9624,1499.5546,1500.1934,1500.6026,1500.8725,1500.8216,1500.8416
2350.0,1500.7518,1500.8579,1501.1223,1501.649,1502.2084,1502.5178,1502.6746,1502.6251,1502.6503
2450.0,1502.7655,1502.8946,1503.1165,1503.5559,1504.0107,1504.2018,1504.2724,1504.227,1504.2602
2550.0,1504.5718,1504.7127,1504.8992,1505.2296,1505.571,1505.6238,1505.6193,1505.5966,1505.6476
2650.0,1506.1286,1506.2798,1506.451,1506.6385,1506.8791,1506.7671,1506.7134,1506.7474,1506.819
2750.0,1507.4127,1507.5557,1507.7353,1507.7889,1507.8902,1507.636,1507.5992,1507.702,1507.7885
2850.0,1508.4623,1508.589,1508.7438,1508.6919,1508.6618,1508.3123,1508.2917,1508.4512,1508.5694
2950.0,1509.322,1509.4265,1509.5449,1509.4038,1509.2439,1508.8245,1508.832,1509.0458,1509.2051
3050.0,1510.0482,1510.1306,1510.2208,1510.0115,1509.6918,1509.226,1509.2899,1509.5631,1509.7652
3150.0,1510.7096,1510.7698,1510.8474,1510.6175,1510.0623,1509.5864,1509.7491,1510.09,1510.3309
3250.0,1511.3985,1511.4191,1511.4669,1511.2326,1510.5068,1510.0807,1510.3418,1510.7185,1510.9866
3350.0,1512.2699,1512.258,1512.2845,1512.0226,1511.2164,1510.8177,1511.1331,1511.5344,1511.8227
3450.0,1513.4857,1513.5068,1513.5285,1513.2194,1512.3483,1511.9284,1512.2454,1512.6414,1512.9167
3550.0,1514.981,1515.0536,1515.0743,1514.6896,1513.7709,1513.3125,1513.6179,1513.9941,1514.2454
3650.0,1516.6392,1516.7763,1516.8024,1516.3018,1515.3952,1514.9019,1515.2029,1515.5464,1515.7658
3750.0,1518.3276,1518.497,1518.5002,1517.9261,1517.1881,1516.7224,1516.9605,1517.2429,1517.4246
3850.0,1520.0107,1520.192,1520.1768,1519.6117,1519.0149,1518.6138,1518.8047,1519.0296,1519.1711
3950.0,1521.6486,1521.8362,1521.7942,1521.2737,1520.833,1520.5308,1520.6618,1520.8408,1520.9455
4050.0,1523.186,1523.3792,1523.2802,1522.8287,1522.609,1522.4649,1522.4709,1522.6222,1522.6915
4150.0,1524.5467,1524.6901,1524.5602,1524.2872,1524.3012,1524.3319,1524.2389,1524.3322,1524.3606
4250.0,1525.7271,1525.8246,1525.713,1525.6236,1525.853,1526.0271,1525.9117,1525.9342,1525.9192
4350.0,1526.7492,1526.7793,1526.6981,1526.8179,1527.2467,1527.5482,1527.4513,1527.3773,1527.3237
4450.0,1527.6294,1527.5346,1527.4758,1527.8682,1528.4682,1528.8771,1528.8425,1528.6115,1528.5418
4550.0,1528.3205,1528.1384,1528.1584,1528.7758,1529.4617,1529.9236,1530.0007,1529.6678,1529.5711
4650.0,1528.8549,1528.6536,1528.7388,1529.479,1530.2274,1530.7331,1530.8703,1530.5112,1530.3978
