y,x,val
0.0000,0.0000,1501.8570
0.0000,222.2222,1502.0254
0.0000,444.4444,1502.1924
0.0000,666.6667,1502.3164
0.0000,888.8889,1502.4013
0.0000,1111.1111,1502.4685
0.0000,1333.3333,1502.5464
0.0000,1555.5556,1502.5009
0.0000,1777.7778,1502.3895
0.0000,2000.0000,1502.3895
100.0000,0.0000,1501.6329
100.0000,222.2222,1501.8345
100.0000,444.4444,1502.0186
100.0000,666.6667,1502.1436
100.0000,888.8889,1502.2226
100.0000,1111.1111,1502.2858
100.0000,1333.3333,1502.4014
100.0000,1555.5556,1502.3398
100.0000,1777.7778,1502.1991
100.0000,2000.0000,1502.1991
200.0000,0.0000,1501.1034
200.0000,222.2222,1501.3153
200.0000,444.4444,1501.5109
200.0000,666.6667,1501.6410
200.0000,888.8889,1501.7211
200.0000,1111.1111,1501.7876
200.0000,1333.3333,1501.9188
200.0000,1555.5556,1501.8538
200.0000,1777.7778,1501.7066
200.0000,2000.0000,1501.7066
300.0000,0.0000,1500.2795
300.0000,222.2222,1500.4908
300.0000,444.4444,1500.6945
300.0000,666.6667,1500.8324
300.0000,888.8889,1500.9181
300.0000,1111.1111,1500.9902
300.0000,1333.3333,1501.1289
300.0000,1555.5556,1501.0658
300.0000,1777.7778,1500.9233
300.0000,2000.0000,1500.9233
400.0000,0.0000,1499.1909
400.0000,222.2222,1499.3969
400.0000,444.4444,1499.6076
400.0000,666.6667,1499.7554
400.0000,888.8889,1499.8495
400.0000,1111.1111,1499.9277
400.0000,1333.3333,1500.0710
400.0000,1555.5556,1500.0116
400.0000,1777.7778,1499.8790
400.0000,2000.0000,1499.8790
500.0000,0.0000,1497.8842
500.0000,222.2222,1498.0832
500.0000,444.4444,1498.3015
500.0000,666.6667,1498.4605
500.0000,888.8889,1498.5642
500.0000,1111.1111,1498.6488
500.0000,1333.3333,1498.7956
500.0000,1555.5556,1498.7398
500.0000,1777.7778,1498.6191
500.0000,2000.0000,1498.6191
600.0000,0.0000,1496.4245
600.0000,222.2222,1496.6141
600.0000,444.4444,1496.8383
600.0000,666.6667,1497.0076
600.0000,888.8889,1497.1208
600.0000,1111.1111,1497.2121
600.0000,1333.3333,1497.3628
600.0000,1555.5556,1497.3121
600.0000,1777.7778,1497.2053
600.0000,2000.0000,1497.2053
700.0000,0.0000,1494.8821
700.0000,222.2222,1495.0587
700.0000,444.4444,1495.2844
700.0000,666.6667,1495.4612
700.0000,888.8889,1495.5829
700.0000,1111.1111,1495.6810
700.0000,1333.3333,1495.8372
700.0000,1555.5556,1495.7945
700.0000,1777.7778,1495.7044
700.0000,2000.0000,1495.7044
800.0000,0.0000,1493.3188
800.0000,222.2222,1493.4804
800.0000,444.4444,1493.7037
800.0000,666.6667,1493.8851
800.0000,888.8889,1494.0136
800.0000,1111.1111,1494.1187
800.0000,1333.3333,1494.2817
800.0000,1555.5556,1494.2490
800.0000,1777.7778,1494.1764
800.0000,2000.0000,1494.1764
900.0000,0.0000,1491.7917
900.0000,222.2222,1491.9375
900.0000,444.4444,1492.1561
900.0000,666.6667,1492.3396
900.0000,888.8889,1492.4735
900.0000,1111.1111,1492.5851
900.0000,1333.3333,1492.7554
900.0000,1555.5556,1492.7330
900.0000,1777.7778,1492.6770
900.0000,2000.0000,1492.6770
1000.0000,0.0000,1490.3543
1000.0000,222.2222,1490.4842
1000.0000,444.4444,1490.6966
1000.0000,666.6667,1490.8803
1000.0000,888.8889,1491.0181
1000.0000,1111.1111,1491.1355
1000.0000,1333.3333,1491.3128
1000.0000,1555.5556,1491.2999
1000.0000,1777.7778,1491.2579
1000.0000,2000.0000,1491.2579
1100.0000,0.0000,1489.0582
1100.0000,222.2222,1489.1710
1100.0000,444.4444,1489.3757
1100.0000,666.6667,1489.5577
1100.0000,888.8889,1489.6974
1100.0000,1111.1111,1489.8194
1100.0000,1333.3333,1490.0031
1100.0000,1555.5556,1489.9986
1100.0000,1777.7778,1489.9665
1100.0000,2000.0000,1489.9665
1200.0000,0.0000,1487.9510
1200.0000,222.2222,1488.0443
1200.0000,444.4444,1488.2393
1200.0000,666.6667,1488.4164
1200.0000,888.8889,1488.5552
1200.0000,1111.1111,1488.6793
1200.0000,1333.3333,1488.8677
1200.0000,1555.5556,1488.8708
1200.0000,1777.7778,1488.8426
1200.0000,2000.0000,1488.8426
1300.0000,0.0000,1487.0748
1300.0000,222.2222,1487.1485
1300.0000,444.4444,1487.3279
1300.0000,666.6667,1487.4951
1300.0000,888.8889,1487.6283
1300.0000,1111.1111,1487.7501
1300.0000,1333.3333,1487.9381
1300.0000,1555.5556,1487.9419
1300.0000,1777.7778,1487.9158
1300.0000,2000.0000,1487.9158
1400.0000,0.0000,1486.4554
1400.0000,222.2222,1486.5103
1400.0000,444.4444,1486.6707
1400.0000,666.6667,1486.8236
1400.0000,888.8889,1486.9474
1400.0000,1111.1111,1487.0629
1400.0000,1333.3333,1487.2465
1400.0000,1555.5556,1487.2480
1400.0000,1777.7778,1487.2247
1400.0000,2000.0000,1487.2247
1500.0000,0.0000,1486.1179
1500.0000,222.2222,1486.1512
1500.0000,444.4444,1486.2894
1500.0000,666.6667,1486.4254
1500.0000,888.8889,1486.5368
1500.0000,1111.1111,1486.6430
1500.0000,1333.3333,1486.8187
1500.0000,1555.5556,1486.8151
