y,0,1,2,3,4,5,6,7,8
50.0,1501.857,1502.0254,1502.1924,1502.3164,1502.4013,1502.4685,1502.5464,1502.5009,1502.3895
150.0,1501.6329,1501.8345,1502.0186,1502.1436,1502.2226,1502.2858,1502.4014,1502.3398,1502.1991
250.0,1501.1034,1501.3153,1501.5109,1501.641,1501.7211,1501.7876,1501.9188,1501.8538,1501.7066
350.0,1500.2795,1500.4908,1500.6945,1500.8324,1500.9181,1500.9902,1501.1289,1501.0658,1500.9233
450.0,1499.1909,1499.3969,1499.6076,1499.7554,1499.8495,1499.9277,1500.071,1500.0116,1499.879
550.0,1497.8842,1498.0832,1498.3015,1498.4605,1498.5642,1498.6488,1498.7956,1498.7398,1498.6191
650.0,1496.4245,1496.6141,1496.8383,1497.0076,1497.1208,1497.2121,1497.3628,1497.3121,1497.2053
750.0,1494.8821,1495.0587,1495.2844,1495.4612,1495.5829,1495.681,1495.8372,1495.7945,1495.7044
850.0,1493.3188,1493.4804,1493.7037,1493.8851,1494.0136,1494.1187,1494.2817,1494.249,1494.1764
950.0,1491.7917,1491.9375,1492.1561,1492.3396,1492.4735,1492.5851,1492.7554,1492.733,1492.677
1050.0,1490.3543,1490.4842,1490.6966,1490.8803,1491.0181,1491.1355,1491.3128,1491.2999,1491.2579
1150.0,1489.0582,1489.171,1489.3757,1489.5577,1489.6974,1489.8194,1490.0031,1489.9986,1489.9665
1250.0,1487.951,1488.0443,1488.2393,1488.4164,1488.5552,1488.6793,1488.8677,1488.8708,1488.8426
1350.0,1487.0748,1487.1485,1487.3279,1487.4951,1487.6283,1487.7501,1487.9381,1487.9419,1487.9158
1450.0,1486.4554,1486.5103,1486.6707,1486.8236,1486.9474,1487.0629,1487.2465,1487.248,1487.2247
1550.0,1486.1179,1486.1512,1486.2894,1486.4254,1486.5368,1486.643,1486.8187,1486.8151,1486.7939
1650.0,1486.0844,1486.0892,1486.2019,1486.3192,1486.4159,1486.5094,1486.6724,1486.6541,1486.6378
1750.0,1486.3788,1486.343,1486.4263,1486.5214,1486.5987,1486.6758,1486.8235,1486.7777,1486.7766
1850.0,1487.0265,1486.9549,1486.99,1487.0455,1487.0918,1487.1447,1487.2728,1487.2114,1487.2316
1950.0,1487.9911,1487.892,1487.876,1487.8831,1487.8906,1487.9147,1488.0237,1487.9571,1487.9895
2050.0,1489.2532,1489.1285,1489.0593,1489.0146,1488.9812,1488.9747,1489.0639,1488.9974,1489.0441
2150.0,1490.7956,1490.6495,1490.5149,1490.4173,1490.3458,1490.3089,1490.3703,1490.3142,1490.3887
2250.0,1492.5867,1492.4344,1492.2159,1492.0696,1491.9668,1491.9062,1491.9285,1491.9048,1492.0269
2350.0,1494.586,1494.4518,1494.1665,1493.9611,1493.8204,1493.7392,1493.7581,1493.8089,1493.9704
2450.0,1496.7477,1496.6254,1496.2978,1496.0433,1495.8687,1495.78,1495.8238,1495.9437,1496.1424
2550.0,1499.0215,1498.9153,1498.5615,1498.2624,1498.06,1497.9733,1498.064,1498.2613,1498.4954
2650.0,1501.3495,1501.2714,1500.9099,1500.5642,1500.3416,1500.261,1500.4202,1500.7133,1500.9828
2750.0,1503.664,1503.6374,1503.2987,1502.897,1502.6752,1502.5961,1502.8541,1503.2748,1503.5721
2850.0,1505.8872,1505.9186,1505.6588,1505.2383,1505.019,1504.9825,1505.3899,1505.9275,1506.2174
2950.0,1507.9939,1508.0866,1507.9069,1507.5105,1507.3121,1507.3536,1507.9074,1508.5472,1508.8236
3050.0,1509.9432,1510.0963,1510.0087,1509.6616,1509.4686,1509.6134,1510.3296,1511.0656,1511.2893
3150.0,1511.7045,1511.9137,1511.9349,1511.6671,1511.4215,1511.691,1512.5795,1513.3935,1513.4793
3250.0,1513.2523,1513.4904,1513.6118,1513.4675,1513.2247,1513.6073,1514.559,1515.2985,1515.2346
3350.0,1514.6185,1514.8752,1515.0789,1515.0372,1514.843,1515.2787,1516.2143,1516.8455,1516.6841
3450.0,1515.8413,1516.095,1516.3612,1516.4038,1516.2654,1516.7176,1517.5904,1518.0925,1517.8678
3550.0,1516.9834,1517.18,1517.4891,1517.5938,1517.5193,1517.9652,1518.7469,1519.0519,1518.8214
3650.0,1518.1791,1518.2379,1518.5771,1518.7026,1518.7253,1519.1412,1519.8318,1519.8171,1519.6896
3750.0,1519.5852,1519.4926,1519.7261,1519.8322,1520.0024,1520.3547,1520.8543,1520.6235,1520.6741
3850.0,1521.0979,1520.9152,1521.0019,1521.0688,1521.3027,1521.5916,1521.9081,1521.5853,1521.711
3950.0,1522.6768,1522.4732,1522.3522,1522.3772,1522.6621,1522.8952,1522.9746,1522.6541,1522.8096
4050.0,1524.2478,1524.1656,1523.6973,1523.7205,1524.0879,1524.3112,1523.9738,1523.8314,1523.9728
4150.0,1525.5838,1525.7,1525.0723,1525.1076,1525.4752,1525.6476,1525.0285,1525.0993,1525.141
4250.0,1526.7746,1527.009,1526.4111,1526.4454,1526.7871,1526.8762,1526.1696,1526.2943,1526.2855
4350.0,1527.7961,1528.114,1527.6823,1527.6843,1528.0023,1527.9638,1527.3176,1527.4119,1527.3596
4450.0,1528.5975,1528.9576,1528.8917,1528.7659,1529.1119,1528.8207,1528.461,1528.4265,1528.3202
4550.0,1529.1305,1529.4725,1529.8852,1529.7141,1529.9779,1529.5137,1529.5331,1529.3003,1529.1299
4650.0,1529.5165,1529.8894,1530.5463,1530.415,1530.6402,1530.1372,1530.3135,1530.0139,1529.799
4750.0,1529.8127,1530.2031,1530.9514,1530.8724,1531.0981,1530.6147,1530.8422,1530.5347,1530.3065
4850.0,1530.045,1530.4147,1531.138,1531.1169,1531.3398,1530.9243,1531.1358,1530.8537,1530.6403
4950.0,1530.2338,1530.5441,1531.091,1531.1947,1531.3362,1531.102,1531.1754,1530.9729,1530.8038
