y,x,val
0.0000,0.0000,0.6093
0.0000,222.2222,1.3036
0.0000,444.4444,2.1815
0.0000,666.6667,0.9803
0.0000,888.8889,2.0689
0.0000,1111.1111,3.1542
0.0000,1333.3333,1.8188
0.0000,1555.5556,2.6392
0.0000,1777.7778,3.2452
0.0000,2000.0000,3.2452
51.7241,0.0000,0.1164
51.7241,222.2222,0.8701
51.7241,444.4444,1.7969
51.7241,666.6667,0.5616
51.7241,888.8889,1.7311
51.7241,1111.1111,2.8967
51.7241,1333.3333,1.4807
51.7241,1555.5556,2.3632
51.7241,1777.7778,3.0290
51.7241,2000.0000,3.0290
103.4483,0.0000,-0.3805
103.4483,222.2222,0.4683
103.4483,444.4444,1.5180
103.4483,666.6667,0.1522
103.4483,888.8889,1.4252
103.4483,1111.1111,2.6583
103.4483,1333.3333,1.1055
103.4483,1555.5556,2.0719
103.4483,1777.7778,2.8008
103.4483,2000.0000,2.8008
155.1724,0.0000,-0.8526
155.1724,222.2222,0.0473
155.1724,444.4444,1.1329
155.1724,666.6667,-0.3065
155.1724,888.8889,0.9862
155.1724,1111.1111,2.2241
155.1724,1333.3333,0.5435
155.1724,1555.5556,1.5492
155.1724,1777.7778,2.2961
155.1724,2000.0000,2.2961
206.8966,0.0000,-1.2452
206.8966,222.2222,-0.3112
206.8966,444.4444,0.8121
206.8966,666.6667,-0.7898
206.8966,888.8889,0.5091
206.8966,1111.1111,1.7496
206.8966,1333.3333,-0.1311
206.8966,1555.5556,0.9175
206.8966,1777.7778,1.7046
206.8966,2000.0000,1.7046
258.6207,0.0000,-1.9494
258.6207,222.2222,-0.9300
258.6207,444.4444,0.2604
258.6207,666.6667,-1.5543
258.6207,888.8889,-0.2049
258.6207,1111.1111,1.0769
258.6207,1333.3333,-1.0141
258.6207,1555.5556,0.1346
258.6207,1777.7778,1.0151
258.6207,2000.0000,1.0151
310.3448,0.0000,-2.5914
310.3448,222.2222,-1.6523
310.3448,444.4444,-0.5305
310.3448,666.6667,-2.3600
310.3448,888.8889,-1.1184
310.3448,1111.1111,0.0835
310.3448,1333.3333,-2.0138
310.3448,1555.5556,-0.8915
310.3448,1777.7778,-0.0119
310.3448,2000.0000,-0.0119
362.0690,0.0000,-3.6969
362.0690,222.2222,-2.7618
362.0690,444.4444,-1.6427
362.0690,666.6667,-3.6283
362.0690,888.8889,-2.4274
362.0690,1111.1111,-1.2361
362.0690,1333.3333,-3.4364
362.0690,1555.5556,-2.2879
362.0690,1777.7778,-1.3518
362.0690,2000.0000,-1.3518
413.7931,0.0000,-4.9543
413.7931,222.2222,-3.9752
413.7931,444.4444,-2.8509
413.7931,666.6667,-5.0465
413.7931,888.8889,-3.8567
413.7931,1111.1111,-2.6588
413.7931,1333.3333,-5.0141
413.7931,1555.5556,-3.8123
413.7931,1777.7778,-2.8072
413.7931,2000.0000,-2.8072
465.5172,0.0000,-6.3571
465.5172,222.2222,-5.3546
465.5172,444.4444,-4.2130
465.5172,666.6667,-6.5866
465.5172,888.8889,-5.3892
465.5172,1111.1111,-4.1948
465.5172,1333.3333,-6.6935
465.5172,1555.5556,-5.4385
465.5172,1777.7778,-4.3761
465.5172,2000.0000,-4.3761
517.2414,0.0000,-7.8546
517.2414,222.2222,-6.8477
517.2414,444.4444,-5.7003
517.2414,666.6667,-8.1731
517.2414,888.8889,-6.9881
517.2414,1111.1111,-5.8086
517.2414,1333.3333,-8.3936
517.2414,1555.5556,-7.1431
517.2414,1777.7778,-6.0462
517.2414,2000.0000,-6.0462
568.9655,0.0000,-6.9595
568.9655,222.2222,-6.0008
568.9655,444.4444,-4.9146
568.9655,666.6667,-7.4552
568.9655,888.8889,-6.3104
568.9655,1111.1111,-5.1812
568.9655,1333.3333,-7.9121
568.9655,1555.5556,-6.6546
568.9655,1777.7778,-5.5589
568.9655,2000.0000,-5.5589
620.6897,0.0000,-6.1210
620.6897,222.2222,-5.3013
620.6897,444.4444,-4.2774
620.6897,666.6667,-6.6812
620.6897,888.8889,-5.7107
620.6897,1111.1111,-4.6726
620.6897,1333.3333,-7.2083
620.6897,1555.5556,-6.1383
620.6897,1777.7778,-5.1294
620.6897,2000.0000,-5.1294
672.4138,0.0000,-5.7100
672.4138,222.2222,-4.7983
672.4138,444.4444,-3.6657
672.4138,666.6667,-6.3756
672.4138,888.8889,-5.3598
672.4138,1111.1111,-4.2432
672.4138,1333.3333,-7.0043
672.4138,1555.5556,-5.9197
672.4138,1777.7778,-4.8440
672.4138,2000.0000,-4.8440
724.1379,0.0000,-5.2404
724.1379,222.2222,-4.2460
724.1379,444.4444,-3.0431
724.1379,666.6667,-6.0829
724.1379,888.8889,-4.9995
724.1379,1111.1111,-3.8101
724.1379,1333.3333,-6.8770
724.1379,1555.5556,-5.7297
724.1379,1777.7778,-4.5660
724.1379,2000.0000,-4.5660
775.8621,0.0000,-4.3938
775.8621,222.2222,-3.2862
775.8621,444.4444,-1.9800
775.8621,666.6667,-5.3909
775.8621,888.8889,-4.1987
775.8621,1111.1111,-2.9013
775.8621,1333.3333,-6.3277
775.8621,1555.5556,-5.0691
775.8621,1777.7778,-3.7832
775.8621,2000.0000,-3.7832
827.5862,0.0000,-3.1970
827.5862,222.2222,-1.9615
827.5862,444.4444,-0.5428
827.5862,666.6667,-4.3335
827.5862,888.8889,-3.0174
827.5862,1111.1111,-1.6032
827.5862,1333.3333,-5.3918
827.5862,1555.5556,-4.0122
827.5862,1777.7778,-2.6022
827.5862,2000.0000,-2.6022
879.3103,0.0000,-1.6507
879.3103,222.2222,-0.3787
879.3103,444.4444,1.0744
879.3103,666.6667,-2.8873
879.3103,888.8889,-1.5341
879.3103,1111.1111,-0.0810
879.3103,1333.3333,-4.0274
879.3103,1555.5556,-2.6033
879.3103,1777.7778,-1.1411
879.3103,2000.0000,-1.1411
931.0345,0.0000,-0.0889
931.0345,222.2222,1.1433
931.0345,444.4444,2.5375
931.0345,666.6667,-1.2825
931.0345,888.8889,0.0378
931.0345,1111.1111,1.4405
931.0345,1333.3333,-2.4024
931.0345,1555.5556,-0.9980
931.0345,1777.7778,0.4328
931.0345,2000.0000,0.4328
982.7586,0.0000,4.6022
982.7586,222.2222,5.5640
982.7586,444.4444,6.6908
982.7586,666.6667,3.7633
982.7586,888.8889,4.8155
982.7586,1111.1111,5.9336
982.7586,1333.3333,2.9244
982.7586,1555.5556,4.0801
982.7586,1777.7778,5.2374
982.7586,2000.0000,5.2374
1034.4828,0.0000,7.2526
1034.4828,222.2222,7.8902
1034.4828,444.4444,8.6996
1034.4828,666.6667,6.9183
1034.4828,888.8889,7.6549
1034.4828,1111.1111,8.4386
1034.4828,1333.3333,6.5568
1034.4828,1555.5556,7.4233
1034.4828,1777.7778,8.2531
1034.4828,2000.0000,8.2531
1086.2069,0.0000,7.6735
1086.2069,222.2222,8.0737
1086.2069,444.4444,8.6457
1086.2069,666.6667,7.6212
1086.2069,888.8889,8.1180
1086.2069,1111.1111,8.6479
1086.2069,1333.3333,7.5566
1086.2069,1555.5556,8.1973
1086.2069,1777.7778,8.7751
1086.2069,2000.0000,8.7751
1137.9310,0.0000,6.9091
1137.9310,222.2222,7.1961
1137.9310,444.4444,7.6551
1137.9310,666.6667,7.0117
1137.9310,888.8889,7.3827
1137.9310,1111.1111,7.7829
1137.9310,1333.3333,7.1247
1137.9310,1555.5556,7.6396
1137.9310,1777.7778,8.0829
1137.9310,2000.0000,8.0829
1189.6552,0.0000,5.7830
1189.6552,222.2222,6.0207
1189.6552,444.4444,6.4300
1189.6552,666.6667,5.9912
1189.6552,888.8889,6.3089
1189.6552,1111.1111,6.6535
1189.6552,1333.3333,6.2186
1189.6552,1555.5556,6.6838
1189.6552,1777.7778,7.0737
1189.6552,2000.0000,7.0737
1241.3793,0.0000,4.4772
1241.3793,222.2222,4.6707
1241.3793,444.4444,5.0299
1241.3793,666.6667,4.7494
1241.3793,888.8889,5.0205
1241.3793,1111.1111,5.3116
1241.3793,1333.3333,5.0417
1241.3793,1555.5556,5.4618
1241.3793,1777.7778,5.7986
1241.3793,2000.0000,5.7986
1293.1034,0.0000,3.0445
1293.1034,222.2222,3.1896
1293.1034,444.4444,3.4932
1293.1034,666.6667,3.3330
1293.1034,888.8889,3.5567
1293.1034,1111.1111,3.7937
1293.1034,1333.3333,3.6512
1293.1034,1555.5556,4.0255
1293.1034,1777.7778,4.3104
1293.1034,2000.0000,4.3104
1344.8276,0.0000,1.4835
1344.8276,222.2222,1.5984
1344.8276,444.4444,1.8625
1344.8276,666.6667,1.7894
1344.8276,888.8889,1.9844
1344.8276,1111.1111,2.1864
1344.8276,1333.3333,2.1350
1344.8276,1555.5556,2.4727
1344.8276,1777.7778,2.7171
1344.8276,2000.0000,2.7171
1396.5517,0.0000,-0.1550
1396.5517,222.2222,-0.0672
1396.5517,444.4444,0.1546
1396.5517,666.6667,0.1371
1396.5517,888.8889,0.3158
1396.5517,1111.1111,0.4962
1396.5517,1333.3333,0.4956
1396.5517,1555.5556,0.8012
1396.5517,1777.7778,1.0140
1396.5517,2000.0000,1.0140
1448.2759,0.0000,-1.8380
1448.2759,222.2222,-1.7583
1448.2759,444.4444,-1.5777
1448.2759,666.6667,-1.5846
1448.2759,888.8889,-1.3987
1448.2759,1111.1111,-1.2164
1448.2759,1333.3333,-1.2074
1448.2759,1555.5556,-0.9344
1448.2759,1777.7778,-0.7467
1448.2759,2000.0000,-0.7467
1500.0000,0.0000,-1.8380
1500.0000,222.2222,-1.7583
1500.0000,444.4444,-1.5777
1500.0000,666.6667,-1.5846
1500.0000,888.8889,-1.3987
1500.0000,1111.1111,-1.2164
1500.0000,1333.3333,-1.2074
1500.0000,1555.5556,-0.9344
1500.0000,1777.7778,-0.7467
1500.0000,2000.0000,-0.7467
