y,x,val
0.0000,0.0000,-7.9565
0.0000,222.2222,-8.8286
0.0000,444.4444,-7.8375
0.0000,666.6667,-5.8661
0.0000,888.8889,0.1117
0.0000,1111.1111,6.5998
0.0000,1333.3333,10.1012
0.0000,1555.5556,14.1526
0.0000,1777.7778,14.9540
0.0000,2000.0000,14.9540
51.7241,0.0000,-7.2464
51.7241,222.2222,-9.0974
51.7241,444.4444,-7.2960
51.7241,666.6667,-4.9822
51.7241,888.8889,0.5211
51.7241,1111.1111,6.2900
51.7241,1333.3333,9.1414
51.7241,1555.5556,13.2886
51.7241,1777.7778,13.8036
51.7241,2000.0000,13.8036
103.4483,0.0000,-4.9147
103.4483,222.2222,-6.8705
103.4483,444.4444,-4.0225
103.4483,666.6667,-2.6211
103.4483,888.8889,1.7177
103.4483,1111.1111,6.2213
103.4483,1333.3333,8.0077
103.4483,1555.5556,12.0441
103.4483,1777.7778,12.1597
103.4483,2000.0000,12.1597
155.1724,0.0000,-1.2695
155.1724,222.2222,-3.3137
155.1724,444.4444,-0.1729
155.1724,666.6667,0.3087
155.1724,888.8889,3.3359
155.1724,1111.1111,6.4549
155.1724,1333.3333,7.0770
155.1724,1555.5556,10.6653
155.1724,1777.7778,10.3762
155.1724,2000.0000,10.3762
206.8966,0.0000,2.8770
206.8966,222.2222,0.6788
206.8966,444.4444,3.7484
206.8966,666.6667,3.2968
206.8966,888.8889,5.1493
206.8966,1111.1111,7.0430
206.8966,1333.3333,6.4927
206.8966,1555.5556,9.5590
206.8966,1777.7778,8.9157
206.8966,2000.0000,8.9157
258.6207,0.0000,6.5019
258.6207,222.2222,4.1287
258.6207,444.4444,7.0768
258.6207,666.6667,5.7605
258.6207,888.8889,6.7218
258.6207,1111.1111,7.6539
258.6207,1333.3333,6.0776
258.6207,1555.5556,8.7624
258.6207,1777.7778,7.8174
258.6207,2000.0000,7.8174
310.3448,0.0000,9.5318
310.3448,222.2222,6.7978
310.3448,444.4444,9.5082
310.3448,666.6667,7.6796
310.3448,888.8889,7.8377
310.3448,1111.1111,7.9762
310.3448,1333.3333,5.7855
310.3448,1555.5556,8.0718
310.3448,1777.7778,6.7910
310.3448,2000.0000,6.7910
362.0690,0.0000,11.1808
362.0690,222.2222,8.1761
362.0690,444.4444,10.7874
362.0690,666.6667,8.4765
362.0690,888.8889,8.1652
362.0690,1111.1111,7.8105
362.0690,1333.3333,5.1216
362.0690,1555.5556,7.2159
362.0690,1777.7778,5.6948
362.0690,2000.0000,5.6948
