y,0,1,2,3,4,5,6,7,8
25.862068965517242,0.6093,1.3036,2.1815,0.9803,2.0689,3.1542,1.8188,2.6392,3.2452
77.58620689655173,0.1164,0.8701,1.7969,0.5616,1.7311,2.8967,1.4807,2.3632,3.029
129.31034482758622,-0.3805,0.4683,1.518,0.1522,1.4252,2.6583,1.1055,2.0719,2.8008
181.0344827586207,-0.8526,0.0473,1.1329,-0.3065,0.9862,2.2241,0.5435,1.5492,2.2961
232.75862068965517,-1.2452,-0.3112,0.8121,-0.7898,0.5091,1.7496,-0.1311,0.9175,1.7046
284.48275862068965,-1.9494,-0.93,0.2604,-1.5543,-0.2049,1.0769,-1.0141,0.1346,1.0151
336.2068965517241,-2.5914,-1.6523,-0.5305,-2.36,-1.1184,0.0835,-2.0138,-0.8915,-0.0119
387.9310344827586,-3.6969,-2.7618,-1.6427,-3.6283,-2.4274,-1.2361,-3.4364,-2.2879,-1.3518
439.65517241379314,-4.9543,-3.9752,-2.8509,-5.0465,-3.8567,-2.6588,-5.0141,-3.8123,-2.8072
491.3793103448276,-6.3571,-5.3546,-4.213,-6.5866,-5.3892,-4.1948,-6.6935,-5.4385,-4.3761
543.1034482758621,-7.8546,-6.8477,-5.7003,-8.1731,-6.9881,-5.8086,-8.3936,-7.1431,-6.0462
594.8275862068965,-6.9595,-6.0008,-4.9146,-7.4552,-6.3104,-5.1812,-7.9121,-6.6546,-5.5589
646.551724137931,-6.121,-5.3013,-4.2774,-6.6812,-5.7107,-4.6726,-7.2083,-6.1383,-5.1294
698.2758620689656,-5.71,-4.7983,-3.6657,-6.3756,-5.3598,-4.2432,-7.0043,-5.9197,-4.844
750.0,-5.2404,-4.246,-3.0431,-6.0829,-4.9995,-3.8101,-6.877,-5.7297,-4.566
801.7241379310345,-4.3938,-3.2862,-1.98,-5.3909,-4.1987,-2.9013,-6.3277,-5.0691,-3.7832
853.448275862069,-3.197,-1.9615,-0.5428,-4.3335,-3.0174,-1.6032,-5.3918,-4.0122,-2.6022
905.1724137931035,-1.6507,-0.3787,1.0744,-2.8873,-1.5341,-0.081,-4.0274,-2.6033,-1.1411
956.8965517241379,-0.0889,1.1433,2.5375,-1.2825,0.0378,1.4405,-2.4024,-0.998,0.4328
1008.6206896551724,4.6022,5.564,6.6908,3.7633,4.8155,5.9336,2.9244,4.0801,5.2374
1060.344827586207,7.2526,7.8902,8.6996,6.9183,7.6549,8.4386,6.5568,7.4233,8.2531
1112.0689655172414,7.6735,8.0737,8.6457,7.6212,8.118,8.6479,7.5566,8.1973,8.7751
1163.7931034482758,6.9091,7.1961,7.6551,7.0117,7.3827,7.7829,7.1247,7.6396,8.0829
1215.5172413793105,5.783,6.0207,6.43,5.9912,6.3089,6.6535,6.2186,6.6838,7.0737
1267.2413793103449,4.4772,4.6707,5.0299,4.7494,5.0205,5.3116,5.0417,5.4618,5.7986
1318.9655172413793,3.0445,3.1896,3.4932,3.333,3.5567,3.7937,3.6512,4.0255,4.3104
1370.6896551724137,1.4835,1.5984,1.8625,1.7894,1.9844,2.1864,2.135,2.4727,2.7171
1422.4137931034484,-0.155,-0.0672,0.1546,0.1371,0.3158,0.4962,0.4956,0.8012,1.014
1474.1379310344828,-1.838,-1.7583,-1.5777,-1.5846,-1.3987,-1.2164,-1.2074,-0.9344,-0.7467
